id,subclassof,parent
rc:Reimbursement,rdfs:subClassOf,rc:LoanPayment
rc:Reimbursement,rdfs:subClassOf,rc:LoanRepaying
rc:Reimbursement,rdfs:subClassOf,owl:Thing
rc:StreetPerformer,rdfs:subClassOf,rc:Artist_Performer
rc:StreetPerformer,rdfs:subClassOf,owl:Thing
rc:SignLanguageNotation,rdfs:subClassOf,rc:SignLanguages
rc:SignLanguageNotation,rdfs:subClassOf,owl:Thing
rc:MethysergideMaleate,rdfs:subClassOf,rc:AntiHeadacheAgent
rc:MethysergideMaleate,rdfs:subClassOf,owl:Thing
rc:IceCreamScoop,rdfs:subClassOf,rc:KitchenFurnishingsMarketCategory
rc:IceCreamScoop,rdfs:subClassOf,rc:Spoon
rc:IceCreamScoop,rdfs:subClassOf,owl:Thing
rc:Aragonite,rdfs:subClassOf,rc:Mineral
rc:Aragonite,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Trance,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Trance,rdfs:subClassOf,owl:Thing
rc:NationalSecurityAgencyCryptography,rdfs:subClassOf,rc:Cryptography
rc:NationalSecurityAgencyCryptography,rdfs:subClassOf,owl:Thing
rc:ElegantClothingStyle,rdfs:subClassOf,rc:ClothingTypeByStyle
rc:ElegantClothingStyle,rdfs:subClassOf,rc:LuxuryItem
rc:ElegantClothingStyle,rdfs:subClassOf,owl:Thing
rc:Veal,rdfs:subClassOf,rc:Beef
rc:Veal,rdfs:subClassOf,owl:Thing
rc:Oyster,rdfs:subClassOf,rc:Bivalvia
rc:Oyster,rdfs:subClassOf,rc:Shellfish
rc:Oyster,rdfs:subClassOf,owl:Thing
rc:Blonde_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Blonde_HairColor,rdfs:subClassOf,owl:Thing
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:Algebra
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:GraphTheory
rc:AlgebraicGraphTheory,rdfs:subClassOf,owl:Thing
rc:ModularPowerCord,rdfs:subClassOf,rc:PowerCord
rc:ModularPowerCord,rdfs:subClassOf,owl:Thing
rc:FermentedStuff,rdfs:subClassOf,rc:Food
rc:FermentedStuff,rdfs:subClassOf,owl:Thing
rc:FrenchLanguage,rdfs:subClassOf,rc:RomanceLanguages
rc:FrenchLanguage,rdfs:subClassOf,owl:Thing
rc:AwardPractice,rdfs:subClassOf,kko:Society
rc:AwardPractice,rdfs:subClassOf,owl:Thing
rc:Carpinus,rdfs:subClassOf,rc:Betulaceae
rc:Carpinus,rdfs:subClassOf,owl:Thing
rc:Canola,rdfs:subClassOf,rc:SeedOil
rc:Canola,rdfs:subClassOf,owl:Thing
rc:ContemporaryArt,rdfs:subClassOf,rc:Arts
rc:ContemporaryArt,rdfs:subClassOf,owl:Thing
rc:TerrorismStudies,rdfs:subClassOf,rc:CourseOfStudy
rc:TerrorismStudies,rdfs:subClassOf,owl:Thing
rc:Nylon,rdfs:subClassOf,rc:Plastic
rc:Nylon,rdfs:subClassOf,rc:Resin
rc:Nylon,rdfs:subClassOf,owl:Thing
rc:DutchLanguage,rdfs:subClassOf,rc:GermanicLanguages
rc:DutchLanguage,rdfs:subClassOf,owl:Thing
rc:ParkInWyoming,rdfs:subClassOf,rc:Park
rc:ParkInWyoming,rdfs:subClassOf,owl:Thing
rc:Trimethadione,rdfs:subClassOf,rc:Anticonvulsant
rc:Trimethadione,rdfs:subClassOf,owl:Thing
rc:AmericanEnglishDialect,rdfs:subClassOf,rc:EnglishDialect
