id,subclassof,parent
rc:LearningThat,rdfs:subClassOf,rc:LearningMethod
rc:LearningThat,rdfs:subClassOf,owl:Thing
rc:DayOfTheDead,rdfs:subClassOf,rc:Festival
rc:DayOfTheDead,rdfs:subClassOf,owl:Thing
rc:Reimbursement,rdfs:subClassOf,rc:LoanPayment
rc:Reimbursement,rdfs:subClassOf,rc:LoanRepaying
rc:Reimbursement,rdfs:subClassOf,owl:Thing
rc:EcholocationPerception,rdfs:subClassOf,rc:Senses
rc:EcholocationPerception,rdfs:subClassOf,owl:Thing
rc:AdaptedAutomobile,rdfs:subClassOf,rc:Ergonomics
rc:AdaptedAutomobile,rdfs:subClassOf,owl:Thing
rc:LowDimensionalTopology,rdfs:subClassOf,rc:Topology
rc:LowDimensionalTopology,rdfs:subClassOf,owl:Thing
rc:BlueChipStock,rdfs:subClassOf,rc:Stock
rc:BlueChipStock,rdfs:subClassOf,owl:Thing
rc:NationalSecurityAgencyCryptography,rdfs:subClassOf,rc:Cryptography
rc:NationalSecurityAgencyCryptography,rdfs:subClassOf,owl:Thing
rc:PoliticalIssue,rdfs:subClassOf,rc:Issue
rc:PoliticalIssue,rdfs:subClassOf,owl:Thing
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:Algebra
rc:AlgebraicGraphTheory,rdfs:subClassOf,rc:GraphTheory
rc:AlgebraicGraphTheory,rdfs:subClassOf,owl:Thing
rc:ModularPowerCord,rdfs:subClassOf,rc:PowerCord
rc:ModularPowerCord,rdfs:subClassOf,owl:Thing
rc:MoneyBackGuarantee,rdfs:subClassOf,rc:Warranty
rc:MoneyBackGuarantee,rdfs:subClassOf,owl:Thing
rc:EpistemicLogic,rdfs:subClassOf,rc:ConceptInLogic
rc:EpistemicLogic,rdfs:subClassOf,owl:Thing
rc:AwardPractice,rdfs:subClassOf,kko:Society
rc:AwardPractice,rdfs:subClassOf,owl:Thing
rc:PilotsLicense_Document,rdfs:subClassOf,rc:TransportationLicense_Document
rc:PilotsLicense_Document,rdfs:subClassOf,owl:Thing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,rc:Lecturing
