id,subclassof,parent
rc:GreenwichMeanTime,rdfs:subClassOf,rc:TimeOfDay
rc:GreenwichMeanTime,rdfs:subClassOf,owl:Thing
rc:PrecambrianAfrica,rdfs:subClassOf,rc:Precambrian_GeologicalSupereon
rc:PrecambrianAfrica,rdfs:subClassOf,owl:Thing
rc:DayOfTheDead,rdfs:subClassOf,rc:Festival
rc:DayOfTheDead,rdfs:subClassOf,owl:Thing
rc:BowlGame,rdfs:subClassOf,rc:GameOfCollegeFootball
rc:BowlGame,rdfs:subClassOf,owl:Thing
rc:RegionalAnesthesia,rdfs:subClassOf,rc:Anesthesia
rc:RegionalAnesthesia,rdfs:subClassOf,owl:Thing
rc:FilmFestival,rdfs:subClassOf,rc:Festival
rc:FilmFestival,rdfs:subClassOf,owl:Thing
rc:ClimateOfTheTampaBayArea,rdfs:subClassOf,rc:ClimateOfTheUnitedStates
rc:ClimateOfTheTampaBayArea,rdfs:subClassOf,owl:Thing
rc:GenocideOfIndigenousPeoples,rdfs:subClassOf,rc:Genocide
rc:GenocideOfIndigenousPeoples,rdfs:subClassOf,owl:Thing
rc:TeamCombinedGymnasticsSportsEvent,rdfs:subClassOf,rc:Gymnastics
rc:TeamCombinedGymnasticsSportsEvent,rdfs:subClassOf,owl:Thing
rc:ChineseCivilWar,rdfs:subClassOf,rc:War
rc:ChineseCivilWar,rdfs:subClassOf,owl:Thing
rc:BiWeekly,rdfs:subClassOf,rc:Date
rc:BiWeekly,rdfs:subClassOf,owl:Thing
rc:Vindication,rdfs:subClassOf,rc:CorroborationEvent
rc:Vindication,rdfs:subClassOf,owl:Thing
rc:MotocrossWorldChampionship,rdfs:subClassOf,rc:ChampionshipCompetition
rc:MotocrossWorldChampionship,rdfs:subClassOf,owl:Thing
rc:HeatProductionProcess,rdfs:subClassOf,rc:EnergyTransferEvent
rc:HeatProductionProcess,rdfs:subClassOf,owl:Thing
rc:PhysicalTransformationProcess,rdfs:subClassOf,rc:PhysicalCreationOrDestructionEvent
rc:PhysicalTransformationProcess,rdfs:subClassOf,rc:PhysicalTransformationEvent
rc:PhysicalTransformationProcess,rdfs:subClassOf,owl:Thing
rc:OperationBarbarossa,rdfs:subClassOf,rc:MilitaryBattle
rc:OperationBarbarossa,rdfs:subClassOf,owl:Thing
rc:LaylatAlQadr_IslamicHoliday,rdfs:subClassOf,rc:IslamicHoliday
rc:LaylatAlQadr_IslamicHoliday,rdfs:subClassOf,owl:Thing
rc:SqueezingOutSomeEmployee,rdfs:subClassOf,rc:DischargeWithPrejudice
rc:SqueezingOutSomeEmployee,rdfs:subClassOf,owl:Thing
rc:MeteorologyCompetition,rdfs:subClassOf,rc:ScienceCompetition
rc:MeteorologyCompetition,rdfs:subClassOf,owl:Thing
rc:MudWrestling,rdfs:subClassOf,rc:SportsCompetition
rc:MudWrestling,rdfs:subClassOf,rc:WrestlingSportsEvent
rc:MudWrestling,rdfs:subClassOf,owl:Thing
rc:MakingAReservation,rdfs:subClassOf,rc:MakingAnAgreement
rc:MakingAReservation,rdfs:subClassOf,owl:Thing
rc:DeathOfTheVictim,rdfs:subClassOf,rc:Dying
rc:DeathOfTheVictim,rdfs:subClassOf,owl:Thing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,rc:Lecturing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,owl:Thing
rc:RightToBuy,rdfs:subClassOf,rc:GrantingPermission
rc:RightToBuy,rdfs:subClassOf,owl:Thing
rc:DhuAlQidah_IslamicMonth,rdfs:subClassOf,rc:IslamicMonth
rc:DhuAlQidah_IslamicMonth,rdfs:subClassOf,owl:Thing
rc:TourDeFrance,rdfs:subClassOf,rc:CyclingRoadRace
rc:TourDeFrance,rdfs:subClassOf,owl:Thing
rc:Electroencephalography,rdfs:subClassOf,rc:BrainScan
rc:Electroencephalography,rdfs:subClassOf,owl:Thing
rc:CapitalMurderCase,rdfs:subClassOf,rc:Trial
rc:CapitalMurderCase,rdfs:subClassOf,owl:Thing
rc:ThreadingManufacturing,rdfs:subClassOf,rc:MetalMachining
rc:ThreadingManufacturing,rdfs:subClassOf,owl:Thing
rc:SARSEpidemic,rdfs:subClassOf,rc:PropagatedEpidemic
rc:SARSEpidemic,rdfs:subClassOf,owl:Thing
rc:FirefightingEquipment,rdfs:subClassOf,rc:FireProtection
rc:FirefightingEquipment,rdfs:subClassOf,owl:Thing
rc:AortaAneurysmOrDissection,rdfs:subClassOf,rc:AneurysmOrDissection
rc:AortaAneurysmOrDissection,rdfs:subClassOf,owl:Thing
rc:Nylon,rdfs:subClassOf,rc:Plastic
rc:Nylon,rdfs:subClassOf,rc:Resin
rc:Nylon,rdfs:subClassOf,owl:Thing
rc:TableTennisMatch,rdfs:subClassOf,rc:CourtAndNetGame
rc:TableTennisMatch,rdfs:subClassOf,owl:Thing
rc:FathersDay,rdfs:subClassOf,rc:SecularHoliday
rc:FathersDay,rdfs:subClassOf,owl:Thing
rc:Twinning_BirthEvent,rdfs:subClassOf,rc:BirthEvent
