id,subclassof,parent
rc:GreenwichMeanTime,rdfs:subClassOf,rc:TimeOfDay
rc:GreenwichMeanTime,rdfs:subClassOf,owl:Thing
rc:PrecambrianAfrica,rdfs:subClassOf,rc:Precambrian_GeologicalSupereon
rc:PrecambrianAfrica,rdfs:subClassOf,owl:Thing
rc:LatePrehistoricPeriodOfNorthAmerica,rdfs:subClassOf,rc:PreColumbianEra
rc:LatePrehistoricPeriodOfNorthAmerica,rdfs:subClassOf,owl:Thing
rc:CalendarDay,rdfs:subClassOf,rc:Date
rc:CalendarDay,rdfs:subClassOf,owl:Thing
rc:IceHockeyTeamSeason,rdfs:subClassOf,rc:HockeySeason
rc:IceHockeyTeamSeason,rdfs:subClassOf,owl:Thing
rc:WesternProfessionalHockeyLeagueSeason,rdfs:subClassOf,rc:HockeySeason
rc:WesternProfessionalHockeyLeagueSeason,rdfs:subClassOf,owl:Thing
rc:NationalFootballConferenceChampionshipSeason,rdfs:subClassOf,rc:FootballSeason
rc:NationalFootballConferenceChampionshipSeason,rdfs:subClassOf,rc:SportsPostSeason
rc:NationalFootballConferenceChampionshipSeason,rdfs:subClassOf,owl:Thing
rc:EoceneVolcanism,rdfs:subClassOf,rc:Eocene_GeologicalEpoch
rc:EoceneVolcanism,rdfs:subClassOf,owl:Thing
rc:December,rdfs:subClassOf,rc:GregorianMonth
rc:December,rdfs:subClassOf,owl:Thing
rc:Northgrippian_GeologicalAge,rdfs:subClassOf,rc:GeologicalAge
rc:Northgrippian_GeologicalAge,rdfs:subClassOf,rc:Holocene_GeologicalEpoch
rc:Northgrippian_GeologicalAge,rdfs:subClassOf,owl:Thing
rc:BiWeekly,rdfs:subClassOf,rc:Date
rc:BiWeekly,rdfs:subClassOf,owl:Thing
rc:Halloween,rdfs:subClassOf,rc:Holiday
rc:Halloween,rdfs:subClassOf,owl:Thing
rc:RamadanHoliday,rdfs:subClassOf,rc:IslamicHoliday
rc:RamadanHoliday,rdfs:subClassOf,owl:Thing
rc:CenozoicAntarctica,rdfs:subClassOf,rc:Cenozoic_GeologicalEra
rc:CenozoicAntarctica,rdfs:subClassOf,owl:Thing
rc:Tonian_GeologicalPeriod,rdfs:subClassOf,rc:GeologicalPeriod
rc:Tonian_GeologicalPeriod,rdfs:subClassOf,rc:Neoproterozoic_GeologicalEra
rc:Tonian_GeologicalPeriod,rdfs:subClassOf,owl:Thing
rc:LaylatAlQadr_IslamicHoliday,rdfs:subClassOf,rc:IslamicHoliday
rc:LaylatAlQadr_IslamicHoliday,rdfs:subClassOf,owl:Thing
rc:JumadaAlThani_IslamicMonth,rdfs:subClassOf,rc:IslamicMonth
rc:JumadaAlThani_IslamicMonth,rdfs:subClassOf,owl:Thing
rc:OrdovicianGeochronology,rdfs:subClassOf,rc:Ordovician_GeologicalPeriod
rc:OrdovicianGeochronology,rdfs:subClassOf,owl:Thing
rc:DhuAlQidah_IslamicMonth,rdfs:subClassOf,rc:IslamicMonth
rc:DhuAlQidah_IslamicMonth,rdfs:subClassOf,owl:Thing
rc:CurlingSeason,rdfs:subClassOf,rc:SportSeason
rc:CurlingSeason,rdfs:subClassOf,owl:Thing
rc:November,rdfs:subClassOf,rc:GregorianMonth
rc:November,rdfs:subClassOf,owl:Thing
rc:SeasonOfYear,rdfs:subClassOf,rc:AnnualOccurrence
rc:SeasonOfYear,rdfs:subClassOf,rc:TimeInterval
rc:SeasonOfYear,rdfs:subClassOf,owl:Thing
rc:IndependenceDay_US,rdfs:subClassOf,rc:Independence_Day
rc:IndependenceDay_US,rdfs:subClassOf,rc:LegalHoliday_UnitedStates
rc:IndependenceDay_US,rdfs:subClassOf,owl:Thing
rc:AztecCalendar,rdfs:subClassOf,rc:CalendarSystem
rc:AztecCalendar,rdfs:subClassOf,owl:Thing
rc:August,rdfs:subClassOf,rc:GregorianMonth
rc:August,rdfs:subClassOf,owl:Thing
rc:SolarCalendar,rdfs:subClassOf,rc:CalendarSystem
rc:SolarCalendar,rdfs:subClassOf,owl:Thing
rc:NewYearsEveDay,rdfs:subClassOf,rc:SecularHoliday
rc:NewYearsEveDay,rdfs:subClassOf,owl:Thing
rc:FathersDay,rdfs:subClassOf,rc:SecularHoliday
rc:FathersDay,rdfs:subClassOf,owl:Thing
rc:QuaternaryVolcanism,rdfs:subClassOf,rc:Quaternary_GeologicalPeriod
rc:QuaternaryVolcanism,rdfs:subClassOf,owl:Thing
rc:CalendarSeasonType,rdfs:subClassOf,rc:CalendarSeason
rc:CalendarSeasonType,rdfs:subClassOf,owl:Thing
rc:GregorianYear,rdfs:subClassOf,rc:CalendarYear
rc:GregorianYear,rdfs:subClassOf,owl:Thing
rc:Paleoproterozoic_GeologicalEra,rdfs:subClassOf,rc:GeologicalEra
rc:Paleoproterozoic_GeologicalEra,rdfs:subClassOf,rc:Proterozoic_GeologicalEon
rc:Paleoproterozoic_GeologicalEra,rdfs:subClassOf,owl:Thing
rc:Mesozoic_GeologicalEra,rdfs:subClassOf,rc:GeologicalEra
