id,subclassof,parent
rc:JamesBondMovie,rdfs:subClassOf,rc:ActionMovie
rc:JamesBondMovie,rdfs:subClassOf,owl:Thing
rc:TemperaPainting,rdfs:subClassOf,rc:Painting_ArtForm
rc:TemperaPainting,rdfs:subClassOf,owl:Thing
rc:Graph,rdfs:subClassOf,rc:VisualArtifact
rc:Graph,rdfs:subClassOf,owl:Thing
rc:GreatSphinxOfGiza,rdfs:subClassOf,rc:StoneSculpture
rc:GreatSphinxOfGiza,rdfs:subClassOf,owl:Thing
rc:MonologueInDramaticPerformance,rdfs:subClassOf,rc:DramaticPerformance
rc:MonologueInDramaticPerformance,rdfs:subClassOf,owl:Thing
rc:ASCII_Art,rdfs:subClassOf,rc:DigitalArtObject
rc:ASCII_Art,rdfs:subClassOf,owl:Thing
rc:Pennant,rdfs:subClassOf,rc:Signage
rc:Pennant,rdfs:subClassOf,owl:Thing
rc:AlgorithmsOnStrings,rdfs:subClassOf,rc:StringObject
rc:AlgorithmsOnStrings,rdfs:subClassOf,owl:Thing
rc:ActionMovie,rdfs:subClassOf,rc:FilmGenre
rc:ActionMovie,rdfs:subClassOf,owl:Thing
rc:CertificationOfWorkExperience,rdfs:subClassOf,rc:Certification
rc:CertificationOfWorkExperience,rdfs:subClassOf,owl:Thing
rc:License_IBO,rdfs:subClassOf,rc:CertificateDocument
rc:License_IBO,rdfs:subClassOf,owl:Thing
rc:Bishop_ChessPiece,rdfs:subClassOf,rc:ChessPiece
rc:Bishop_ChessPiece,rdfs:subClassOf,owl:Thing
rc:Passport,rdfs:subClassOf,rc:CertificateDocument
rc:Passport,rdfs:subClassOf,rc:LegalDocument
rc:Passport,rdfs:subClassOf,rc:NationalIDDocument
rc:Passport,rdfs:subClassOf,owl:Thing
rc:Fountain_ArtObject,rdfs:subClassOf,rc:Sculpture
rc:Fountain_ArtObject,rdfs:subClassOf,owl:Thing
rc:Scene_Dramatic,rdfs:subClassOf,rc:DramaticPerformance
rc:Scene_Dramatic,rdfs:subClassOf,owl:Thing
rc:CurrenciesByCountry,rdfs:subClassOf,rc:Currency
rc:CurrenciesByCountry,rdfs:subClassOf,owl:Thing
rc:VoterRegistrationCard,rdfs:subClassOf,rc:IDDocument
rc:VoterRegistrationCard,rdfs:subClassOf,owl:Thing
rc:RunicWriting,rdfs:subClassOf,rc:Runestone
rc:RunicWriting,rdfs:subClassOf,owl:Thing
rc:Impressionism,rdfs:subClassOf,rc:ArtStyle
rc:Impressionism,rdfs:subClassOf,owl:Thing
rc:StoneMountainMemorialHalfDollar,rdfs:subClassOf,rc:HalfDollarCoin_US
rc:StoneMountainMemorialHalfDollar,rdfs:subClassOf,owl:Thing
rc:OlympicSilverMedal,rdfs:subClassOf,rc:OlympicMedal
rc:OlympicSilverMedal,rdfs:subClassOf,owl:Thing
rc:Bible_BookCopy,rdfs:subClassOf,rc:BookCopy
rc:Bible_BookCopy,rdfs:subClassOf,owl:Thing
rc:AnalysisDiagram,rdfs:subClassOf,rc:Diagram
rc:AnalysisDiagram,rdfs:subClassOf,owl:Thing
rc:Engraving_Print,rdfs:subClassOf,rc:HardcopyInformationBearingObject
rc:Engraving_Print,rdfs:subClassOf,owl:Thing
rc:Relief_Sculpture,rdfs:subClassOf,rc:Sculpture
rc:Relief_Sculpture,rdfs:subClassOf,owl:Thing
rc:MagicalGirl,rdfs:subClassOf,rc:AnimeAndMangaByGenre
rc:MagicalGirl,rdfs:subClassOf,owl:Thing
rc:AnimatedTVShow,rdfs:subClassOf,rc:ConceptualWork_AnimationGenre
rc:AnimatedTVShow,rdfs:subClassOf,rc:TVShow
rc:AnimatedTVShow,rdfs:subClassOf,owl:Thing
rc:ClassicMovie,rdfs:subClassOf,rc:FilmGenre
rc:ClassicMovie,rdfs:subClassOf,owl:Thing
rc:HentaiAnimeAndManga,rdfs:subClassOf,rc:Manga
rc:HentaiAnimeAndManga,rdfs:subClassOf,owl:Thing
rc:PilotsLicense_Document,rdfs:subClassOf,rc:TransportationLicense_Document
rc:PilotsLicense_Document,rdfs:subClassOf,owl:Thing
rc:AddressBook,rdfs:subClassOf,rc:BookCopy
rc:AddressBook,rdfs:subClassOf,owl:Thing
rc:B_Movie,rdfs:subClassOf,rc:Movie
rc:B_Movie,rdfs:subClassOf,owl:Thing
rc:WaitingList,rdfs:subClassOf,rc:List_Information
rc:WaitingList,rdfs:subClassOf,owl:Thing
rc:SerialArt,rdfs:subClassOf,rc:ArtStyle
rc:SerialArt,rdfs:subClassOf,owl:Thing
rc:StoreChargeCard,rdfs:subClassOf,rc:CreditCard
rc:StoreChargeCard,rdfs:subClassOf,owl:Thing
rc:StarTrekMovie,rdfs:subClassOf,rc:ScienceFictionMovie
rc:StarTrekMovie,rdfs:subClassOf,owl:Thing
rc:TelevisionFranchise,rdfs:subClassOf,rc:TVSeriesProduct
rc:TelevisionFranchise,rdfs:subClassOf,owl:Thing
rc:TVShowOnFinance,rdfs:subClassOf,rc:InformativeTVShow
rc:TVShowOnFinance,rdfs:subClassOf,owl:Thing
rc:RoutingList,rdfs:subClassOf,rc:List_Information
rc:RoutingList,rdfs:subClassOf,owl:Thing
rc:FractalRepresentation,rdfs:subClassOf,rc:StillImageSource
rc:FractalRepresentation,rdfs:subClassOf,owl:Thing
rc:SignedPurchaseContract,rdfs:subClassOf,rc:OfficialDocument
rc:SignedPurchaseContract,rdfs:subClassOf,owl:Thing
rc:ArtByPeriod,rdfs:subClassOf,rc:Art
rc:ArtByPeriod,rdfs:subClassOf,owl:Thing
rc:Lista_de_Espera,rdfs:subClassOf,rc:Movie
rc:Lista_de_Espera,rdfs:subClassOf,owl:Thing
rc:DanceAnimation,rdfs:subClassOf,rc:Animation_MovingImage
rc:DanceAnimation,rdfs:subClassOf,owl:Thing
rc:Plaintext,rdfs:subClassOf,rc:TypographicalStructure
rc:Plaintext,rdfs:subClassOf,owl:Thing
rc:TransportationLicense_Document,rdfs:subClassOf,rc:IDDocument
rc:TransportationLicense_Document,rdfs:subClassOf,rc:License_IBO
rc:TransportationLicense_Document,rdfs:subClassOf,owl:Thing
rc:DebtAssumptionLetter,rdfs:subClassOf,rc:OfficialDocument
rc:DebtAssumptionLetter,rdfs:subClassOf,owl:Thing
rc:Club_TheSuit,rdfs:subClassOf,rc:PlayingCard
rc:Club_TheSuit,rdfs:subClassOf,owl:Thing
rc:ShoppingList,rdfs:subClassOf,rc:List_Information
rc:ShoppingList,rdfs:subClassOf,owl:Thing
rc:UpskirtPicture,rdfs:subClassOf,rc:PornographicPicture
rc:UpskirtPicture,rdfs:subClassOf,rc:VisualImage
rc:UpskirtPicture,rdfs:subClassOf,owl:Thing
rc:NauticalChart,rdfs:subClassOf,rc:BathymetricMap
rc:NauticalChart,rdfs:subClassOf,owl:Thing
rc:Crucifix_ChristianSymbol,rdfs:subClassOf,rc:ArtObject
rc:Crucifix_ChristianSymbol,rdfs:subClassOf,owl:Thing
rc:BasketballMovie,rdfs:subClassOf,rc:SportsMovie
rc:BasketballMovie,rdfs:subClassOf,owl:Thing
rc:Oscar_Statuette,rdfs:subClassOf,rc:Figurine
rc:Oscar_Statuette,rdfs:subClassOf,owl:Thing
rc:ReliefBust,rdfs:subClassOf,rc:Bust_Sculpture
rc:ReliefBust,rdfs:subClassOf,rc:Relief_Sculpture
rc:ReliefBust,rdfs:subClassOf,owl:Thing
rc:Cryptocurrency,rdfs:subClassOf,rc:DigitalCurrency
rc:Cryptocurrency,rdfs:subClassOf,owl:Thing
rc:USExecutiveOrder,rdfs:subClassOf,rc:ExecutiveOrder
rc:USExecutiveOrder,rdfs:subClassOf,owl:Thing
rc:HalfDollarCoin_US,rdfs:subClassOf,rc:Coin_US
rc:HalfDollarCoin_US,rdfs:subClassOf,owl:Thing
rc:Tokusatsu,rdfs:subClassOf,rc:TelevisionSeriesByGenre
rc:Tokusatsu,rdfs:subClassOf,owl:Thing
rc:WrittenNumeral,rdfs:subClassOf,rc:WrittenCharacter
rc:WrittenNumeral,rdfs:subClassOf,rc:WrittenNumeralSequence
rc:WrittenNumeral,rdfs:subClassOf,owl:Thing
rc:DecadesInArt,rdfs:subClassOf,rc:ArtByPeriod
rc:DecadesInArt,rdfs:subClassOf,rc:ArtSubject
rc:DecadesInArt,rdfs:subClassOf,owl:Thing
rc:PunctuationMark,rdfs:subClassOf,rc:AuxiliaryWritingMark
rc:PunctuationMark,rdfs:subClassOf,owl:Thing
rc:BasketballCard,rdfs:subClassOf,rc:SportsCard
rc:BasketballCard,rdfs:subClassOf,owl:Thing
rc:GiftLetterDocument,rdfs:subClassOf,rc:OfficialDocument
rc:GiftLetterDocument,rdfs:subClassOf,owl:Thing
rc:AncientArt,rdfs:subClassOf,rc:ArtByPeriod
rc:AncientArt,rdfs:subClassOf,owl:Thing
rc:UnitedStatesStateInsignia,rdfs:subClassOf,rc:FormalInsignia
rc:UnitedStatesStateInsignia,rdfs:subClassOf,owl:Thing
rc:Table_Visual,rdfs:subClassOf,rc:VisualArtifact
rc:Table_Visual,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:FilmGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:StockCertificate,rdfs:subClassOf,rc:CertificateDocument
rc:StockCertificate,rdfs:subClassOf,rc:IDDocument
rc:StockCertificate,rdfs:subClassOf,owl:Thing
rc:NaturalizationRecord,rdfs:subClassOf,rc:LegalDocument
rc:NaturalizationRecord,rdfs:subClassOf,owl:Thing
rc:FictionalTVShow,rdfs:subClassOf,rc:TVShow
rc:FictionalTVShow,rdfs:subClassOf,owl:Thing
rc:AlphabeticalList,rdfs:subClassOf,rc:List_Information
rc:AlphabeticalList,rdfs:subClassOf,owl:Thing
rc:Cubism,rdfs:subClassOf,rc:ArtStyle
rc:Cubism,rdfs:subClassOf,owl:Thing
rc:QuoteRequestDocument,rdfs:subClassOf,rc:OfficialDocument
rc:QuoteRequestDocument,rdfs:subClassOf,owl:Thing
rc:ParodyMovie,rdfs:subClassOf,rc:ComedyMovie
rc:ParodyMovie,rdfs:subClassOf,owl:Thing
rc:PennyCoin_US,rdfs:subClassOf,rc:Coin_US
