s,p,o
http://purl.org/vocab/frbr/core#Concept,owl:equivalentClass,http://kbpedia.org/kko/rc/Concept
http://purl.org/vocab/frbr/core#Event,owl:equivalentClass,http://kbpedia.org/kko/rc/Event
http://purl.org/vocab/frbr/core#Person,owl:equivalentClass,http://kbpedia.org/kko/rc/Person
http://purl.org/vocab/frbr/core#producer,owl:equivalentClass,http://kbpedia.org/kko/rc/Producer
http://purl.org/vocab/frbr/core#Work,owl:equivalentClass,http://kbpedia.org/kko/rc/PropositionalConceptualWork
http://purl.org/vocab/frbr/core#abridgement,rdfs:subClassOf,http://kbpedia.org/kko/rc/DecreaseEvent
http://purl.org/vocab/frbr/core#adaption,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConvertingSomething
http://purl.org/vocab/frbr/core#arrangement,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArrangementOfLikeObjects
http://purl.org/vocab/frbr/core#CorporateBody,rdfs:subClassOf,http://kbpedia.org/kko/rc/CommercialOrganization
http://kbpedia.org/kko/rc/Creator_Person,rdfs:subClassOf,http://purl.org/vocab/frbr/core#creator
http://purl.org/vocab/frbr/core#embodiment,rdfs:subClassOf,http://kbpedia.org/kko/rc/Embodiment
http://purl.org/vocab/frbr/core#Endeavour,rdfs:subClassOf,http://kbpedia.org/kko/rc/CreatingAnArtifact
http://purl.org/vocab/frbr/core#Expression,rdfs:subClassOf,http://kbpedia.org/kko/rc/TextualPCW
http://purl.org/vocab/frbr/core#imitation,rdfs:subClassOf,http://kbpedia.org/kko/rc/ImitationOfIndividual
http://purl.org/vocab/frbr/core#Manifestation,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#Manifestations
http://purl.org/vocab/frbr/core#owner,rdfs:subClassOf,http://kbpedia.org/kko/rc/OwningSomething
http://purl.org/vocab/frbr/core#part,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalPartOfObject
http://purl.org/vocab/frbr/core#relatedEndeavour,rdfs:subClassOf,http://kbpedia.org/kko/rc/Relation
http://purl.org/vocab/frbr/core#reproduction,rdfs:subClassOf,http://kbpedia.org/kko/rc/PrintReproduction
http://purl.org/vocab/frbr/core#revision,rdfs:subClassOf,http://kbpedia.org/kko/rc/Amendment_PCW
http://purl.org/vocab/frbr/core#summarization,rdfs:subClassOf,http://kbpedia.org/kko/rc/Summary
http://purl.org/vocab/frbr/core#supplement,rdfs:subClassOf,http://kbpedia.org/kko/rc/TextualPCW
http://purl.org/vocab/frbr/core#transformation,rdfs:subClassOf,http://kbpedia.org/kko/rc/Transformation
http://purl.org/vocab/frbr/core#translation,rdfs:subClassOf,http://kbpedia.org/kko/rc/IBTTranslating
http://kbpedia.org/kko/rc/DecreaseEvent,kko:superClassOf,http://purl.org/vocab/frbr/core#abridgement
http://kbpedia.org/kko/rc/ConvertingSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#adaption
http://kbpedia.org/kko/rc/ArrangementOfLikeObjects,kko:superClassOf,http://purl.org/vocab/frbr/core#arrangement
http://kbpedia.org/kko/rc/CommercialOrganization,kko:superClassOf,http://purl.org/vocab/frbr/core#CorporateBody
http://purl.org/vocab/frbr/core#creator,kko:superClassOf,http://kbpedia.org/kko/rc/Creator_Person
http://kbpedia.org/kko/rc/Embodiment,kko:superClassOf,http://purl.org/vocab/frbr/core#embodiment
http://kbpedia.org/kko/rc/CreatingAnArtifact,kko:superClassOf,http://purl.org/vocab/frbr/core#Endeavour
http://kbpedia.org/kko/rc/TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#Expression
http://kbpedia.org/kko/rc/ImitationOfIndividual,kko:superClassOf,http://purl.org/vocab/frbr/core#imitation
http://kbpedia.org/ontologies/kko#Manifestations,kko:superClassOf,http://purl.org/vocab/frbr/core#Manifestation
http://kbpedia.org/kko/rc/ObjectTypes,rdfs:subClassOf,http://purl.org/vocab/frbr/core#Object
http://kbpedia.org/kko/rc/Object,rdfs:subClassOf,http://purl.org/vocab/frbr/core#Object
http://kbpedia.org/kko/rc/OwningSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#owner
http://kbpedia.org/kko/rc/PhysicalPartOfObject,kko:superClassOf,http://purl.org/vocab/frbr/core#part
http://kbpedia.org/kko/rc/Relation,kko:superClassOf,http://purl.org/vocab/frbr/core#relatedEndeavour
http://kbpedia.org/kko/rc/PrintReproduction,kko:superClassOf,http://purl.org/vocab/frbr/core#reproduction
http://kbpedia.org/kko/rc/Amendment_PCW,kko:superClassOf,http://purl.org/vocab/frbr/core#revision
http://kbpedia.org/kko/rc/Summary,kko:superClassOf,http://purl.org/vocab/frbr/core#summarization
http://kbpedia.org/kko/rc/TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#supplement
http://kbpedia.org/kko/rc/Transformation,kko:superClassOf,http://purl.org/vocab/frbr/core#transformation
http://kbpedia.org/kko/rc/IBTTranslating,kko:superClassOf,http://purl.org/vocab/frbr/core#translation
