id,object,relatesTo
Emergency,EndangeringSomething,relatesToActionTypes
Measurement,MeasuringSomething,relatesToActionTypes
PreparedFood,FoodAndDrinkPreparation,relatesToActionTypes
ProcessedFood,FoodAndDrinkPreparation,relatesToActionTypes
ServiceEvent,HelpingAnAgent,relatesToActionTypes
AcademyAward,AwardAttribute,relatesToAdjunctualAttributes
Adaptation,BiologicalAttribute,relatesToAdjunctualAttributes
BiologicalGrowthEvent,BiologicalAttribute,relatesToAdjunctualAttributes
BiologicalMaturationEvent,BiologicalAttribute,relatesToAdjunctualAttributes
BiologicalProductionEvent,BiologicalAttribute,relatesToAdjunctualAttributes
BodilyFunctionEvent_Involuntary,BiologicalAttribute,relatesToAdjunctualAttributes
CreationEvent,CreationAttribute,relatesToAdjunctualAttributes
Dying,BiologicalAttribute,relatesToAdjunctualAttributes
EmmyAward,AwardAttribute,relatesToAdjunctualAttributes
IntrinsicStateChangeEvent,IntrinsicStateChangeAttribute,relatesToAdjunctualAttributes
MusicAward,AwardAttribute,relatesToAdjunctualAttributes
PhysicalCreationOrDestructionEvent,PhysicalChangeAttribute,relatesToAdjunctualAttributes
PhysicalTransformationEvent,PhysicalChangeAttribute,relatesToAdjunctualAttributes
Prize,AwardAttribute,relatesToAdjunctualAttributes
SeedGerminationEvent,BiologicalAttribute,relatesToAdjunctualAttributes
SportsAward,AwardAttribute,relatesToAdjunctualAttributes
GeopoliticalEntity,GovernmentRelatedEntity,relatesToAgents
SentientAnimal,Sentient,relatesToAgents
AbominableSnowman,Mammal,relatesToAnimals
Bigfoot,Mammal,relatesToAnimals
Dragon,Reptile,relatesToAnimals
HomoSapiens_asPerson,HomoSapiens_asAnimal,relatesToAnimals
Immunology,ImmuneSystem,relatesToAnimals
Immunotoxin,ImmuneSystem,relatesToAnimals
Vampire,Mammal,relatesToAnimals
Werewolf,Mammal,relatesToAnimals
TopographicalFeature,Place_NonAgent_Area,relatesToAreaRegion
Train,Railway,relatesToAreaRegion
KosherFood,ThingConformingToKosherDietaryLaws,relatesToArtifacts
TransportAndTheEnvironment,EnvironmentalImpact,relatesToArtifacts
MusicLooping,Music,relatesToAudioInfo
OrganicChemicalObject,ChemicalObject,relatesToChemistry
AccountType,TemporalStuffType,relatesToConcepts
Acupressure,Alternative,relatesToConcepts
Acupuncture,Alternative,relatesToConcepts
AirplaneTrip,TemporallyContinuousThing,relatesToConcepts
AlternativeRockMusic,Alternative,relatesToConcepts
AlternativeScience,Alternative,relatesToConcepts
AncientCity,Ancient,relatesToConcepts
AncientCounty_China,Ancient,relatesToConcepts
AncientCurrency,Ancient,relatesToConcepts
AncientInternationalRelations,Ancient,relatesToConcepts
AncientMonument,Ancient,relatesToConcepts
AncientNavalShip,Ancient,relatesToConcepts
AncientRoadway,Ancient,relatesToConcepts
ArchaeologicalArtifact,Ancient,relatesToConcepts
ArchaeologicalSite,HistoricTemporalThing,relatesToConcepts
Archive,HistoricalCollection,relatesToConcepts
ArtifactType,TemporalStuffType,relatesToConcepts
Assets_Possession,Possession,relatesToConcepts
AttackOnTangible,DangerousSituation,relatesToConcepts
Bear_Animal,DangerousTangibleThing,relatesToConcepts
BiochemicallyHarmfulSubstance,DangerousTangibleThing,relatesToConcepts
BiologicalLivingObject,TemporallyContinuousThing,relatesToConcepts
BiologicalProcesses,TemporallyContinuousThing,relatesToConcepts
Blackout,DangerousEvent,relatesToConcepts
Blitz,DangerousEvent,relatesToConcepts
BodyOfWater,WaterResources,relatesToConcepts
BranchOfMilitaryService,MilitaryOrganizationConcept,relatesToConcepts
BushFlying,DangerousActivity,relatesToConcepts
BusinessRelatedThing,TemporalThing,relatesToConcepts
CartographicFeatureType,TemporalStuffType,relatesToConcepts
ChemicalSpeciesType,TemporalStuffType,relatesToConcepts
CommodityProduct,TemporalStuffType,relatesToConcepts
ConfluenceOfSinuses,JunctionOfPaths,relatesToConcepts
ConfluenceOfStreams,JunctionOfPaths,relatesToConcepts
ContinuousTimeInterval,TemporallyContinuousThing,relatesToConcepts
Convoy,LineOfObjects,relatesToConcepts
Crevasse,DangerousTangibleThing,relatesToConcepts
CriminalAct,DangerousActivity,relatesToConcepts
CulturalThing,TemporallyExistingThing,relatesToConcepts
CutFlower,IndependentThing,relatesToConcepts
CuttingDevice,DangerousTangibleThing,relatesToConcepts
