id,subclassof,parent
http://kbpedia.org/kko/rc/ThermosetPlastic,rdfs:subClassOf,http://kbpedia.org/kko/rc/RubberElastomer
http://kbpedia.org/kko/rc/ThermosetPlastic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/IridiumCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/IridiumCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExogenousOxidizingAgent,rdfs:subClassOf,http://kbpedia.org/kko/rc/OrganicMaterial
http://kbpedia.org/kko/rc/ExogenousOxidizingAgent,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ExogenousOxidizingAgent,rdfs:subClassOf,http://kbpedia.org/kko/rc/OxidizingAgent
http://kbpedia.org/kko/rc/Thorium232,rdfs:subClassOf,http://kbpedia.org/kko/rc/Isotope
http://kbpedia.org/kko/rc/Thorium232,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Thorium232,rdfs:subClassOf,http://kbpedia.org/kko/rc/Thorium
http://kbpedia.org/kko/rc/3_Amino_5_nitrosalicylicAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/BenzoicAcid
http://kbpedia.org/kko/rc/3_Amino_5_nitrosalicylicAcid,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MRNAProcessing,rdfs:subClassOf,http://kbpedia.org/kko/rc/EukaryoticRNAProcessing
http://kbpedia.org/kko/rc/MRNAProcessing,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Lipase,rdfs:subClassOf,http://kbpedia.org/kko/rc/Hydrolase
http://kbpedia.org/kko/rc/Lipase,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChlorineCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/ChlorineCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SulfurousAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicallyAcidicSubstance
http://kbpedia.org/kko/rc/SulfurousAcid,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SulfurousAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/InorganicAcid
http://kbpedia.org/kko/rc/SulfurousAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/WeakElectrolyte
http://kbpedia.org/kko/rc/NeutronPoison,rdfs:subClassOf,http://kbpedia.org/kko/rc/Neutron
http://kbpedia.org/kko/rc/NeutronPoison,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TartaricAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/DicarboxylicAcid
http://kbpedia.org/kko/rc/TartaricAcid,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/TartaricAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/WeakElectrolyte
http://kbpedia.org/kko/rc/TartaricAcid,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicallyAcidicSubstance
http://kbpedia.org/kko/rc/TetraborateIon,rdfs:subClassOf,http://kbpedia.org/kko/rc/PolyatomicAnion
http://kbpedia.org/kko/rc/TetraborateIon,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Clathrin,rdfs:subClassOf,http://kbpedia.org/kko/rc/ProteinStuff
http://kbpedia.org/kko/rc/Clathrin,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MolybdenumCompound,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalCompoundTypeByChemicalSpecies
http://kbpedia.org/kko/rc/MolybdenumCompound,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AluminumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Antacid
http://kbpedia.org/kko/rc/AluminumHydroxide,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AluminumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Electrolyte
http://kbpedia.org/kko/rc/AluminumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/IonicCompound
http://kbpedia.org/kko/rc/AluminumHydroxide,rdfs:subClassOf,http://kbpedia.org/kko/rc/Salt_ChemicalSubstance
http://kbpedia.org/kko/rc/ChemicalInteractions,rdfs:subClassOf,http://kbpedia.org/kko/rc/ChemicalProcess
http://kbpedia.org/kko/rc/ChemicalInteractions,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ChemicalInteractions,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#Chemistry
