id,subclassof,parent
http://kbpedia.org/kko/rc/Encyclopedism,rdfs:subClassOf,http://kbpedia.org/kko/rc/Epistemology
http://kbpedia.org/kko/rc/Encyclopedism,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,http://kbpedia.org/kko/rc/LogicalFallacy
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/PropositionalFallacy,rdfs:subClassOf,http://kbpedia.org/kko/rc/PropositionalLogic
http://kbpedia.org/kko/rc/TenseLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Logic
http://kbpedia.org/kko/rc/TenseLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Operational_Definition,rdfs:subClassOf,http://kbpedia.org/kko/rc/Definition
http://kbpedia.org/kko/rc/Operational_Definition,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SignSystem,rdfs:subClassOf,http://kbpedia.org/kko/rc/Semiotics
http://kbpedia.org/kko/rc/SignSystem,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SyntaxLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophyOfLogic
http://kbpedia.org/kko/rc/SyntaxLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/SyntaxLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Syntax
http://kbpedia.org/kko/rc/Gloss,rdfs:subClassOf,http://kbpedia.org/kko/rc/Definition
http://kbpedia.org/kko/rc/Gloss,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Gloss,rdfs:subClassOf,http://kbpedia.org/kko/rc/Glossary
http://kbpedia.org/kko/rc/Ontology_Being,rdfs:subClassOf,http://kbpedia.org/kko/rc/Epistemology
http://kbpedia.org/kko/rc/Ontology_Being,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Ontology_Being,rdfs:subClassOf,http://kbpedia.org/kko/rc/Metaphysics
http://kbpedia.org/kko/rc/Ontology_Being,rdfs:subClassOf,http://kbpedia.org/kko/rc/Philosophy
http://kbpedia.org/kko/rc/OntologyInformationScience,rdfs:subClassOf,http://kbpedia.org/kko/rc/KnowledgeRepresentation
http://kbpedia.org/kko/rc/OntologyInformationScience,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/OntologyInformationScience,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ontology_Being
http://kbpedia.org/kko/rc/BooleanAlgebra,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalLogic
http://kbpedia.org/kko/rc/BooleanAlgebra,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cyc,rdfs:subClassOf,http://kbpedia.org/kko/rc/KnowledgeBase
http://kbpedia.org/kko/rc/Cyc,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Cyc,rdfs:subClassOf,http://kbpedia.org/kko/rc/OntologyInformationScience
http://kbpedia.org/kko/rc/EpistemicLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/ConceptInLogic
http://kbpedia.org/kko/rc/EpistemicLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KBpedia,rdfs:subClassOf,http://kbpedia.org/kko/rc/KnowledgeBase
http://kbpedia.org/kko/rc/KBpedia,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/KBpedia,rdfs:subClassOf,http://kbpedia.org/kko/rc/OntologyInformationScience
http://kbpedia.org/kko/rc/MusicSemiology,rdfs:subClassOf,http://kbpedia.org/kko/rc/Semiotics
http://kbpedia.org/kko/rc/MusicSemiology,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Epistemics,rdfs:subClassOf,http://kbpedia.org/kko/rc/Epistemology
http://kbpedia.org/kko/rc/Epistemics,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Epistemics,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#EmergentKnowledge
http://kbpedia.org/kko/rc/EpistemologicalTheory,rdfs:subClassOf,http://kbpedia.org/kko/rc/Epistemology
http://kbpedia.org/kko/rc/EpistemologicalTheory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ConstructivismMathematics,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalLogic
http://kbpedia.org/kko/rc/ConstructivismMathematics,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/StandardLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Logic
http://kbpedia.org/kko/rc/StandardLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ScienceStudies,rdfs:subClassOf,http://kbpedia.org/kko/rc/Epistemology
http://kbpedia.org/kko/rc/ScienceStudies,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Reality,rdfs:subClassOf,http://kbpedia.org/kko/rc/Ontology_Being
http://kbpedia.org/kko/rc/Reality,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Reality,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhilosophicalConcept
http://kbpedia.org/kko/rc/Quantification,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalLogic
http://kbpedia.org/kko/rc/Quantification,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Quantification,rdfs:subClassOf,http://kbpedia.org/kko/rc/PredicateLogic
http://kbpedia.org/kko/rc/Quantification,rdfs:subClassOf,http://kbpedia.org/kko/rc/Semantics
http://kbpedia.org/kko/rc/RelevanceLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Logic
http://kbpedia.org/kko/rc/RelevanceLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicalLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalLogic
http://kbpedia.org/kko/rc/ClassicalLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/ClassicalLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Logic
http://kbpedia.org/kko/rc/PhilosophicalLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Logic
http://kbpedia.org/kko/rc/PhilosophicalLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AristotelianLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/ClassicalLogic
http://kbpedia.org/kko/rc/AristotelianLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CategoricalLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/CategoryTheory
http://kbpedia.org/kko/rc/CategoricalLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CategoricalLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/MathematicalLogic
http://kbpedia.org/kko/rc/FuzzyLogic,rdfs:subClassOf,http://kbpedia.org/kko/rc/Logic
http://kbpedia.org/kko/rc/FuzzyLogic,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RecursionScheme,rdfs:subClassOf,http://kbpedia.org/kko/rc/FunctionalObject
http://kbpedia.org/kko/rc/RecursionScheme,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/RecursionScheme,rdfs:subClassOf,http://kbpedia.org/kko/rc/Recursion
