id,subClassOf,parent
kko:RefConcept,rdfs:subClassOf,skos:Concept
kko:RefConcept,rdfs:subClassOf,owl:Thing
kko:AVInfo,rdfs:subClassOf,kko:Information
kko:AVInfo,rdfs:subClassOf,owl:Thing
kko:Information,rdfs:subClassOf,kko:Symbolic
kko:Information,rdfs:subClassOf,owl:Thing
kko:AdjunctualAttributes,rdfs:subClassOf,kko:AttributeTypes
kko:AdjunctualAttributes,rdfs:subClassOf,owl:Thing
kko:Agents,rdfs:subClassOf,kko:OrganicMatter
kko:Agents,rdfs:subClassOf,owl:Thing
kko:Animals,rdfs:subClassOf,kko:Eukaryotes
kko:Animals,rdfs:subClassOf,owl:Thing
kko:AreaRegion,rdfs:subClassOf,kko:Places
kko:AreaRegion,rdfs:subClassOf,owl:Thing
kko:AtomsElements,rdfs:subClassOf,kko:NaturalMatter
kko:AtomsElements,rdfs:subClassOf,owl:Thing
kko:BiologicalChemistry,rdfs:subClassOf,kko:OrganicMatter
kko:BiologicalChemistry,rdfs:subClassOf,owl:Thing
kko:BiologicalProcesses,rdfs:subClassOf,kko:BiologicalChemistry
kko:BiologicalProcesses,rdfs:subClassOf,owl:Thing
kko:Chemistry,rdfs:subClassOf,kko:NaturalMatter
kko:Chemistry,rdfs:subClassOf,owl:Thing
kko:Concepts,rdfs:subClassOf,kko:ConceptualSystems
kko:Concepts,rdfs:subClassOf,owl:Thing
kko:DirectRelations,rdfs:subClassOf,kko:RelationTypes
kko:DirectRelations,rdfs:subClassOf,owl:Thing
kko:Diseases,rdfs:subClassOf,kko:LivingThings
kko:Diseases,rdfs:subClassOf,owl:Thing
kko:Drugs,rdfs:subClassOf,kko:Artifacts
kko:Drugs,rdfs:subClassOf,owl:Thing
kko:EmergentKnowledge,rdfs:subClassOf,kko:Methodeutic
kko:EmergentKnowledge,rdfs:subClassOf,owl:Thing
kko:Eukaryotes,rdfs:subClassOf,kko:LivingThings
kko:Eukaryotes,rdfs:subClassOf,owl:Thing
kko:FoodDrink,rdfs:subClassOf,kko:Artifacts
kko:FoodDrink,rdfs:subClassOf,owl:Thing
kko:Geopolitical,rdfs:subClassOf,kko:Agents
kko:Geopolitical,rdfs:subClassOf,owl:Thing
kko:InquiryMethods,rdfs:subClassOf,kko:Methodeutic
kko:InquiryMethods,rdfs:subClassOf,owl:Thing
kko:IntrinsicAttributes,rdfs:subClassOf,kko:AttributeTypes
kko:IntrinsicAttributes,rdfs:subClassOf,owl:Thing
kko:LearningProcesses,rdfs:subClassOf,kko:ConceptualSystems
kko:LearningProcesses,rdfs:subClassOf,owl:Thing
kko:LivingThings,rdfs:subClassOf,kko:Manifestations
kko:LivingThings,rdfs:subClassOf,owl:Thing
kko:LocationPlace,rdfs:subClassOf,kko:Places
kko:LocationPlace,rdfs:subClassOf,owl:Thing
kko:NaturalMatter,rdfs:subClassOf,kko:Manifestations
kko:NaturalMatter,rdfs:subClassOf,owl:Thing
kko:NaturalSubstances,rdfs:subClassOf,kko:NaturalMatter
kko:NaturalSubstances,rdfs:subClassOf,owl:Thing
kko:OrganicMatter,rdfs:subClassOf,kko:Manifestations
kko:OrganicMatter,rdfs:subClassOf,owl:Thing
kko:Organizations,rdfs:subClassOf,kko:Agents
kko:Organizations,rdfs:subClassOf,owl:Thing
kko:Persons,rdfs:subClassOf,kko:Agents
kko:Persons,rdfs:subClassOf,owl:Thing
kko:Places,rdfs:subClassOf,kko:SpaceTypes
kko:Places,rdfs:subClassOf,owl:Thing
kko:Plants,rdfs:subClassOf,kko:Eukaryotes
kko:Plants,rdfs:subClassOf,owl:Thing
kko:Prokaryotes,rdfs:subClassOf,kko:LivingThings
kko:Prokaryotes,rdfs:subClassOf,owl:Thing
kko:ProtistsFungus,rdfs:subClassOf,kko:Eukaryotes
kko:ProtistsFungus,rdfs:subClassOf,owl:Thing
kko:Shapes,rdfs:subClassOf,kko:SpaceTypes
kko:Shapes,rdfs:subClassOf,owl:Thing
kko:Times,rdfs:subClassOf,kko:TimeTypes
kko:Times,rdfs:subClassOf,owl:Thing
kko:Absolute,rdfs:subClassOf,kko:Pluralness
kko:Absolute,rdfs:subClassOf,owl:Thing
kko:Pluralness,rdfs:subClassOf,kko:FirstMonads
kko:Pluralness,rdfs:subClassOf,owl:Thing
kko:Accidental,rdfs:subClassOf,kko:Suchness
kko:Accidental,rdfs:subClassOf,owl:Thing
kko:Suchness,rdfs:subClassOf,kko:FirstMonads
kko:Suchness,rdfs:subClassOf,owl:Thing
kko:AccidentalForm,rdfs:subClassOf,kko:Real
kko:AccidentalForm,rdfs:subClassOf,owl:Thing
kko:Real,rdfs:subClassOf,kko:Oneness
kko:Real,rdfs:subClassOf,owl:Thing
kko:ActionTypes,rdfs:subClassOf,kko:CopulativeRelations
kko:ActionTypes,rdfs:subClassOf,owl:Thing
kko:CopulativeRelations,rdfs:subClassOf,kko:RelationTypes
kko:CopulativeRelations,rdfs:subClassOf,owl:Thing
kko:Actions,rdfs:subClassOf,kko:Events
kko:Actions,rdfs:subClassOf,owl:Thing
kko:Events,rdfs:subClassOf,kko:Particulars
kko:Events,rdfs:subClassOf,owl:Thing
kko:Activities,rdfs:subClassOf,kko:Continuous
kko:Activities,rdfs:subClassOf,owl:Thing
kko:Continuous,rdfs:subClassOf,kko:Events
kko:Continuous,rdfs:subClassOf,owl:Thing
kko:AttributeTypes,rdfs:subClassOf,kko:Predications
kko:AttributeTypes,rdfs:subClassOf,owl:Thing
kko:Artifacts,rdfs:subClassOf,kko:Symbolic
kko:Artifacts,rdfs:subClassOf,owl:Thing
kko:Associatives,rdfs:subClassOf,kko:RepresentationTypes
kko:Associatives,rdfs:subClassOf,owl:Thing
kko:AudioInfo,rdfs:subClassOf,kko:AVInfo
kko:AudioInfo,rdfs:subClassOf,owl:Thing
kko:ConceptualSystems,rdfs:subClassOf,kko:Systems
kko:ConceptualSystems,rdfs:subClassOf,owl:Thing
kko:Constituents,rdfs:subClassOf,kko:Generals
kko:Constituents,rdfs:subClassOf,owl:Thing
kko:ContextualAttributes,rdfs:subClassOf,kko:AttributeTypes
kko:ContextualAttributes,rdfs:subClassOf,owl:Thing
kko:EconomicSystems,rdfs:subClassOf,kko:SocialSystems
kko:EconomicSystems,rdfs:subClassOf,owl:Thing
kko:EventTypes,rdfs:subClassOf,kko:TimeTypes
kko:EventTypes,rdfs:subClassOf,owl:Thing
kko:Facilities,rdfs:subClassOf,kko:Artifacts
kko:Facilities,rdfs:subClassOf,owl:Thing
kko:Forms,rdfs:subClassOf,kko:SpaceTypes
kko:Forms,rdfs:subClassOf,owl:Thing
kko:Indexes,rdfs:subClassOf,kko:RepresentationTypes
kko:Indexes,rdfs:subClassOf,owl:Thing
kko:KnowledgeDomains,rdfs:subClassOf,kko:Methodeutic
kko:KnowledgeDomains,rdfs:subClassOf,owl:Thing
kko:Methodeutic,rdfs:subClassOf,kko:Systems
kko:Methodeutic,rdfs:subClassOf,rc:OrganicMaterial
kko:Methodeutic,rdfs:subClassOf,owl:Thing
kko:NaturalPhenomena,rdfs:subClassOf,kko:Constituents
kko:NaturalPhenomena,rdfs:subClassOf,owl:Thing
kko:PrimarySectorProducts,rdfs:subClassOf,kko:Products
kko:PrimarySectorProducts,rdfs:subClassOf,owl:Thing
kko:Products,rdfs:subClassOf,kko:Artifacts
kko:Products,rdfs:subClassOf,owl:Thing
kko:SecondarySectorProducts,rdfs:subClassOf,kko:Products
kko:SecondarySectorProducts,rdfs:subClassOf,owl:Thing
kko:SituationTypes,rdfs:subClassOf,kko:MediativeRelations
kko:SituationTypes,rdfs:subClassOf,owl:Thing
kko:SocialSystems,rdfs:subClassOf,kko:Systems
kko:SocialSystems,rdfs:subClassOf,owl:Thing
kko:Society,rdfs:subClassOf,kko:SocialSystems
kko:Society,rdfs:subClassOf,owl:Thing
kko:SpaceTypes,rdfs:subClassOf,kko:Constituents
kko:SpaceTypes,rdfs:subClassOf,owl:Thing
kko:StructuredInfo,rdfs:subClassOf,kko:Information
kko:StructuredInfo,rdfs:subClassOf,owl:Thing
kko:Systems,rdfs:subClassOf,kko:Symbolic
kko:Systems,rdfs:subClassOf,owl:Thing
kko:TertiarySectorServices,rdfs:subClassOf,kko:Products
kko:TertiarySectorServices,rdfs:subClassOf,owl:Thing
kko:TimeTypes,rdfs:subClassOf,kko:Constituents
kko:TimeTypes,rdfs:subClassOf,owl:Thing
kko:TopicsCategories,rdfs:subClassOf,kko:ConceptualSystems
kko:TopicsCategories,rdfs:subClassOf,owl:Thing
kko:VisualInfo,rdfs:subClassOf,kko:AVInfo
kko:VisualInfo,rdfs:subClassOf,owl:Thing
kko:WrittenInfo,rdfs:subClassOf,kko:Information
kko:WrittenInfo,rdfs:subClassOf,owl:Thing
kko:Denotatives,rdfs:subClassOf,kko:RepresentationTypes
kko:Denotatives,rdfs:subClassOf,owl:Thing
kko:RepresentationTypes,rdfs:subClassOf,kko:Predications
kko:RepresentationTypes,rdfs:subClassOf,owl:Thing
kko:Areas,rdfs:subClassOf,kko:Space
kko:Areas,rdfs:subClassOf,owl:Thing
kko:Space,rdfs:subClassOf,kko:Continuants
kko:Space,rdfs:subClassOf,owl:Thing
kko:Symbolic,rdfs:subClassOf,kko:Manifestations
kko:Symbolic,rdfs:subClassOf,owl:Thing
kko:Associative,rdfs:subClassOf,kko:Indicatives
kko:Associative,rdfs:subClassOf,owl:Thing
kko:Indicatives,rdfs:subClassOf,kko:DyadicMonads
kko:Indicatives,rdfs:subClassOf,owl:Thing
kko:MediativeRelations,rdfs:subClassOf,kko:RelationTypes
kko:MediativeRelations,rdfs:subClassOf,owl:Thing
kko:Predications,rdfs:subClassOf,kko:Generals
kko:Predications,rdfs:subClassOf,owl:Thing
kko:Attributives,rdfs:subClassOf,kko:DyadicMonads
kko:Attributives,rdfs:subClassOf,owl:Thing
kko:DyadicMonads,rdfs:subClassOf,kko:Monads
kko:DyadicMonads,rdfs:subClassOf,owl:Thing
kko:Being,rdfs:subClassOf,kko:Thisness
kko:Being,rdfs:subClassOf,owl:Thing
kko:Thisness,rdfs:subClassOf,kko:FirstMonads
kko:Thisness,rdfs:subClassOf,owl:Thing
kko:Binary,rdfs:subClassOf,kko:Connective
kko:Binary,rdfs:subClassOf,owl:Thing
kko:Connective,rdfs:subClassOf,kko:Conjunctives
kko:Connective,rdfs:subClassOf,owl:Thing
kko:Chance,rdfs:subClassOf,kko:Thisness
kko:Chance,rdfs:subClassOf,owl:Thing
kko:CollectiveStuff,rdfs:subClassOf,kko:ComplexEntities
kko:CollectiveStuff,rdfs:subClassOf,owl:Thing
kko:ComplexEntities,rdfs:subClassOf,kko:Entities
kko:ComplexEntities,rdfs:subClassOf,owl:Thing
kko:Complex,rdfs:subClassOf,kko:Quantity
kko:Complex,rdfs:subClassOf,owl:Thing
kko:Quantity,rdfs:subClassOf,kko:Conjunctives
kko:Quantity,rdfs:subClassOf,owl:Thing
kko:Entities,rdfs:subClassOf,kko:Particulars
kko:Entities,rdfs:subClassOf,owl:Thing
kko:CompoundEntities,rdfs:subClassOf,kko:ComplexEntities
kko:CompoundEntities,rdfs:subClassOf,owl:Thing
kko:Concurrents,rdfs:subClassOf,kko:Relatives
kko:Concurrents,rdfs:subClassOf,owl:Thing
