kbpedia_id,s,p,o,
http://kbpedia.org/ontologies/kko#Information,Information,owl:equivalentClass,http://www.wikidata.org/entity/Q11028,Q11028
http://kbpedia.org/ontologies/kko#Denotatives,Denotatives,owl:equivalentClass,http://www.wikidata.org/entity/Q1189753,Q1189753
http://kbpedia.org/ontologies/kko#Diseases,Diseases,owl:equivalentClass,http://www.wikidata.org/entity/Q12136,Q12136
http://kbpedia.org/ontologies/kko#MediativeRelations,MediativeRelations,owl:equivalentClass,http://www.wikidata.org/entity/Q12223979,Q12223979
http://kbpedia.org/ontologies/kko#NaturalPhenomena,NaturalPhenomena,owl:equivalentClass,http://www.wikidata.org/entity/Q1322005,Q1322005
http://kbpedia.org/ontologies/kko#Agents,Agents,owl:equivalentClass,http://www.wikidata.org/entity/Q137372,Q137372
http://kbpedia.org/ontologies/kko#Concepts,Concepts,rdfs:subClassOf,http://www.wikidata.org/entity/Q151885,Q151885
http://kbpedia.org/ontologies/kko#SocialSystems,SocialSystems,owl:equivalentClass,http://www.wikidata.org/entity/Q1639378,Q1639378
http://kbpedia.org/ontologies/kko#OrganicMatter,OrganicMatter,owl:equivalentClass,http://www.wikidata.org/entity/Q1783121,Q1783121
http://kbpedia.org/ontologies/kko#Prokaryotes,Prokaryotes,owl:equivalentClass,http://www.wikidata.org/entity/Q19081,Q19081
http://kbpedia.org/ontologies/kko#Chemistry,Chemistry,owl:equivalentClass,http://www.wikidata.org/entity/Q2329,Q2329
http://kbpedia.org/ontologies/kko#Products,Products,kko:superClassOf,http://www.wikidata.org/entity/Q2424752,Q2424752
http://kbpedia.org/ontologies/kko#IntrinsicAttributes,IntrinsicAttributes,owl:equivalentClass,http://www.wikidata.org/entity/Q2722260,Q2722260
http://kbpedia.org/ontologies/kko#Manifestations,Manifestations,owl:equivalentClass,http://www.wikidata.org/entity/Q286583,Q286583
http://kbpedia.org/ontologies/kko#BiologicalProcesses,BiologicalProcesses,owl:equivalentClass,http://www.wikidata.org/entity/Q2996394,Q2996394
http://kbpedia.org/ontologies/kko#KnowledgeDomains,KnowledgeDomains,kko:superClassOf,http://www.wikidata.org/entity/Q336,Q336
http://kbpedia.org/ontologies/kko#ConceptualSystems,ConceptualSystems,owl:equivalentClass,http://www.wikidata.org/entity/Q3622126,Q3622126
http://kbpedia.org/ontologies/kko#ActionTypes,ActionTypes,owl:equivalentClass,http://www.wikidata.org/entity/Q4026292,Q4026292
http://kbpedia.org/ontologies/kko#TertiarySectorServices,TertiarySectorServices,owl:equivalentClass,http://www.wikidata.org/entity/Q55638,Q55638
http://kbpedia.org/ontologies/kko#SecondarySectorProducts,SecondarySectorProducts,owl:equivalentClass,http://www.wikidata.org/entity/Q55639,Q55639
http://kbpedia.org/ontologies/kko#PrimarySectorProducts,PrimarySectorProducts,owl:equivalentClass,http://www.wikidata.org/entity/Q55640,Q55640
http://kbpedia.org/ontologies/kko#Plants,Plants,owl:equivalentClass,http://www.wikidata.org/entity/Q756,Q756
http://kbpedia.org/ontologies/kko#Geopolitical,Geopolitical,owl:equivalentClass,http://www.wikidata.org/entity/Q7888613,Q7888613
http://kbpedia.org/ontologies/kko#Methodeutic,Methodeutic,owl:equivalentClass,http://www.wikidata.org/entity/Q7894159,Q7894159
http://kbpedia.org/ontologies/kko#AttributeTypes,AttributeTypes,kko:superClassOf,http://www.wikidata.org/entity/Q937228,Q937228
http://kbpedia.org/kko/rc/100EuroNote,100EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2903520,Q2903520
http://kbpedia.org/kko/rc/10EuroNote,10EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2419695,Q2419695
http://kbpedia.org/kko/rc/10MeterAirPistol,10MeterAirPistol,owl:equivalentClass,http://www.wikidata.org/entity/Q79229,Q79229
http://kbpedia.org/kko/rc/1999UEFAChampionsLeagueFinal,1999UEFAChampionsLeagueFinal,owl:equivalentClass,http://www.wikidata.org/entity/Q833096,Q833096
http://kbpedia.org/kko/rc/1p36DeletionSyndrome,1p36DeletionSyndrome,owl:equivalentClass,http://www.wikidata.org/entity/Q3297103,Q3297103
http://kbpedia.org/kko/rc/2009FluPandemic,2009FluPandemic,owl:equivalentClass,http://www.wikidata.org/entity/Q101452,Q101452
http://kbpedia.org/kko/rc/200EuroNote,200EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2903527,Q2903527
http://kbpedia.org/kko/rc/2011CricketWorldCup,2011CricketWorldCup,owl:equivalentClass,http://www.wikidata.org/entity/Q911295,Q911295
http://kbpedia.org/kko/rc/2011IIHFWorldChampionship,2011IIHFWorldChampionship,owl:equivalentClass,http://www.wikidata.org/entity/Q838382,Q838382
http://kbpedia.org/kko/rc/2011RugbyWorldCup,2011RugbyWorldCup,owl:equivalentClass,http://www.wikidata.org/entity/Q270736,Q270736
http://kbpedia.org/kko/rc/2011SoutheastAsianGames,2011SoutheastAsianGames,owl:equivalentClass,http://www.wikidata.org/entity/Q1144097,Q1144097
http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships,2011WorldAquaticsChampionships,owl:equivalentClass,http://www.wikidata.org/entity/Q330343,Q330343
http://kbpedia.org/kko/rc/2011WorldChampionshipsInAthletics,2011WorldChampionshipsInAthletics,owl:equivalentClass,http://www.wikidata.org/entity/Q208675,Q208675
http://kbpedia.org/kko/rc/2012IAAFWorldIndoorChampionships,2012IAAFWorldIndoorChampionships,owl:equivalentClass,http://www.wikidata.org/entity/Q746504,Q746504
http://kbpedia.org/kko/rc/2012WorldFigureSkatingChampionships,2012WorldFigureSkatingChampionships,owl:equivalentClass,http://www.wikidata.org/entity/Q916374,Q916374
http://kbpedia.org/kko/rc/2012WorldJuniorIceHockeyChampionships,2012WorldJuniorIceHockeyChampionships,owl:equivalentClass,http://www.wikidata.org/entity/Q327084,Q327084
http://kbpedia.org/kko/rc/20EuroNote,20EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2741966,Q2741966
http://kbpedia.org/kko/rc/3DFilm,3DFilm,owl:equivalentClass,http://www.wikidata.org/entity/Q229390,Q229390
http://kbpedia.org/kko/rc/3DGraphicsSoftware,3DGraphicsSoftware,owl:equivalentClass,http://www.wikidata.org/entity/Q229371,Q229371
http://kbpedia.org/kko/rc/5013COrganization,5013COrganization,owl:equivalentClass,http://www.wikidata.org/entity/Q18325436,Q18325436
http://kbpedia.org/kko/rc/50EuroNote,50EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2903535,Q2903535
http://kbpedia.org/kko/rc/5EuroNote,5EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2406691,Q2406691
http://kbpedia.org/kko/rc/AAAI,AAAI,owl:equivalentClass,http://www.wikidata.org/entity/Q2739680,Q2739680
http://kbpedia.org/kko/rc/AaptosKanuux,AaptosKanuux,owl:equivalentClass,http://www.wikidata.org/entity/Q1901299,Q1901299
http://kbpedia.org/kko/rc/Aardwolf,Aardwolf,owl:equivalentClass,http://www.wikidata.org/entity/Q185295,Q185295
http://kbpedia.org/kko/rc/Aargau,Aargau,owl:equivalentClass,http://www.wikidata.org/entity/Q11972,Q11972
http://kbpedia.org/kko/rc/Aaron,Aaron,owl:equivalentClass,http://www.wikidata.org/entity/Q51676,Q51676
http://kbpedia.org/kko/rc/AASM,AASM,owl:equivalentClass,http://www.wikidata.org/entity/Q676888,Q676888
http://kbpedia.org/kko/rc/Abacavir,Abacavir,owl:equivalentClass,http://www.wikidata.org/entity/Q304330,Q304330
http://kbpedia.org/kko/rc/AbaCloth,AbaCloth,owl:equivalentClass,http://www.wikidata.org/entity/Q16979295,Q16979295
http://kbpedia.org/kko/rc/AbadanRefinery,AbadanRefinery,owl:equivalentClass,http://www.wikidata.org/entity/Q4118481,Q4118481
http://kbpedia.org/kko/rc/AbandonedHamlet,AbandonedHamlet,owl:equivalentClass,http://www.wikidata.org/entity/Q27654220,Q27654220
http://kbpedia.org/kko/rc/AbandonedVillage,AbandonedVillage,owl:equivalentClass,http://www.wikidata.org/entity/Q350895,Q350895
http://kbpedia.org/kko/rc/AbandonwareProgram,AbandonwareProgram,owl:equivalentClass,http://www.wikidata.org/entity/Q281039,Q281039
http://kbpedia.org/kko/rc/AbaremaOxyphyllidia,AbaremaOxyphyllidia,owl:equivalentClass,http://www.wikidata.org/entity/Q4663506,Q4663506
http://kbpedia.org/kko/rc/Abatis,Abatis,owl:equivalentClass,http://www.wikidata.org/entity/Q91713,Q91713
http://kbpedia.org/kko/rc/AbbasidCaliphate,AbbasidCaliphate,owl:equivalentClass,http://www.wikidata.org/entity/Q12536,Q12536
http://kbpedia.org/kko/rc/Abbey,Abbey,owl:equivalentClass,http://www.wikidata.org/entity/Q160742,Q160742
http://kbpedia.org/kko/rc/AbbotsOfIona,AbbotsOfIona,owl:equivalentClass,http://www.wikidata.org/entity/Q8218260,Q8218260
http://kbpedia.org/kko/rc/Abbreviation,Abbreviation,owl:equivalentClass,http://www.wikidata.org/entity/Q102786,Q102786
http://kbpedia.org/kko/rc/Abdicating,Abdicating,owl:equivalentClass,http://www.wikidata.org/entity/Q207549,Q207549
http://kbpedia.org/kko/rc/Abdication,Abdication,owl:equivalentClass,http://www.wikidata.org/entity/Q207549,Q207549
http://kbpedia.org/kko/rc/Abdomen,Abdomen,owl:equivalentClass,http://www.wikidata.org/entity/Q9597,Q9597
http://kbpedia.org/kko/rc/AbdominalAorta,AbdominalAorta,owl:equivalentClass,http://www.wikidata.org/entity/Q2264329,Q2264329
http://kbpedia.org/kko/rc/AbdominalCavity,AbdominalCavity,owl:equivalentClass,http://www.wikidata.org/entity/Q682466,Q682466
http://kbpedia.org/kko/rc/AbdominalPain,AbdominalPain,owl:equivalentClass,http://www.wikidata.org/entity/Q183425,Q183425
http://kbpedia.org/kko/rc/AbdominalSurgeon,AbdominalSurgeon,owl:equivalentClass,http://www.wikidata.org/entity/Q30115306,Q30115306
