s,p,o
rc:BibliographicReference,owl:equivalentClass,http://purl.org/dc/terms/BibliographicResource
rc:CollectionType,rdfs:subClassOf,http://purl.org/dc/elements/1.1/type
rc:ComputerFileTypeByFormat,rdfs:subClassOf,http://purl.org/dc/terms/FileFormat
rc:Contributor,owl:equivalentClass,http://purl.org/dc/elements/1.1/contributor
rc:Creator_Person,rdfs:subClassOf,http://purl.org/dc/elements/1.1/creator
rc:Date,owl:equivalentClass,http://purl.org/dc/elements/1.1/date
rc:Description_PCW,owl:equivalentClass,http://purl.org/dc/elements/1.1/description
rc:Encoding,rdfs:subClassOf,http://purl.org/dc/dcam/VocabularyEncodingScheme
rc:Entitlement,rdfs:subClassOf,http://purl.org/dc/elements/1.1/rights
rc:Event,owl:equivalentClass,http://purl.org/dc/dcmitype/Event
rc:FieldOfStudy,rdfs:subClassOf,http://purl.org/dc/elements/1.1/coverage
rc:Frequency,owl:equivalentClass,http://purl.org/dc/terms/Frequency
rc:GainingUserRights,rdfs:subClassOf,http://purl.org/dc/terms/MethodOfAccrual
rc:GovernmentCOC,rdfs:subClassOf,http://purl.org/dc/terms/Jurisdiction
rc:Group_IntelligentAgent,owl:equivalentClass,http://purl.org/dc/terms/AgentClass
rc:HumanLanguage,owl:equivalentClass,http://purl.org/dc/elements/1.1/language
rc:Image,owl:equivalentClass,http://purl.org/dc/dcmitype/Image
rc:InformationBearingThing,rdfs:subClassOf,http://purl.org/dc/terms/MediaType
rc:Instructions,rdfs:subClassOf,http://purl.org/dc/terms/MethodOfInstruction
rc:IntelligentAgent,owl:equivalentClass,http://purl.org/dc/terms/Agent
rc:Language,owl:equivalentClass,http://purl.org/dc/terms/LinguisticSystem
rc:License_IBTRights,rdfs:subClassOf,http://purl.org/dc/terms/LicenseDocument
rc:License_IBTRights,rdfs:subClassOf,http://purl.org/dc/terms/RightsStatement
rc:MovingImage,owl:equivalentClass,http://purl.org/dc/dcmitype/MovingImage
rc:OriginatingInSomething,rdfs:subClassOf,http://purl.org/dc/terms/ProvenanceStatement
rc:Policy,owl:equivalentClass,http://purl.org/dc/terms/Policy
rc:ProperNameString,rdfs:subClassOf,http://purl.org/dc/elements/1.1/title
rc:PropositionalConceptualWork,rdfs:subClassOf,http://purl.org/dc/elements/1.1/source
rc:Publisher,owl:equivalentClass,http://purl.org/dc/elements/1.1/publisher
rc:Relation,owl:equivalentClass,http://purl.org/dc/elements/1.1/relation
rc:ScalarOrVectorInterval,rdfs:subClassOf,http://purl.org/dc/terms/SizeOrDuration
rc:ServiceEvent,rdfs:subClassOf,http://purl.org/dc/dcmitype/Service
rc:SetOrCollection,rdfs:subClassOf,http://purl.org/dc/dcmitype/Collection
rc:SoftwareObject_Individual,rdfs:subClassOf,http://purl.org/dc/dcmitype/Software
rc:Sound,owl:equivalentClass,http://purl.org/dc/dcmitype/Sound
rc:Specification,rdfs:subClassOf,http://purl.org/dc/terms/Standard
rc:StillImage,owl:equivalentClass,http://purl.org/dc/dcmitype/StillImage
rc:StructuredKnowledgeSource,rdfs:subClassOf,http://purl.org/dc/dcmitype/Dataset
rc:TextualMaterial,owl:equivalentClass,http://purl.org/dc/dcmitype/Text
rc:ThreeDimensionalThing,owl:equivalentClass,http://purl.org/dc/dcmitype/PhysicalObject
rc:TimeInterval,owl:equivalentClass,http://purl.org/dc/terms/PeriodOfTime
rc:Topic,owl:equivalentClass,http://purl.org/dc/elements/1.1/subject
rc:UniqueID,owl:equivalentClass,http://purl.org/dc/elements/1.1/identifier
