s,p,o
rc:Agent_Generic,owl:equivalentClass,http://xmlns.com/foaf/0.1/Agent
rc:ComputerImageFile,owl:equivalentClass,http://xmlns.com/foaf/0.1/Image
rc:Document,owl:equivalentClass,http://xmlns.com/foaf/0.1/Document
rc:IDDocument,rdfs:subClassOf,http://xmlns.com/foaf/0.1/PersonalProfileDocument
rc:InternetActivity,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineEcommerceAccount
rc:InternetService,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineAccount
rc:Label_IBO,owl:equivalentClass,http://xmlns.com/foaf/0.1/LabelProperty
rc:MultiIndividualAgent_Intelligent,owl:equivalentClass,http://xmlns.com/foaf/0.1/Group
rc:OnlineChat,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineChatAccount
rc:Organization,owl:equivalentClass,http://xmlns.com/foaf/0.1/Organization
rc:Person,owl:equivalentClass,http://xmlns.com/foaf/0.1/Person
rc:Project,rdfs:subClassOf,http://xmlns.com/foaf/0.1/Project
rc:WrittenRecord,rdfs:subClassOf,http://xmlns.com/foaf/0.1/PersonalProfileDocument
