s,p,o
rc:CalendarHour,owl:sameAs,http://www.w3.org/2006/time#unitHour
rc:CalendarMinute,owl:sameAs,http://www.w3.org/2006/time#unitMinute
rc:CalendarMonth,owl:sameAs,http://www.w3.org/2006/time#unitMonth
rc:CalendarSecond,owl:sameAs,http://www.w3.org/2006/time#unitSecond
rc:CalendarWeek,owl:sameAs,http://www.w3.org/2006/time#unitWeek
rc:CalendarYear,owl:sameAs,http://www.w3.org/2006/time#unitYear
rc:DayOfWeekType,owl:sameAs,http://www.w3.org/2006/time#unitDay
rc:Friday,owl:sameAs,http://www.w3.org/2006/time#Friday
rc:January,rdfs:subClassOf,http://www.w3.org/2006/time#January
rc:Monday,owl:sameAs,http://www.w3.org/2006/time#Monday
rc:Saturday,owl:sameAs,http://www.w3.org/2006/time#Saturday
rc:Sunday,owl:sameAs,http://www.w3.org/2006/time#Sunday
rc:Thursday,owl:sameAs,http://www.w3.org/2006/time#Thursday
rc:TimeAttributes,rdfs:subClassOf,http://www.w3.org/2006/time#TemporalEntity
rc:TimeInterval,rdfs:subClassOf,http://www.w3.org/2006/time#Interval
rc:TimeParameter,rdfs:subClassOf,http://www.w3.org/2006/time#TemporalUnit
rc:TimeZone,rdfs:subClassOf,http://www.w3.org/2006/timezone#TimeZone
rc:Time_Quantity,rdfs:subClassOf,http://www.w3.org/2006/time#DurationDescription
rc:Tuesday,owl:sameAs,http://www.w3.org/2006/time#Tuesday
rc:Wednesday,owl:sameAs,http://www.w3.org/2006/time#Wednesday
