s,p,o
rc:A_GenerationalCephalosporin,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51285400
rc:Abrasive,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31191500
rc:AbrasiveMesh,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31191515
rc:AbrasiveWheel,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31191600
rc:AbsorbableGelatinSponge,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42311601
rc:Absorbent,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=47131900
rc:AccelerationVibrationMeasuringInstrument,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=41116400
rc:AccessManagementService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81161500
rc:AccommodationBuildingStructure,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=95122100
rc:AccommodationFurniture,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=56100000
rc:Accordion,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60131002
rc:AccountBasedCreditProduct,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=64101900
rc:AccountingBookkeepingService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=84110000
rc:AccountingEnterpriseResourcePlanningSoftware,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43231600
rc:AccountingProgram,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43231601
rc:AccountingService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=84111500
rc:AccountingSoftwareMaintenance,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81112213
rc:AcetateRelated,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51311600
rc:Acetylene,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=15111506
rc:AcidCatalyst,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12161601
rc:AcidDye,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12171511
rc:AcidFreeTissuePaper,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=14121604
rc:AcidizingEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=20121000
rc:AcousticalInsulationService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=72152100
rc:AcousticalNoiseControlEnclosure,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31261700
rc:AcrylicFiber,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=11151504
rc:AcrylicFilm,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=13111204
rc:AcrylicPaint,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31211506
rc:AcrylicPaint,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31211508
rc:AcrylicPlastic,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=13111064
rc:AcrylicSheet,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60121137
rc:Actinium,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12141701
rc:ActionGame,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43232001
rc:ActivatedCarbon,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=11101522
rc:ActivePlayEquipmentAccessory,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60141200
rc:Actuator,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31251500
rc:AcupunctureEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42144200
rc:AcupunctureNeedle,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42144201
rc:AcuteCareMonitoringUnit,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42181900
rc:AddingMachine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=44101802
rc:Additive,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12160000
rc:Adhesive,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31201600
rc:AdhesiveSealant,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31200000
rc:AdjustableFork,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=24101628
rc:AdministrativeLawService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=80122100
rc:AdrenergicBlockingAgent,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51260000
rc:AdrenergicBlockingAgentAmide,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51261500
rc:AdrenergicBlockingAgentAmine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51261600
rc:AdrenergicBlockingBenzofuran,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51261800
rc:AdrenergicBlockingButyrophenoneRelated,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262000
rc:AdrenergicBlockingDioxane,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262200
rc:AdrenergicBlockingErgolineRelated,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262300
rc:AdrenergicBlockingEthanolamine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262400
rc:AdrenergicBlockingGuanidine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262500
rc:AdrenergicBlockingImidazole,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262600
rc:AdrenergicBlockingImidazoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262700
rc:AdrenergicBlockingIndole,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262100
rc:AdrenergicBlockingIsoquinoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263700
rc:AdrenergicBlockingPhenethylamineQuinoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263500
rc:AdrenergicBlockingPhenoxypropanolamine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262900
rc:AdrenergicBlockingPiperazine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263000
rc:AdrenergicBlockingPropanolamine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263100
rc:AdrenergicBlockingQuinazoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263600
rc:AdrenergicBlockingSynthesized,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263300
rc:AdsorptionIonExchange,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=23201100
rc:AdultDiaper,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=53102306
rc:AdultEducation,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=86111600
rc:AdventureGame,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43232002
rc:Advertising,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=82100000
rc:AdvertisingAgencyService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=82101800
rc:AerialAdvertising,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=82101700
rc:AerialCable,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=26121608
rc:AerialCropSurvey,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=70141608
rc:AerialLift,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=22101800
rc:AerobicTrainingEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=49201500
rc:AerobiologicalScienceService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81171900
rc:AeronauticalEngineering,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81102300
rc:AerosolStuff,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12161803
rc:AerospaceLocationNavigationSystem,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25201600
rc:AerospaceSystemComponent,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25200000
