id,type,subPropertyOf,domain,range
kko:actionsData,owl:DatatypeProperty,kko:copulativeData,,
kko:copulativeData,owl:DatatypeProperty,kko:externalRelationsData,,
kko:adjunctualData,owl:DatatypeProperty,kko:attributesData,,
kko:attributesData,owl:DatatypeProperty,kko:predicateDataProperties,,
kko:predicateDataProperties,owl:DatatypeProperty,,,
kko:circumstancesData,owl:DatatypeProperty,kko:mediativeData,,
kko:mediativeData,owl:DatatypeProperty,kko:externalRelationsData,,
kko:classificationsData,owl:DatatypeProperty,kko:contextualData,,
kko:contextualData,owl:DatatypeProperty,kko:attributesData,,
kko:comparisonsData,owl:DatatypeProperty,kko:mediativeData,,
kko:conjoinsData,owl:DatatypeProperty,kko:copulativeData,,
kko:externalRelationsData,owl:DatatypeProperty,kko:predicateDataProperties,,
kko:descendantsData,owl:DatatypeProperty,kko:directData,,
kko:directData,owl:DatatypeProperty,kko:externalRelationsData,,
kko:elementalsData,owl:DatatypeProperty,kko:intrinsicsData,,
kko:intrinsicsData,owl:DatatypeProperty,kko:attributesData,,
kko:equivalencesData,owl:DatatypeProperty,kko:directData,,
kko:eventualsData,owl:DatatypeProperty,kko:adjunctualData,,
kko:extrinsicsData,owl:DatatypeProperty,kko:adjunctualData,,
kko:formsData,owl:DatatypeProperty,kko:intrinsicsData,,
kko:partsData,owl:DatatypeProperty,kko:directData,,
kko:performancesData,owl:DatatypeProperty,kko:mediativeData,,
kko:qualitiesData,owl:DatatypeProperty,kko:intrinsicsData,,
kko:quantitiesData,owl:DatatypeProperty,kko:adjunctualData,,
kko:ratingsData,owl:DatatypeProperty,kko:contextualData,,
kko:situantsData,owl:DatatypeProperty,kko:contextualData,,
kko:typingsData,owl:DatatypeProperty,kko:copulativeData,,
rc:abs_ascl_2011_code,owl:DatatypeProperty,kko:classificationsData,rc:HumanLanguage,xsd:string
rc:absolute_magnitude,owl:DatatypeProperty,kko:qualitiesData,rc:AstronomicalObject,xsd:decimal
rc:accepted_answer,owl:DatatypeProperty,kko:conjoinsData,rc:Question_IBT,xsd:string
rc:accepts_reservations,owl:DatatypeProperty,kko:extrinsicsData,rc:Restaurant,xsd:boolean
rc:access_mode,owl:DatatypeProperty,kko:formsData,rc:ConceptualWork,xsd:string
rc:access_mode_sufficient,owl:DatatypeProperty,kko:formsData,rc:ConceptualWork,xsd:string
rc:accessibility_api,owl:DatatypeProperty,kko:extrinsicsData,rc:ConceptualWork,xsd:string
rc:accessibility_control,owl:DatatypeProperty,kko:extrinsicsData,rc:ConceptualWork,xsd:string
rc:accessibility_feature,owl:DatatypeProperty,kko:qualitiesData,rc:ConceptualWork,xsd:string
rc:accessibility_hazard,owl:DatatypeProperty,kko:elementalsData,rc:ConceptualWork,xsd:string
rc:action_option,owl:DatatypeProperty,kko:actionsData,rc:SelectingSomething,xsd:string
rc:action_platform,owl:DatatypeProperty,kko:extrinsicsData,rc:DynamicIndexedInfoSource,xsd:string
