id,subclassof,parent
rc:Movie,rdfs:subClassOf,rc:AVMediaProduct
rc:Movie,rdfs:subClassOf,owl:Thing
rc:TVClip,rdfs:subClassOf,rc:TVMediaProduct
rc:TVClip,rdfs:subClassOf,owl:Thing
kko:AudioInfo,rdfs:subClassOf,kko:AVInfo
kko:AudioInfo,rdfs:subClassOf,owl:Thing
rc:BroadcastMediaShow,rdfs:subClassOf,rc:BroadcastMediaProduct
rc:BroadcastMediaShow,rdfs:subClassOf,owl:Thing
rc:LibertarianTelevisionOrRadioShow,rdfs:subClassOf,rc:BroadcastMediaShow
rc:LibertarianTelevisionOrRadioShow,rdfs:subClassOf,owl:Thing
rc:AVMediaProduct,rdfs:subClassOf,kko:AVInfo
rc:AVMediaProduct,rdfs:subClassOf,owl:Thing
rc:BroadcastSeriesProduct,rdfs:subClassOf,rc:AVMediaSeriesProduct
rc:BroadcastSeriesProduct,rdfs:subClassOf,rc:BroadcastMediaProduct
rc:BroadcastSeriesProduct,rdfs:subClassOf,owl:Thing
rc:TVSeriesProduct,rdfs:subClassOf,rc:BroadcastSeriesProduct
rc:TVSeriesProduct,rdfs:subClassOf,owl:Thing
rc:TVMediaProduct,rdfs:subClassOf,rc:BroadcastMediaProduct
rc:TVMediaProduct,rdfs:subClassOf,owl:Thing
rc:MovieSeriesProduct,rdfs:subClassOf,rc:AVMediaSeriesProduct
rc:MovieSeriesProduct,rdfs:subClassOf,owl:Thing
rc:BroadcastMediaProduct,rdfs:subClassOf,rc:AVMediaProduct
rc:BroadcastMediaProduct,rdfs:subClassOf,owl:Thing
rc:VideoRecordedObject,rdfs:subClassOf,kko:VisualInfo
rc:VideoRecordedObject,rdfs:subClassOf,rc:AVMediaProduct
rc:VideoRecordedObject,rdfs:subClassOf,owl:Thing
rc:TVShow_IBT,rdfs:subClassOf,rc:TVMediaProduct
rc:TVShow_IBT,rdfs:subClassOf,owl:Thing
rc:VideoArt,rdfs:subClassOf,rc:Art
rc:VideoArt,rdfs:subClassOf,owl:Thing
rc:ComicStrip,rdfs:subClassOf,rc:AVMediaProduct
rc:ComicStrip,rdfs:subClassOf,owl:Thing
rc:TVShow,rdfs:subClassOf,rc:BroadcastMediaShow
rc:TVShow,rdfs:subClassOf,rc:TVMediaProduct
rc:TVShow,rdfs:subClassOf,owl:Thing
rc:TVCommercial_IBT,rdfs:subClassOf,rc:TVMediaProduct
rc:TVCommercial_IBT,rdfs:subClassOf,owl:Thing
kko:VisualInfo,rdfs:subClassOf,kko:AVInfo
kko:VisualInfo,rdfs:subClassOf,owl:Thing
rc:AVMediaSeriesProduct,rdfs:subClassOf,rc:AVMediaProduct
rc:AVMediaSeriesProduct,rdfs:subClassOf,owl:Thing
rc:RadioShow,rdfs:subClassOf,rc:BroadcastMediaShow
rc:RadioShow,rdfs:subClassOf,owl:Thing
kko:AVInfo,rdfs:subClassOf,owl:Thing
rc:OperaGenre,rdfs:subClassOf,rc:TheatricalGenre
rc:OperaGenre,rdfs:subClassOf,owl:Thing
