id,subclassof,parent
rc:Brewing,rdfs:subClassOf,rc:FoodAndDrinkPreparation
rc:Brewing,rdfs:subClassOf,rc:MakingSomething
rc:Brewing,rdfs:subClassOf,owl:Thing
rc:Piquet,rdfs:subClassOf,rc:PlainTrickCardGame
rc:Piquet,rdfs:subClassOf,owl:Thing
rc:TerrorismByMethod,rdfs:subClassOf,rc:MethodType
rc:TerrorismByMethod,rdfs:subClassOf,rc:TerroristAct
rc:TerrorismByMethod,rdfs:subClassOf,owl:Thing
rc:TriggeringSomething,rdfs:subClassOf,rc:ActionOnObject
rc:TriggeringSomething,rdfs:subClassOf,owl:Thing
rc:SothoGrammar,rdfs:subClassOf,rc:LanguageGrammars
rc:SothoGrammar,rdfs:subClassOf,owl:Thing
rc:Mens100MetreBackstroke,rdfs:subClassOf,rc:Backstroke
rc:Mens100MetreBackstroke,rdfs:subClassOf,owl:Thing
rc:HostileSeizure,rdfs:subClassOf,rc:HostileSocialAction
rc:HostileSeizure,rdfs:subClassOf,rc:IrreflexiveAction
rc:HostileSeizure,rdfs:subClassOf,rc:TransferOfControl
rc:HostileSeizure,rdfs:subClassOf,owl:Thing
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,rc:CommercialActivity
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,rc:ConnectingTogether
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,owl:Thing
rc:PackingSupply,rdfs:subClassOf,rc:MaterialHandling
rc:PackingSupply,rdfs:subClassOf,owl:Thing
rc:LegalAppeal,rdfs:subClassOf,rc:LegalConflict
rc:LegalAppeal,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:MachineLearning
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:OkinawanKarate,rdfs:subClassOf,rc:KarateActivity
rc:OkinawanKarate,rdfs:subClassOf,owl:Thing
rc:RiskTransferInsurance,rdfs:subClassOf,rc:InsurancePlan
rc:RiskTransferInsurance,rdfs:subClassOf,owl:Thing
rc:SustainableArchitecture,rdfs:subClassOf,rc:ArchitecturalDesign
rc:SustainableArchitecture,rdfs:subClassOf,owl:Thing
rc:IncreaseAction,rdfs:subClassOf,rc:AffectingSomething
rc:IncreaseAction,rdfs:subClassOf,owl:Thing
rc:Growth_Physical,rdfs:subClassOf,rc:ActivityByType
rc:Growth_Physical,rdfs:subClassOf,owl:Thing
rc:SoftwareProgrammedinJava,rdfs:subClassOf,rc:JavaProgrammingLanguage
rc:SoftwareProgrammedinJava,rdfs:subClassOf,owl:Thing
rc:RobustRegression,rdfs:subClassOf,rc:RegressionAnalysis
rc:RobustRegression,rdfs:subClassOf,owl:Thing
rc:HealthcareQuality,rdfs:subClassOf,rc:HealthCare
rc:HealthcareQuality,rdfs:subClassOf,owl:Thing
rc:ArcWelding,rdfs:subClassOf,rc:Welding
