id,subclassof,parent
rc:Magistrate,rdfs:subClassOf,rc:JudicialAgent
rc:Magistrate,rdfs:subClassOf,owl:Thing
rc:Monaco,rdfs:subClassOf,rc:Principality
rc:Monaco,rdfs:subClassOf,owl:Thing
rc:FormerCantonsOfSwitzerland,rdfs:subClassOf,rc:PopulatedPlace_Historical
rc:FormerCantonsOfSwitzerland,rdfs:subClassOf,owl:Thing
rc:BenjaminHarrison,rdfs:subClassOf,rc:Deceased
rc:BenjaminHarrison,rdfs:subClassOf,owl:Thing
rc:ElizabethII,rdfs:subClassOf,rc:HouseOfWindsor
rc:ElizabethII,rdfs:subClassOf,owl:Thing
rc:CoPrincipality,rdfs:subClassOf,rc:GovernmentRelatedEntity
rc:CoPrincipality,rdfs:subClassOf,owl:Thing
rc:RockBand,rdfs:subClassOf,rc:RockMusicPerformer
rc:RockBand,rdfs:subClassOf,owl:Thing
rc:MultilingualAgent,rdfs:subClassOf,rc:IntelligentAgent
rc:MultilingualAgent,rdfs:subClassOf,owl:Thing
rc:AndrewCarnegie,rdfs:subClassOf,rc:Tycoon
rc:AndrewCarnegie,rdfs:subClassOf,owl:Thing
rc:Uncle,rdfs:subClassOf,rc:ExtendedFamily
rc:Uncle,rdfs:subClassOf,owl:Thing
rc:CountryMusicPerformer,rdfs:subClassOf,rc:MusicPerformanceAgent
rc:CountryMusicPerformer,rdfs:subClassOf,owl:Thing
rc:ConceptionsOfGod,rdfs:subClassOf,rc:God
rc:ConceptionsOfGod,rdfs:subClassOf,owl:Thing
rc:EconomicAgent,rdfs:subClassOf,rc:Agent_Generic
rc:EconomicAgent,rdfs:subClassOf,owl:Thing
rc:HipHopMusicPerformer,rdfs:subClassOf,rc:MusicPerformanceAgent
rc:HipHopMusicPerformer,rdfs:subClassOf,owl:Thing
rc:StateSponsoredTerroristOrganization,rdfs:subClassOf,rc:State_SponsoredTerroristAgent
rc:StateSponsoredTerroristOrganization,rdfs:subClassOf,owl:Thing
rc:Canton,rdfs:subClassOf,rc:AdministrativeUnit
rc:Canton,rdfs:subClassOf,owl:Thing
rc:CorporateLeader,rdfs:subClassOf,rc:Leader
rc:CorporateLeader,rdfs:subClassOf,owl:Thing
rc:NewWaveMusicPerformer,rdfs:subClassOf,rc:RockMusicPerformer
rc:NewWaveMusicPerformer,rdfs:subClassOf,owl:Thing
rc:NationalHeadquartersHealthProviderOrganization,rdfs:subClassOf,rc:MedicalCareProvider
rc:NationalHeadquartersHealthProviderOrganization,rdfs:subClassOf,owl:Thing
rc:LegalAgent,rdfs:subClassOf,rc:IntelligentAgent
rc:LegalAgent,rdfs:subClassOf,owl:Thing
rc:GovernmentIntelligenceOrganization,rdfs:subClassOf,rc:CovertAgent
rc:GovernmentIntelligenceOrganization,rdfs:subClassOf,owl:Thing
rc:BodyDonor,rdfs:subClassOf,rc:Deceased
rc:BodyDonor,rdfs:subClassOf,owl:Thing
rc:DianaPrincessOfWales,rdfs:subClassOf,rc:HouseOfWindsor
rc:DianaPrincessOfWales,rdfs:subClassOf,owl:Thing
rc:SouthernRockBand,rdfs:subClassOf,rc:SouthernRockMusicPerformer
rc:SouthernRockBand,rdfs:subClassOf,owl:Thing
rc:Warden,rdfs:subClassOf,rc:Leader
rc:Warden,rdfs:subClassOf,owl:Thing
rc:HeavyMetalMusicPerformer,rdfs:subClassOf,rc:RockMusicPerformer
rc:HeavyMetalMusicPerformer,rdfs:subClassOf,owl:Thing
rc:GovernmentEmployee,rdfs:subClassOf,rc:GovernmentRelatedEntity
rc:GovernmentEmployee,rdfs:subClassOf,owl:Thing
rc:RockAndRollMusicPerformer,rdfs:subClassOf,rc:RockMusicPerformer
rc:RockAndRollMusicPerformer,rdfs:subClassOf,owl:Thing
rc:Stranger,rdfs:subClassOf,rc:IndividualAgent
rc:Stranger,rdfs:subClassOf,owl:Thing
rc:Rapper,rdfs:subClassOf,rc:HipHopMusicPerformer
rc:Rapper,rdfs:subClassOf,rc:RapMusicPerformer
rc:Rapper,rdfs:subClassOf,owl:Thing
rc:TransferAgent,rdfs:subClassOf,rc:IntelligentAgent
rc:TransferAgent,rdfs:subClassOf,owl:Thing
rc:FolkRockMusicPerformer,rdfs:subClassOf,rc:RockMusicPerformer
rc:FolkRockMusicPerformer,rdfs:subClassOf,owl:Thing
rc:Clurichaun,rdfs:subClassOf,rc:Fairy
rc:Clurichaun,rdfs:subClassOf,owl:Thing
rc:Batman,rdfs:subClassOf,rc:Superhero
rc:Batman,rdfs:subClassOf,owl:Thing
rc:FormerMunicipality_Norway,rdfs:subClassOf,rc:FormerMunicipality
rc:FormerMunicipality_Norway,rdfs:subClassOf,owl:Thing
rc:Recruit,rdfs:subClassOf,rc:IndividualAgent
rc:Recruit,rdfs:subClassOf,owl:Thing
rc:ScottishFreemason,rdfs:subClassOf,rc:FreemasonByRegion
rc:ScottishFreemason,rdfs:subClassOf,owl:Thing
rc:MusicalPerformer,rdfs:subClassOf,rc:MusicPerformanceAgent
rc:MusicalPerformer,rdfs:subClassOf,owl:Thing
rc:HouseOfNatoli,rdfs:subClassOf,rc:DynasticFamily
rc:HouseOfNatoli,rdfs:subClassOf,owl:Thing
rc:GrungeMusicPerformer,rdfs:subClassOf,rc:RockMusicPerformer
rc:GrungeMusicPerformer,rdfs:subClassOf,owl:Thing
rc:GodTheSon,rdfs:subClassOf,rc:Deceased
rc:GodTheSon,rdfs:subClassOf,owl:Thing
rc:RockMusicPerformer,rdfs:subClassOf,rc:MusicPerformanceAgent
rc:RockMusicPerformer,rdfs:subClassOf,owl:Thing
rc:GamesMaster,rdfs:subClassOf,rc:JudicialAgent
rc:GamesMaster,rdfs:subClassOf,owl:Thing
rc:Cleric,rdfs:subClassOf,rc:SpiritualLeader
rc:Cleric,rdfs:subClassOf,owl:Thing
rc:JudicialDistrict_Spain,rdfs:subClassOf,rc:JudicialDistrict
rc:JudicialDistrict_Spain,rdfs:subClassOf,owl:Thing
rc:LiterateAgent,rdfs:subClassOf,rc:IntelligentAgent
rc:LiterateAgent,rdfs:subClassOf,owl:Thing
rc:BluegrassMusicPerformer,rdfs:subClassOf,rc:MusicPerformanceAgent
rc:BluegrassMusicPerformer,rdfs:subClassOf,owl:Thing
rc:FormerIsraeliSettlementsInSinai,rdfs:subClassOf,rc:PopulatedPlace_Historical
rc:FormerIsraeliSettlementsInSinai,rdfs:subClassOf,owl:Thing
rc:DiscoMusicPerformer,rdfs:subClassOf,rc:MusicPerformanceAgent
rc:DiscoMusicPerformer,rdfs:subClassOf,owl:Thing
rc:DrugTrafficker,rdfs:subClassOf,rc:IntelligentAgent
rc:DrugTrafficker,rdfs:subClassOf,owl:Thing
rc:JamesPolk,rdfs:subClassOf,rc:Deceased
rc:JamesPolk,rdfs:subClassOf,owl:Thing
rc:Fairy,rdfs:subClassOf,rc:IndividualAgent
rc:Fairy,rdfs:subClassOf,rc:SupernaturalBeing
rc:Fairy,rdfs:subClassOf,owl:Thing
rc:NonGeographicalOrganization,rdfs:subClassOf,rc:Agent_NonGeographical
rc:NonGeographicalOrganization,rdfs:subClassOf,owl:Thing
rc:PopulatedPlace_Historical,rdfs:subClassOf,rc:FormerAgent
rc:PopulatedPlace_Historical,rdfs:subClassOf,owl:Thing
rc:JudicialDistrict,rdfs:subClassOf,rc:Judiciary
rc:JudicialDistrict,rdfs:subClassOf,owl:Thing
rc:HundredsOfSweden,rdfs:subClassOf,rc:AdministrativeUnit
rc:HundredsOfSweden,rdfs:subClassOf,owl:Thing
rc:Cousin,rdfs:subClassOf,rc:ExtendedFamily
rc:Cousin,rdfs:subClassOf,owl:Thing
rc:PsychedelicMusicPerformer,rdfs:subClassOf,rc:RockMusicPerformer
rc:PsychedelicMusicPerformer,rdfs:subClassOf,owl:Thing
rc:DistrictLeader,rdfs:subClassOf,rc:Leader
rc:DistrictLeader,rdfs:subClassOf,owl:Thing
rc:Trust_LegalEntity,rdfs:subClassOf,rc:FinancialAgent
rc:Trust_LegalEntity,rdfs:subClassOf,owl:Thing
rc:MummifiedRemains,rdfs:subClassOf,rc:DeadAnimal
rc:MummifiedRemains,rdfs:subClassOf,owl:Thing
rc:WardLeader,rdfs:subClassOf,rc:Leader
rc:WardLeader,rdfs:subClassOf,owl:Thing
