id,subclassof,parent
rc:Lankaran_DenizOilField,rdfs:subClassOf,rc:OilField
rc:Lankaran_DenizOilField,rdfs:subClassOf,owl:Thing
rc:Ukraine,rdfs:subClassOf,rc:EasternEuropeanCountry
rc:Ukraine,rdfs:subClassOf,owl:Thing
rc:Equator_Celestial,rdfs:subClassOf,rc:CelestialCoordinateSystem
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:Seachannel,rdfs:subClassOf,rc:Channel_WaterPath
rc:Seachannel,rdfs:subClassOf,owl:Thing
rc:CusterCountySouthDakota,rdfs:subClassOf,rc:BlackHills_Mountains
rc:CusterCountySouthDakota,rdfs:subClassOf,owl:Thing
rc:CrozetArchipelago,rdfs:subClassOf,rc:Archipelago
rc:CrozetArchipelago,rdfs:subClassOf,owl:Thing
rc:BinhThuan_ProvinceVietnam,rdfs:subClassOf,rc:Province_Vietnam
rc:BinhThuan_ProvinceVietnam,rdfs:subClassOf,owl:Thing
rc:Bhutan,rdfs:subClassOf,rc:Country
rc:Bhutan,rdfs:subClassOf,owl:Thing
rc:KujawskoPomorskie_ProvincePoland,rdfs:subClassOf,rc:Province_Poland
rc:KujawskoPomorskie_ProvincePoland,rdfs:subClassOf,owl:Thing
rc:ElectronicsAndTheEnvironment,rdfs:subClassOf,rc:Environment_Generic
rc:ElectronicsAndTheEnvironment,rdfs:subClassOf,owl:Thing
rc:SeaOfAzov,rdfs:subClassOf,rc:InlandSea
rc:SeaOfAzov,rdfs:subClassOf,owl:Thing
rc:SanAndreasFault,rdfs:subClassOf,rc:Fault_Topographical
rc:SanAndreasFault,rdfs:subClassOf,owl:Thing
rc:Sanaag,rdfs:subClassOf,rc:Puntland
rc:Sanaag,rdfs:subClassOf,owl:Thing
rc:SvayRieng_ProvinceCambodia,rdfs:subClassOf,rc:Province_Cambodia
rc:SvayRieng_ProvinceCambodia,rdfs:subClassOf,owl:Thing
rc:Jiangxi_ProvinceChina,rdfs:subClassOf,rc:ChineseProvince
rc:Jiangxi_ProvinceChina,rdfs:subClassOf,owl:Thing
rc:MiyakejimaIsland_Japan,rdfs:subClassOf,rc:Island
rc:MiyakejimaIsland_Japan,rdfs:subClassOf,owl:Thing
rc:CantonOfNeuchatel,rdfs:subClassOf,rc:Canton_Swiss
rc:CantonOfNeuchatel,rdfs:subClassOf,owl:Thing
rc:RandallCountyTexas,rdfs:subClassOf,rc:WestTexas
rc:RandallCountyTexas,rdfs:subClassOf,owl:Thing
rc:BajaCaliforniaSur_StateMexico,rdfs:subClassOf,rc:State_Mexico
rc:BajaCaliforniaSur_StateMexico,rdfs:subClassOf,owl:Thing
rc:Commune_IvoryCoast,rdfs:subClassOf,rc:FifthOrderAdministrativeDivision
rc:Commune_IvoryCoast,rdfs:subClassOf,owl:Thing
rc:CantonOfStGallen,rdfs:subClassOf,rc:Canton_Swiss
rc:CantonOfStGallen,rdfs:subClassOf,owl:Thing
rc:BismarckArchipelago_PapuaNewGuinea,rdfs:subClassOf,rc:Archipelago
