id,subclassof,parent
rc:DynamicDNS,rdfs:subClassOf,rc:DomainNameSystemProtocol
rc:DynamicDNS,rdfs:subClassOf,owl:Thing
rc:SothoGrammar,rdfs:subClassOf,rc:LanguageGrammars
rc:SothoGrammar,rdfs:subClassOf,owl:Thing
rc:Branhamism,rdfs:subClassOf,rc:Pentecostalism
rc:Branhamism,rdfs:subClassOf,owl:Thing
rc:Datasheet,rdfs:subClassOf,rc:Specification
rc:Datasheet,rdfs:subClassOf,owl:Thing
rc:QuarterlyReport,rdfs:subClassOf,rc:ConceptualWorkSeries_Periodic
rc:QuarterlyReport,rdfs:subClassOf,rc:Document
rc:QuarterlyReport,rdfs:subClassOf,rc:ReportOnSituation
rc:QuarterlyReport,rdfs:subClassOf,owl:Thing
rc:CommonLawOffencesInEnglandAndWales,rdfs:subClassOf,rc:CommonLawSystem
rc:CommonLawOffencesInEnglandAndWales,rdfs:subClassOf,owl:Thing
rc:PhoenicianWriting,rdfs:subClassOf,rc:WritingSystem
rc:PhoenicianWriting,rdfs:subClassOf,owl:Thing
rc:LegalAppeal,rdfs:subClassOf,rc:LegalConflict
rc:LegalAppeal,rdfs:subClassOf,owl:Thing
rc:OkinawanKarate,rdfs:subClassOf,rc:KarateActivity
rc:OkinawanKarate,rdfs:subClassOf,owl:Thing
rc:HeraldicBadge,rdfs:subClassOf,rc:Badge
rc:HeraldicBadge,rdfs:subClassOf,owl:Thing
rc:RiskTransferInsurance,rdfs:subClassOf,rc:InsurancePlan
rc:RiskTransferInsurance,rdfs:subClassOf,owl:Thing
rc:Trail,rdfs:subClassOf,rc:InertArtifact
rc:Trail,rdfs:subClassOf,owl:Thing
rc:LaboratoryPorcelainware,rdfs:subClassOf,rc:Porcelain
rc:LaboratoryPorcelainware,rdfs:subClassOf,owl:Thing
rc:PhysicalDevice,rdfs:subClassOf,rc:SolidTangibleArtifact
rc:PhysicalDevice,rdfs:subClassOf,owl:Thing
rc:SoftwareProgrammedinJava,rdfs:subClassOf,rc:JavaProgrammingLanguage
rc:SoftwareProgrammedinJava,rdfs:subClassOf,owl:Thing
rc:DebtAssumptionLetter,rdfs:subClassOf,rc:FinancialDocument
rc:DebtAssumptionLetter,rdfs:subClassOf,rc:OfficialDocument
rc:DebtAssumptionLetter,rdfs:subClassOf,owl:Thing
rc:GeorgianGrammar,rdfs:subClassOf,rc:LanguageGrammars
rc:GeorgianGrammar,rdfs:subClassOf,owl:Thing
rc:Hearing_LegalProceeding,rdfs:subClassOf,rc:LegalProceeding
rc:Hearing_LegalProceeding,rdfs:subClassOf,owl:Thing
rc:OverturnedConviction,rdfs:subClassOf,rc:Convicting_Legal
rc:OverturnedConviction,rdfs:subClassOf,owl:Thing
rc:AutomobileTypeByModel,rdfs:subClassOf,rc:ProductTypeByBrandVersion
rc:AutomobileTypeByModel,rdfs:subClassOf,owl:Thing
rc:SkiLift,rdfs:subClassOf,rc:MechanicalDevice
rc:SkiLift,rdfs:subClassOf,rc:NonAutomotiveTransportDevice
rc:SkiLift,rdfs:subClassOf,owl:Thing
rc:IsraelAndTheApartheidAnalogy,rdfs:subClassOf,rc:PoliticalBeliefSystem
rc:IsraelAndTheApartheidAnalogy,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:HistoricalNarrative
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:PropositionalConceptualWork_HistoricalNarrativeGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:Telemetry,rdfs:subClassOf,rc:MeasurementMethod
rc:Telemetry,rdfs:subClassOf,owl:Thing
rc:Newsgroup,rdfs:subClassOf,rc:Usenet
rc:Newsgroup,rdfs:subClassOf,owl:Thing
rc:WheelchairRugby,rdfs:subClassOf,rc:RugbyFootball
rc:WheelchairRugby,rdfs:subClassOf,owl:Thing
rc:SpaceProgram,rdfs:subClassOf,rc:SpaceExploration
rc:SpaceProgram,rdfs:subClassOf,owl:Thing
rc:Wood,rdfs:subClassOf,rc:CombustibleFuelSubstance_Natural
rc:Wood,rdfs:subClassOf,rc:VegetableMatter
rc:Wood,rdfs:subClassOf,owl:Thing
rc:DomesticatedPlant,rdfs:subClassOf,rc:Agriculture
rc:DomesticatedPlant,rdfs:subClassOf,owl:Thing
rc:CarLoan,rdfs:subClassOf,rc:LoanAgreement
rc:CarLoan,rdfs:subClassOf,owl:Thing
rc:UnmannedAerialVehicle,rdfs:subClassOf,rc:PoweredDevice
rc:UnmannedAerialVehicle,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Lounge,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_Lounge,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Lounge,rdfs:subClassOf,owl:Thing
rc:PracticalKabbalah,rdfs:subClassOf,rc:Kabbalah
rc:PracticalKabbalah,rdfs:subClassOf,rc:MagicSpell
rc:PracticalKabbalah,rdfs:subClassOf,owl:Thing
rc:AutoWaterPump,rdfs:subClassOf,rc:KineticEnergyPoweredDevice
rc:AutoWaterPump,rdfs:subClassOf,owl:Thing
rc:UNLOCODE,rdfs:subClassOf,rc:GeographicTaxonomy
rc:UNLOCODE,rdfs:subClassOf,owl:Thing
rc:PaperWeight,rdfs:subClassOf,rc:NonPoweredDevice
rc:PaperWeight,rdfs:subClassOf,owl:Thing
rc:Holism,rdfs:subClassOf,rc:Belief
rc:Holism,rdfs:subClassOf,owl:Thing
rc:EnvironmentalEthics,rdfs:subClassOf,rc:Environmentalism
rc:EnvironmentalEthics,rdfs:subClassOf,owl:Thing
rc:BalanceSheet,rdfs:subClassOf,rc:AccountingReport
rc:BalanceSheet,rdfs:subClassOf,owl:Thing
rc:Lighthouse,rdfs:subClassOf,rc:NavigationBeacon
rc:Lighthouse,rdfs:subClassOf,owl:Thing
rc:Article_PCW,rdfs:subClassOf,rc:ShortTermStudy
rc:Article_PCW,rdfs:subClassOf,owl:Thing
