id,subclassof,parent
rc:Uranium_Depleted,rdfs:subClassOf,rc:AlphaEmitter
rc:Uranium_Depleted,rdfs:subClassOf,rc:WeakGammaEmitter
rc:Uranium_Depleted,rdfs:subClassOf,owl:Thing
rc:Silicon,rdfs:subClassOf,rc:Metalloid
rc:Silicon,rdfs:subClassOf,rc:NonMetal
rc:Silicon,rdfs:subClassOf,owl:Thing
rc:Molybdenum,rdfs:subClassOf,rc:UnalloyedMetal
rc:Molybdenum,rdfs:subClassOf,owl:Thing
rc:NuclearSubstructure,rdfs:subClassOf,rc:AtomicNucleus
rc:NuclearSubstructure,rdfs:subClassOf,owl:Thing
rc:AluminumFoil,rdfs:subClassOf,rc:Aluminum
rc:AluminumFoil,rdfs:subClassOf,owl:Thing
rc:IsotopeOfTechnetium,rdfs:subClassOf,rc:Technetium
rc:IsotopeOfTechnetium,rdfs:subClassOf,owl:Thing
rc:LithiumIon,rdfs:subClassOf,rc:MonoatomicCation
rc:LithiumIon,rdfs:subClassOf,owl:Thing
rc:IsotopeOfUranium,rdfs:subClassOf,rc:Uranium
rc:IsotopeOfUranium,rdfs:subClassOf,owl:Thing
rc:Lawrencium,rdfs:subClassOf,rc:TransuraniumElement
rc:Lawrencium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lawrencium,rdfs:subClassOf,owl:Thing
rc:CupricIon,rdfs:subClassOf,rc:MonoatomicIon
rc:CupricIon,rdfs:subClassOf,owl:Thing
rc:MonoatomicAnion,rdfs:subClassOf,rc:MonoatomicIon
rc:MonoatomicAnion,rdfs:subClassOf,owl:Thing
rc:IsotopeOfSilver,rdfs:subClassOf,rc:Silver
rc:IsotopeOfSilver,rdfs:subClassOf,owl:Thing
rc:Bismuth_209,rdfs:subClassOf,rc:Bismuth
rc:Bismuth_209,rdfs:subClassOf,owl:Thing
rc:IsotopeOfYttrium,rdfs:subClassOf,rc:Yttrium
rc:IsotopeOfYttrium,rdfs:subClassOf,owl:Thing
rc:ElementStuffType,rdfs:subClassOf,kko:AtomsElements
rc:ElementStuffType,rdfs:subClassOf,owl:Thing
rc:Darmstadtium,rdfs:subClassOf,rc:TransuraniumElement
rc:Darmstadtium,rdfs:subClassOf,owl:Thing
rc:Arsenic,rdfs:subClassOf,rc:Metalloid
rc:Arsenic,rdfs:subClassOf,rc:NonMetal
rc:Arsenic,rdfs:subClassOf,owl:Thing
rc:IsotopeOfPalladium,rdfs:subClassOf,rc:Palladium
rc:IsotopeOfPalladium,rdfs:subClassOf,owl:Thing
rc:Tin,rdfs:subClassOf,rc:UnalloyedMetal
rc:Tin,rdfs:subClassOf,owl:Thing
rc:Neodymium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Neodymium,rdfs:subClassOf,owl:Thing
