id,subclassof,parent
rc:MusicalComposition_Ska,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_Ska,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Ska,rdfs:subClassOf,owl:Thing
rc:ReggaeMusic,rdfs:subClassOf,rc:MusicTypeByGenre
rc:ReggaeMusic,rdfs:subClassOf,owl:Thing
rc:FolkMusicGenre,rdfs:subClassOf,rc:FolkMusic
rc:FolkMusicGenre,rdfs:subClassOf,owl:Thing
rc:NewAgePractice,rdfs:subClassOf,rc:MusicalComposition_NewAge
rc:NewAgePractice,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_HeavyMetal,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_HeavyMetal,rdfs:subClassOf,rc:MusicalComposition_Rock
rc:MusicalComposition_HeavyMetal,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Electronica,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_Electronica,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Electronica,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Cyberpunk,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_Cyberpunk,rdfs:subClassOf,owl:Thing
rc:NewSchoolHipHop,rdfs:subClassOf,rc:HipHopMusic
rc:NewSchoolHipHop,rdfs:subClassOf,owl:Thing
rc:TechnoGenre,rdfs:subClassOf,rc:MusicalComposition_Techno
rc:TechnoGenre,rdfs:subClassOf,rc:TechnoMusic
rc:TechnoGenre,rdfs:subClassOf,owl:Thing
rc:JazzRadio,rdfs:subClassOf,rc:JazzMusic
rc:JazzRadio,rdfs:subClassOf,owl:Thing
rc:Opera,rdfs:subClassOf,rc:ClassicalVocalComposition
rc:Opera,rdfs:subClassOf,rc:MusicalComposition_Opera
rc:Opera,rdfs:subClassOf,rc:OrchestralComposition
rc:Opera,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_NewWave,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_NewWave,rdfs:subClassOf,rc:MusicalComposition_Rock
rc:MusicalComposition_NewWave,rdfs:subClassOf,owl:Thing
rc:ElectronicMusic,rdfs:subClassOf,rc:MusicTypeByGenre
rc:ElectronicMusic,rdfs:subClassOf,owl:Thing
rc:RecordedMusic,rdfs:subClassOf,rc:RecordedSoundProduct
rc:RecordedMusic,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_RockAndRoll,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_RockAndRoll,rdfs:subClassOf,rc:MusicalComposition_Rock
rc:MusicalComposition_RockAndRoll,rdfs:subClassOf,owl:Thing
rc:Deathrock,rdfs:subClassOf,rc:GothicMusic
rc:Deathrock,rdfs:subClassOf,owl:Thing
rc:SikhMusic,rdfs:subClassOf,rc:MusicalComposition_Religious
rc:SikhMusic,rdfs:subClassOf,owl:Thing
rc:RussianLiturgicalMusic,rdfs:subClassOf,rc:MusicalComposition_Religious
rc:RussianLiturgicalMusic,rdfs:subClassOf,owl:Thing
rc:RadioTalkShow,rdfs:subClassOf,rc:RadioShow
rc:RadioTalkShow,rdfs:subClassOf,owl:Thing
rc:AnimalUtterance_IBT,rdfs:subClassOf,rc:AnimalSound
rc:AnimalUtterance_IBT,rdfs:subClassOf,owl:Thing
rc:AudioPodcast,rdfs:subClassOf,rc:RecordedSoundProduct
rc:AudioPodcast,rdfs:subClassOf,owl:Thing
rc:MusicalCompositonByInstrument,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalCompositonByInstrument,rdfs:subClassOf,owl:Thing
rc:RoaringSound,rdfs:subClassOf,rc:AnimalSound
rc:RoaringSound,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_PopRock,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_PopRock,rdfs:subClassOf,rc:MusicalComposition_Rock
rc:MusicalComposition_PopRock,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_HipHop,rdfs:subClassOf,rc:MusicTypeOpenGenre
rc:MusicalComposition_HipHop,rdfs:subClassOf,rc:MusicalComposition
rc:MusicalComposition_HipHop,rdfs:subClassOf,owl:Thing
rc:CountryMusic,rdfs:subClassOf,rc:MusicTypeByGenre
rc:CountryMusic,rdfs:subClassOf,owl:Thing
rc:NewAgeMusic,rdfs:subClassOf,rc:MusicTypeByGenre
rc:NewAgeMusic,rdfs:subClassOf,owl:Thing
rc:DiscoMusic,rdfs:subClassOf,rc:SoulMusic
rc:DiscoMusic,rdfs:subClassOf,owl:Thing
rc:Single_MovementComposition,rdfs:subClassOf,rc:MusicalComposition_Classical
rc:Single_MovementComposition,rdfs:subClassOf,owl:Thing
rc:ScottishMusic,rdfs:subClassOf,rc:MusicByRegion
rc:ScottishMusic,rdfs:subClassOf,owl:Thing
rc:ChamberPop,rdfs:subClassOf,rc:IndiePop
rc:ChamberPop,rdfs:subClassOf,owl:Thing
rc:PurringSound,rdfs:subClassOf,rc:AnimalSound
rc:PurringSound,rdfs:subClassOf,owl:Thing
rc:BretonMusic,rdfs:subClassOf,rc:MusicByRegion
rc:BretonMusic,rdfs:subClassOf,owl:Thing
rc:WeddingMusic,rdfs:subClassOf,rc:MusicTypeByGenre
rc:WeddingMusic,rdfs:subClassOf,owl:Thing
rc:RemixAlbum,rdfs:subClassOf,rc:Album
rc:RemixAlbum,rdfs:subClassOf,owl:Thing
