id,subclassof,parent
rc:AdenosineTriphosphate,rdfs:subClassOf,rc:Coenzyme
rc:AdenosineTriphosphate,rdfs:subClassOf,rc:NucleosideTriphosphate
rc:AdenosineTriphosphate,rdfs:subClassOf,owl:Thing
rc:Prostanoid,rdfs:subClassOf,rc:Lipid
rc:Prostanoid,rdfs:subClassOf,owl:Thing
rc:CarboxylicAcid,rdfs:subClassOf,rc:OrganicAcid
rc:CarboxylicAcid,rdfs:subClassOf,owl:Thing
rc:Enprostil,rdfs:subClassOf,rc:Prostaglandin
rc:Enprostil,rdfs:subClassOf,owl:Thing
rc:Thiol,rdfs:subClassOf,rc:OrganosulfurCompound
rc:Thiol,rdfs:subClassOf,owl:Thing
rc:T2_Mycotoxin,rdfs:subClassOf,rc:Trichothecene
rc:T2_Mycotoxin,rdfs:subClassOf,owl:Thing
rc:RestrictionEnzyme,rdfs:subClassOf,rc:Enzyme
rc:RestrictionEnzyme,rdfs:subClassOf,owl:Thing
rc:ClobetasolPropionate,rdfs:subClassOf,rc:Steroid
rc:ClobetasolPropionate,rdfs:subClassOf,owl:Thing
rc:FumonisinB2,rdfs:subClassOf,rc:Mycotoxin
rc:FumonisinB2,rdfs:subClassOf,rc:Transferase
rc:FumonisinB2,rdfs:subClassOf,owl:Thing
rc:Peptide,rdfs:subClassOf,rc:PeptideChain
rc:Peptide,rdfs:subClassOf,owl:Thing
rc:Arsenic,rdfs:subClassOf,rc:ChemicalToxin
rc:Arsenic,rdfs:subClassOf,owl:Thing
rc:NerveAgent,rdfs:subClassOf,rc:ChemicalWeaponAgent
rc:NerveAgent,rdfs:subClassOf,owl:Thing
rc:GABA,rdfs:subClassOf,rc:Neurotransmitter
rc:GABA,rdfs:subClassOf,owl:Thing
rc:CarboxymethylCellulose,rdfs:subClassOf,rc:Cellulose
rc:CarboxymethylCellulose,rdfs:subClassOf,owl:Thing
rc:AcidAnhydride,rdfs:subClassOf,rc:FunctionalGroup
rc:AcidAnhydride,rdfs:subClassOf,owl:Thing
rc:Secretin,rdfs:subClassOf,rc:Hormone
rc:Secretin,rdfs:subClassOf,owl:Thing
rc:Paraffin,rdfs:subClassOf,rc:Wax
rc:Paraffin,rdfs:subClassOf,owl:Thing
rc:Diketene,rdfs:subClassOf,rc:Alkene
rc:Diketene,rdfs:subClassOf,owl:Thing
rc:Norethindrone,rdfs:subClassOf,rc:Steroid
rc:Norethindrone,rdfs:subClassOf,owl:Thing
rc:CalciumAcetate,rdfs:subClassOf,rc:Acetate
rc:CalciumAcetate,rdfs:subClassOf,rc:Carboxylate
rc:CalciumAcetate,rdfs:subClassOf,owl:Thing
rc:Exocyst,rdfs:subClassOf,rc:ProteinStuff
rc:Exocyst,rdfs:subClassOf,owl:Thing
rc:Meitnerium,rdfs:subClassOf,rc:RadioactiveStuff
rc:Meitnerium,rdfs:subClassOf,owl:Thing
rc:AliphaticCompound,rdfs:subClassOf,rc:BiochemicalCompoundType
rc:AliphaticCompound,rdfs:subClassOf,rc:Hydrocarbon
rc:AliphaticCompound,rdfs:subClassOf,owl:Thing
rc:4_Hydroxytestosterone,rdfs:subClassOf,rc:AnabolicSteroid
rc:4_Hydroxytestosterone,rdfs:subClassOf,owl:Thing
rc:Niacin,rdfs:subClassOf,rc:Pyridine
rc:Niacin,rdfs:subClassOf,owl:Thing
rc:NonMessengerRNA,rdfs:subClassOf,rc:RNAMolecule
rc:NonMessengerRNA,rdfs:subClassOf,owl:Thing
rc:CorticosteroidPregnenedione,rdfs:subClassOf,rc:Corticosteroid
rc:CorticosteroidPregnenedione,rdfs:subClassOf,owl:Thing
rc:Methoxyethane,rdfs:subClassOf,rc:Ether
rc:Methoxyethane,rdfs:subClassOf,owl:Thing
rc:GlycoconjugateStuff,rdfs:subClassOf,rc:OrganicCompound
rc:GlycoconjugateStuff,rdfs:subClassOf,owl:Thing
rc:CompleteProtein,rdfs:subClassOf,rc:ProteinStuff
rc:CompleteProtein,rdfs:subClassOf,owl:Thing
rc:ProteinFamily,rdfs:subClassOf,rc:ProteinStuff
rc:ProteinFamily,rdfs:subClassOf,owl:Thing
rc:ChokingAgentStuff,rdfs:subClassOf,rc:ArtificialHarmfulSubstance
rc:ChokingAgentStuff,rdfs:subClassOf,rc:ChemicalWeaponAgent
rc:ChokingAgentStuff,rdfs:subClassOf,owl:Thing
rc:Primer_Molecule,rdfs:subClassOf,rc:Molecule_OrganicCompound
rc:Primer_Molecule,rdfs:subClassOf,owl:Thing
rc:Caspase14,rdfs:subClassOf,rc:Caspase
rc:Caspase14,rdfs:subClassOf,owl:Thing
rc:Dimethoxymethane,rdfs:subClassOf,rc:Ether
rc:Dimethoxymethane,rdfs:subClassOf,owl:Thing
rc:Pentaerythritol,rdfs:subClassOf,rc:AlcoholGroup
rc:Pentaerythritol,rdfs:subClassOf,owl:Thing
rc:Perfluoroisobutylene,rdfs:subClassOf,rc:ChokingAgentStuff
rc:Perfluoroisobutylene,rdfs:subClassOf,owl:Thing
rc:Dihydropyridine,rdfs:subClassOf,rc:Pyridine
rc:Dihydropyridine,rdfs:subClassOf,owl:Thing
rc:Chloroacetone,rdfs:subClassOf,rc:OrganochlorineCompound
rc:Chloroacetone,rdfs:subClassOf,owl:Thing
rc:Ethylamine,rdfs:subClassOf,rc:Amine
rc:Ethylamine,rdfs:subClassOf,owl:Thing
rc:Estrone,rdfs:subClassOf,rc:Estrogen
rc:Estrone,rdfs:subClassOf,owl:Thing
rc:ProstaglandinE2,rdfs:subClassOf,rc:Prostaglandin
rc:ProstaglandinE2,rdfs:subClassOf,owl:Thing
rc:CarboxylateAnion,rdfs:subClassOf,rc:CarboxylicAcid
rc:CarboxylateAnion,rdfs:subClassOf,owl:Thing
rc:ToxicAlcohol,rdfs:subClassOf,rc:ToxicSubstance
rc:ToxicAlcohol,rdfs:subClassOf,owl:Thing
rc:InsecticideProducts,rdfs:subClassOf,rc:Insecticide
rc:InsecticideProducts,rdfs:subClassOf,owl:Thing
rc:Progesterone,rdfs:subClassOf,rc:ReproductiveHormone
rc:Progesterone,rdfs:subClassOf,owl:Thing
rc:Filaggrin,rdfs:subClassOf,rc:ProteinStuff
rc:Filaggrin,rdfs:subClassOf,owl:Thing
rc:SystemicHormonalPreparation,rdfs:subClassOf,rc:Hormone
rc:SystemicHormonalPreparation,rdfs:subClassOf,owl:Thing
rc:AminoacyltRNASynthetase,rdfs:subClassOf,rc:Enzyme
rc:AminoacyltRNASynthetase,rdfs:subClassOf,owl:Thing
rc:Maltose,rdfs:subClassOf,rc:Disaccharide
rc:Maltose,rdfs:subClassOf,owl:Thing
rc:Androstenone,rdfs:subClassOf,rc:Steroid
rc:Androstenone,rdfs:subClassOf,owl:Thing
rc:PepperSpray,rdfs:subClassOf,rc:TearGas
rc:PepperSpray,rdfs:subClassOf,owl:Thing
rc:FtsZ,rdfs:subClassOf,rc:ProteinStuff
rc:FtsZ,rdfs:subClassOf,owl:Thing
rc:Cysteine,rdfs:subClassOf,rc:AminoAcid
rc:Cysteine,rdfs:subClassOf,owl:Thing
rc:GentisicAcid,rdfs:subClassOf,rc:BenzoicAcid
rc:GentisicAcid,rdfs:subClassOf,owl:Thing
rc:Caspase,rdfs:subClassOf,rc:CysteineProtease
rc:Caspase,rdfs:subClassOf,owl:Thing
rc:IsotopeOfMendelevium,rdfs:subClassOf,rc:Mendelevium
rc:IsotopeOfMendelevium,rdfs:subClassOf,owl:Thing
rc:ChlorineGas,rdfs:subClassOf,rc:ToxicGas
rc:ChlorineGas,rdfs:subClassOf,owl:Thing
rc:Hexane,rdfs:subClassOf,rc:Alkane
rc:Hexane,rdfs:subClassOf,owl:Thing
rc:Bromoanisole,rdfs:subClassOf,rc:Ether
rc:Bromoanisole,rdfs:subClassOf,owl:Thing
rc:Fluocinonide,rdfs:subClassOf,rc:Glucocorticoid
rc:Fluocinonide,rdfs:subClassOf,owl:Thing
rc:WheatFlour,rdfs:subClassOf,rc:Flour
rc:WheatFlour,rdfs:subClassOf,owl:Thing
rc:Protease,rdfs:subClassOf,rc:OrganicChemicalObject
rc:Protease,rdfs:subClassOf,rc:OrganicCompound
rc:Protease,rdfs:subClassOf,owl:Thing
rc:Sarin,rdfs:subClassOf,rc:OrganophosphorusCompound
rc:Sarin,rdfs:subClassOf,owl:Thing
rc:PolyethyleneMolecule,rdfs:subClassOf,rc:AlkaneMolecule
rc:PolyethyleneMolecule,rdfs:subClassOf,owl:Thing
rc:Troponin,rdfs:subClassOf,rc:Metalloprotein
rc:Troponin,rdfs:subClassOf,owl:Thing
rc:PyruvicAcid,rdfs:subClassOf,rc:OrganicAcid
rc:PyruvicAcid,rdfs:subClassOf,owl:Thing
rc:BetamethasoneValerate,rdfs:subClassOf,rc:Steroid
rc:BetamethasoneValerate,rdfs:subClassOf,owl:Thing
rc:Bis_trisPropane,rdfs:subClassOf,rc:Amine
rc:Bis_trisPropane,rdfs:subClassOf,owl:Thing
rc:PCAA,rdfs:subClassOf,rc:OtherFunctionalGroup
