id,subclassof,parent
rc:AdenosineTriphosphate,rdfs:subClassOf,rc:Coenzyme
rc:AdenosineTriphosphate,rdfs:subClassOf,rc:NucleosideTriphosphate
rc:AdenosineTriphosphate,rdfs:subClassOf,owl:Thing
rc:Prostanoid,rdfs:subClassOf,rc:Lipid
rc:Prostanoid,rdfs:subClassOf,owl:Thing
rc:Nonelectrolyte,rdfs:subClassOf,rc:ChemicalSpecie
rc:Nonelectrolyte,rdfs:subClassOf,owl:Thing
rc:CarboxylicAcid,rdfs:subClassOf,rc:OrganicAcid
rc:CarboxylicAcid,rdfs:subClassOf,owl:Thing
rc:Enprostil,rdfs:subClassOf,rc:Prostaglandin
rc:Enprostil,rdfs:subClassOf,owl:Thing
rc:Thiol,rdfs:subClassOf,rc:OrganosulfurCompound
rc:Thiol,rdfs:subClassOf,owl:Thing
rc:ThuliumCompound,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:ThuliumCompound,rdfs:subClassOf,owl:Thing
rc:RestrictionEnzyme,rdfs:subClassOf,rc:Enzyme
rc:RestrictionEnzyme,rdfs:subClassOf,owl:Thing
rc:Catalyst,rdfs:subClassOf,rc:PureSubstance
rc:Catalyst,rdfs:subClassOf,owl:Thing
rc:ClobetasolPropionate,rdfs:subClassOf,rc:Steroid
rc:ClobetasolPropionate,rdfs:subClassOf,owl:Thing
rc:MonoatomicAnion,rdfs:subClassOf,rc:Anion
rc:MonoatomicAnion,rdfs:subClassOf,rc:MonoatomicIon
rc:MonoatomicAnion,rdfs:subClassOf,owl:Thing
rc:HydrogenSelenideIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:HydrogenSelenideIon,rdfs:subClassOf,owl:Thing
rc:FumonisinB2,rdfs:subClassOf,rc:Transferase
rc:FumonisinB2,rdfs:subClassOf,owl:Thing
rc:Peptide,rdfs:subClassOf,rc:PeptideChain
rc:Peptide,rdfs:subClassOf,owl:Thing
rc:HydrogenChromateIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:HydrogenChromateIon,rdfs:subClassOf,owl:Thing
rc:AcidAnhydride,rdfs:subClassOf,rc:FunctionalGroup
rc:AcidAnhydride,rdfs:subClassOf,owl:Thing
rc:Secretin,rdfs:subClassOf,rc:Hormone
rc:Secretin,rdfs:subClassOf,owl:Thing
rc:Diketene,rdfs:subClassOf,rc:Alkene
rc:Diketene,rdfs:subClassOf,owl:Thing
rc:FluorineCompound,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:FluorineCompound,rdfs:subClassOf,owl:Thing
rc:CovalentLinking,rdfs:subClassOf,rc:ChemicalBonding
rc:CovalentLinking,rdfs:subClassOf,rc:OrganicReaction
rc:CovalentLinking,rdfs:subClassOf,owl:Thing
rc:Norethindrone,rdfs:subClassOf,rc:Steroid
rc:Norethindrone,rdfs:subClassOf,owl:Thing
rc:ChemicallyNeutralSubstance,rdfs:subClassOf,rc:ChemicalSubstance
rc:ChemicallyNeutralSubstance,rdfs:subClassOf,owl:Thing
rc:Exocyst,rdfs:subClassOf,rc:ProteinStuff
rc:Exocyst,rdfs:subClassOf,owl:Thing
rc:Meitnerium,rdfs:subClassOf,rc:RadioactiveStuff
rc:Meitnerium,rdfs:subClassOf,owl:Thing
rc:AliphaticCompound,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:AliphaticCompound,rdfs:subClassOf,owl:Thing
rc:4_Hydroxytestosterone,rdfs:subClassOf,rc:AnabolicSteroid
rc:4_Hydroxytestosterone,rdfs:subClassOf,owl:Thing
rc:NonMessengerRNA,rdfs:subClassOf,rc:RNAMolecule
rc:NonMessengerRNA,rdfs:subClassOf,owl:Thing
rc:CorticosteroidPregnenedione,rdfs:subClassOf,rc:Corticosteroid
rc:CorticosteroidPregnenedione,rdfs:subClassOf,owl:Thing
rc:PropanoateIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:PropanoateIon,rdfs:subClassOf,owl:Thing
rc:CompleteProtein,rdfs:subClassOf,rc:ProteinStuff
rc:CompleteProtein,rdfs:subClassOf,owl:Thing
rc:ProteinFamily,rdfs:subClassOf,rc:ProteinStuff
rc:ProteinFamily,rdfs:subClassOf,owl:Thing
rc:HydroazoicAcid,rdfs:subClassOf,rc:ChemicallyAcidicSubstance
rc:HydroazoicAcid,rdfs:subClassOf,rc:InorganicAcid
rc:HydroazoicAcid,rdfs:subClassOf,rc:WeakElectrolyte
rc:HydroazoicAcid,rdfs:subClassOf,owl:Thing
rc:Primer_Molecule,rdfs:subClassOf,rc:Molecule_OrganicCompound
rc:Primer_Molecule,rdfs:subClassOf,owl:Thing
rc:RibonucleotideBonding,rdfs:subClassOf,rc:NucleotideBonding
rc:RibonucleotideBonding,rdfs:subClassOf,owl:Thing
rc:LipoicAcid,rdfs:subClassOf,rc:Antioxidant
rc:LipoicAcid,rdfs:subClassOf,owl:Thing
rc:AmmoniumSulfate,rdfs:subClassOf,rc:InorganicSalt
rc:AmmoniumSulfate,rdfs:subClassOf,rc:IonicCompound
rc:AmmoniumSulfate,rdfs:subClassOf,rc:StrongElectrolyte
rc:AmmoniumSulfate,rdfs:subClassOf,owl:Thing
rc:Chloroacetone,rdfs:subClassOf,rc:OrganochlorineCompound
rc:Chloroacetone,rdfs:subClassOf,owl:Thing
rc:Ethylamine,rdfs:subClassOf,rc:ChemicallyBasicSubstance
rc:Ethylamine,rdfs:subClassOf,rc:WeakElectrolyte
rc:Ethylamine,rdfs:subClassOf,owl:Thing
rc:Estrone,rdfs:subClassOf,rc:Estrogen
rc:Estrone,rdfs:subClassOf,owl:Thing
rc:ProstaglandinE2,rdfs:subClassOf,rc:Prostaglandin
rc:ProstaglandinE2,rdfs:subClassOf,owl:Thing
rc:CarboxylateAnion,rdfs:subClassOf,rc:Anion
rc:CarboxylateAnion,rdfs:subClassOf,rc:CarboxylicAcid
rc:CarboxylateAnion,rdfs:subClassOf,owl:Thing
rc:Progesterone,rdfs:subClassOf,rc:ReproductiveHormone
rc:Progesterone,rdfs:subClassOf,owl:Thing
rc:Filaggrin,rdfs:subClassOf,rc:ProteinStuff
rc:Filaggrin,rdfs:subClassOf,owl:Thing
rc:SystemicHormonalPreparation,rdfs:subClassOf,rc:Hormone
rc:SystemicHormonalPreparation,rdfs:subClassOf,owl:Thing
rc:Citrine,rdfs:subClassOf,rc:Quartz
rc:Citrine,rdfs:subClassOf,owl:Thing
rc:AminoacyltRNASynthetase,rdfs:subClassOf,rc:Enzyme
rc:AminoacyltRNASynthetase,rdfs:subClassOf,owl:Thing
rc:Catechin,rdfs:subClassOf,rc:Antioxidant
rc:Catechin,rdfs:subClassOf,owl:Thing
rc:Androstenone,rdfs:subClassOf,rc:Steroid
rc:Androstenone,rdfs:subClassOf,owl:Thing
rc:EnzymeKinetics,rdfs:subClassOf,rc:CatalyticReaction
rc:EnzymeKinetics,rdfs:subClassOf,owl:Thing
rc:Oxyacid,rdfs:subClassOf,rc:InorganicCompound
rc:Oxyacid,rdfs:subClassOf,owl:Thing
rc:FtsZ,rdfs:subClassOf,rc:ProteinStuff
rc:FtsZ,rdfs:subClassOf,owl:Thing
rc:Cysteine,rdfs:subClassOf,rc:AminoAcid
rc:Cysteine,rdfs:subClassOf,owl:Thing
rc:GentisicAcid,rdfs:subClassOf,rc:BenzoicAcid
rc:GentisicAcid,rdfs:subClassOf,owl:Thing
rc:EndothermicReaction,rdfs:subClassOf,rc:OrganicReaction
rc:EndothermicReaction,rdfs:subClassOf,owl:Thing
rc:IsotopeOfMendelevium,rdfs:subClassOf,rc:Mendelevium
rc:IsotopeOfMendelevium,rdfs:subClassOf,owl:Thing
rc:ChlorineGas,rdfs:subClassOf,rc:ChemicalCompoundTypeByChemicalSpecies
rc:ChlorineGas,rdfs:subClassOf,owl:Thing
rc:FluoroantimonicAcid,rdfs:subClassOf,rc:InorganicAcid
rc:FluoroantimonicAcid,rdfs:subClassOf,owl:Thing
rc:HydrogenCarbonateIon,rdfs:subClassOf,rc:PolyatomicAnion
rc:HydrogenCarbonateIon,rdfs:subClassOf,owl:Thing
rc:Fluocinonide,rdfs:subClassOf,rc:Glucocorticoid
rc:Fluocinonide,rdfs:subClassOf,owl:Thing
rc:MercuryOxide,rdfs:subClassOf,rc:InorganicOxide
rc:MercuryOxide,rdfs:subClassOf,owl:Thing
rc:PotassiumChromate,rdfs:subClassOf,rc:InorganicCompound
rc:PotassiumChromate,rdfs:subClassOf,rc:IonicCompound
rc:PotassiumChromate,rdfs:subClassOf,rc:StrongElectrolyte
rc:PotassiumChromate,rdfs:subClassOf,owl:Thing
rc:ChemicalObjectUnbinding,rdfs:subClassOf,rc:OrganicReaction
rc:ChemicalObjectUnbinding,rdfs:subClassOf,owl:Thing
rc:Sarin,rdfs:subClassOf,rc:OrganophosphorusCompound
rc:Sarin,rdfs:subClassOf,owl:Thing
rc:PolyethyleneMolecule,rdfs:subClassOf,rc:AlkaneMolecule
rc:PolyethyleneMolecule,rdfs:subClassOf,owl:Thing
