id,subclassof,parent
rc:Equator_Celestial,rdfs:subClassOf,rc:LatitudeLine
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:TechnologyTransfer,rdfs:subClassOf,rc:Technology
rc:TechnologyTransfer,rdfs:subClassOf,owl:Thing
rc:EarthsEquator,rdfs:subClassOf,rc:LatitudeLine
rc:EarthsEquator,rdfs:subClassOf,owl:Thing
rc:NaturalPhenomenaReligiousImagery,rdfs:subClassOf,rc:VisualPerception
rc:NaturalPhenomenaReligiousImagery,rdfs:subClassOf,owl:Thing
rc:TouchPerception,rdfs:subClassOf,rc:Senses
rc:TouchPerception,rdfs:subClassOf,owl:Thing
rc:TemporallyContinuousThing,rdfs:subClassOf,rc:TemporalThing
rc:TemporallyContinuousThing,rdfs:subClassOf,owl:Thing
rc:Tropic_LatitudeLine,rdfs:subClassOf,rc:LatitudeLine
rc:Tropic_LatitudeLine,rdfs:subClassOf,owl:Thing
rc:Old,rdfs:subClassOf,rc:TemporalStuffType
rc:Old,rdfs:subClassOf,owl:Thing
rc:KnowledgeGraph,rdfs:subClassOf,rc:OntologyInformationScience
rc:KnowledgeGraph,rdfs:subClassOf,owl:Thing
rc:DBpedia,rdfs:subClassOf,rc:OntologyInformationScience
rc:DBpedia,rdfs:subClassOf,owl:Thing
rc:Mereology,rdfs:subClassOf,rc:OntologyInformationScience
rc:Mereology,rdfs:subClassOf,owl:Thing
rc:AntarcticCircle,rdfs:subClassOf,rc:PolarCircle_LatitudeLine
rc:AntarcticCircle,rdfs:subClassOf,owl:Thing
rc:DangerousThing,rdfs:subClassOf,kko:Concepts
rc:DangerousThing,rdfs:subClassOf,owl:Thing
rc:TransactionalNetwork,rdfs:subClassOf,rc:HumanArtifactConcept
rc:TransactionalNetwork,rdfs:subClassOf,owl:Thing
rc:SystemOfMeasure,rdfs:subClassOf,rc:UnitOfMeasureConcept
rc:SystemOfMeasure,rdfs:subClassOf,owl:Thing
rc:Prehistoric,rdfs:subClassOf,rc:TemporalConcepts
rc:Prehistoric,rdfs:subClassOf,owl:Thing
rc:MapProjectionConcept,rdfs:subClassOf,rc:Concept
rc:MapProjectionConcept,rdfs:subClassOf,owl:Thing
rc:RailwayCulture,rdfs:subClassOf,rc:TransportCulture
rc:RailwayCulture,rdfs:subClassOf,owl:Thing
rc:TerrainConcept,rdfs:subClassOf,kko:Concepts
rc:TerrainConcept,rdfs:subClassOf,owl:Thing
rc:Oversleeping,rdfs:subClassOf,rc:Accident
rc:Oversleeping,rdfs:subClassOf,owl:Thing
rc:MethMouth,rdfs:subClassOf,rc:SubstanceAbuse
rc:MethMouth,rdfs:subClassOf,owl:Thing
rc:NonintrusiveJunction,rdfs:subClassOf,rc:JunctionOfPaths
rc:NonintrusiveJunction,rdfs:subClassOf,owl:Thing
rc:Haematophagy,rdfs:subClassOf,rc:EatingEvent
rc:Haematophagy,rdfs:subClassOf,owl:Thing
rc:PhilosophicalConcept,rdfs:subClassOf,rc:Concept
rc:PhilosophicalConcept,rdfs:subClassOf,owl:Thing
rc:Pheromone,rdfs:subClassOf,rc:SmellPerception
rc:Pheromone,rdfs:subClassOf,owl:Thing
rc:Dreaming,rdfs:subClassOf,rc:StrictlyMentalActivity
rc:Dreaming,rdfs:subClassOf,owl:Thing
rc:Concerned,rdfs:subClassOf,rc:StrictlyMentalActivity
rc:Concerned,rdfs:subClassOf,owl:Thing
rc:TemporalThing,rdfs:subClassOf,rc:TemporalConcepts
rc:TemporalThing,rdfs:subClassOf,owl:Thing
rc:CognitiveBias,rdfs:subClassOf,rc:Cognition
rc:CognitiveBias,rdfs:subClassOf,owl:Thing
rc:Eisteddfod,rdfs:subClassOf,rc:FolkCulture
rc:Eisteddfod,rdfs:subClassOf,owl:Thing
rc:PositiveMentalAttitude,rdfs:subClassOf,rc:Attitude
rc:PositiveMentalAttitude,rdfs:subClassOf,owl:Thing
rc:AccidentInvolvingTheBoeing787,rdfs:subClassOf,rc:AirplaneCrash
rc:AccidentInvolvingTheBoeing787,rdfs:subClassOf,owl:Thing
rc:Macho,rdfs:subClassOf,rc:MasculinePerson
rc:Macho,rdfs:subClassOf,owl:Thing
rc:Swallowing,rdfs:subClassOf,rc:BiologicalIntakeEvent
rc:Swallowing,rdfs:subClassOf,owl:Thing
rc:OilSpill,rdfs:subClassOf,rc:Accident
rc:OilSpill,rdfs:subClassOf,owl:Thing
rc:Ancient,rdfs:subClassOf,rc:TemporalConcepts
rc:Ancient,rdfs:subClassOf,owl:Thing
rc:Geodesy,rdfs:subClassOf,rc:GeodesyConcept
rc:Geodesy,rdfs:subClassOf,owl:Thing
rc:StuffType,rdfs:subClassOf,kko:Concepts
