id,subclassof,parent
kko:TopicsCategories,rdfs:subClassOf,kko:ConceptualSystems
kko:TopicsCategories,rdfs:subClassOf,owl:Thing
rc:TransportCulture,rdfs:subClassOf,rc:Tradition
rc:TransportCulture,rdfs:subClassOf,owl:Thing
rc:EnergeticMaterial,rdfs:subClassOf,rc:EnergyStuff
rc:EnergeticMaterial,rdfs:subClassOf,owl:Thing
rc:Energetics,rdfs:subClassOf,rc:EnergyStuff
rc:Energetics,rdfs:subClassOf,owl:Thing
rc:DynamicsProcessing,rdfs:subClassOf,rc:SignalProcessing
rc:DynamicsProcessing,rdfs:subClassOf,owl:Thing
rc:Skill,rdfs:subClassOf,rc:Capability
rc:Skill,rdfs:subClassOf,owl:Thing
rc:InterpretationsOfQuantumMechanics,rdfs:subClassOf,rc:QuantumMechanics
rc:InterpretationsOfQuantumMechanics,rdfs:subClassOf,owl:Thing
rc:Reality,rdfs:subClassOf,rc:PhilosophicalConcept
rc:Reality,rdfs:subClassOf,owl:Thing
kko:ConceptualSystems,rdfs:subClassOf,owl:Thing
rc:TheoryOfGravitation,rdfs:subClassOf,rc:ScientificTheory
rc:TheoryOfGravitation,rdfs:subClassOf,owl:Thing
rc:HolonomicBrainTheory,rdfs:subClassOf,rc:Cognition
rc:HolonomicBrainTheory,rdfs:subClassOf,owl:Thing
rc:AlternativeEnergy,rdfs:subClassOf,rc:EnergyStuff
rc:AlternativeEnergy,rdfs:subClassOf,owl:Thing
rc:Senses,rdfs:subClassOf,rc:EnactiveCognition
rc:Senses,rdfs:subClassOf,owl:Thing
kko:LearningProcesses,rdfs:subClassOf,kko:ConceptualSystems
kko:LearningProcesses,rdfs:subClassOf,owl:Thing
rc:Gravimetry,rdfs:subClassOf,rc:Geodesy
rc:Gravimetry,rdfs:subClassOf,owl:Thing
rc:Intelligence,rdfs:subClassOf,rc:Cognition
rc:Intelligence,rdfs:subClassOf,owl:Thing
rc:Ontology_Being,rdfs:subClassOf,rc:Epistemology
rc:Ontology_Being,rdfs:subClassOf,owl:Thing
kko:Concepts,rdfs:subClassOf,kko:ConceptualSystems
kko:Concepts,rdfs:subClassOf,owl:Thing
rc:CausalFallacy,rdfs:subClassOf,rc:LogicalFallacy
rc:CausalFallacy,rdfs:subClassOf,owl:Thing
