id,subclassof,parent
rc:Equator_Celestial,rdfs:subClassOf,rc:LatitudeLine
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:AluminumFoil,rdfs:subClassOf,rc:SurfaceRegion_Tangible
rc:AluminumFoil,rdfs:subClassOf,owl:Thing
rc:Tongue_UnderseaTerrainFeature,rdfs:subClassOf,rc:UnderwaterLocation
rc:Tongue_UnderseaTerrainFeature,rdfs:subClassOf,owl:Thing
rc:GeometricFigure,rdfs:subClassOf,rc:HomogeneousExtendedSpaceRegion
rc:GeometricFigure,rdfs:subClassOf,owl:Thing
rc:SanAndreasFault,rdfs:subClassOf,rc:Landmark
rc:SanAndreasFault,rdfs:subClassOf,owl:Thing
rc:PlanarPointSet,rdfs:subClassOf,rc:PointSet
rc:PlanarPointSet,rdfs:subClassOf,owl:Thing
rc:LineSegment_Empirical,rdfs:subClassOf,rc:SpaceRegion_Empirical
rc:LineSegment_Empirical,rdfs:subClassOf,owl:Thing
rc:FormerCantonsOfSwitzerland,rdfs:subClassOf,rc:PopulatedPlace_Historical
rc:FormerCantonsOfSwitzerland,rdfs:subClassOf,owl:Thing
rc:Tunnel,rdfs:subClassOf,rc:Underground
rc:Tunnel,rdfs:subClassOf,owl:Thing
rc:Stonehenge_Place,rdfs:subClassOf,rc:UNESCOWorldHertitageSite
rc:Stonehenge_Place,rdfs:subClassOf,owl:Thing
rc:LandParcel,rdfs:subClassOf,rc:RealEstate
rc:LandParcel,rdfs:subClassOf,owl:Thing
rc:Heath,rdfs:subClassOf,rc:CanopyClosure_Open
rc:Heath,rdfs:subClassOf,owl:Thing
rc:District_KapisaProvince,rdfs:subClassOf,rc:District
rc:District_KapisaProvince,rdfs:subClassOf,owl:Thing
rc:AirplaneRunway_DisplacedThreshold,rdfs:subClassOf,rc:Airport_Physical
rc:AirplaneRunway_DisplacedThreshold,rdfs:subClassOf,owl:Thing
rc:Checkpoint_Military,rdfs:subClassOf,rc:Checkpoint
rc:Checkpoint_Military,rdfs:subClassOf,rc:MilitaryFacility
rc:Checkpoint_Military,rdfs:subClassOf,owl:Thing
rc:Supernova,rdfs:subClassOf,rc:CelestialEvent
rc:Supernova,rdfs:subClassOf,owl:Thing
rc:Boardwalk,rdfs:subClassOf,rc:SurfaceRegion_Tangible
rc:Boardwalk,rdfs:subClassOf,owl:Thing
rc:Hill,rdfs:subClassOf,rc:DefensivelyAdvantageousTerrain
rc:Hill,rdfs:subClassOf,owl:Thing
rc:MathematicalAxiom,rdfs:subClassOf,rc:MathematicalLogic
rc:MathematicalAxiom,rdfs:subClassOf,owl:Thing
rc:KnowledgeGraph,rdfs:subClassOf,rc:OntologyInformationScience
rc:KnowledgeGraph,rdfs:subClassOf,owl:Thing
rc:Mereology,rdfs:subClassOf,rc:OntologyInformationScience
rc:Mereology,rdfs:subClassOf,owl:Thing
rc:DBpedia,rdfs:subClassOf,rc:OntologyInformationScience
rc:DBpedia,rdfs:subClassOf,owl:Thing
rc:District_DhiQarProvince,rdfs:subClassOf,rc:District
rc:District_DhiQarProvince,rdfs:subClassOf,owl:Thing
rc:Tundra,rdfs:subClassOf,rc:GrassyRegion
rc:Tundra,rdfs:subClassOf,owl:Thing
rc:FireHelmet,rdfs:subClassOf,rc:Helmet
rc:FireHelmet,rdfs:subClassOf,owl:Thing
rc:AnimalShapedThing,rdfs:subClassOf,rc:PolyDimensionalThing
rc:AnimalShapedThing,rdfs:subClassOf,owl:Thing
rc:BrooklynBridge,rdfs:subClassOf,rc:Bridge
rc:BrooklynBridge,rdfs:subClassOf,owl:Thing
rc:MicroPhysicalProcess,rdfs:subClassOf,rc:MicroPhysicalEvent
rc:MicroPhysicalProcess,rdfs:subClassOf,owl:Thing
rc:Line_Planar,rdfs:subClassOf,rc:PlanarLinearObject_OneDimensional
rc:Line_Planar,rdfs:subClassOf,owl:Thing
rc:LoadingDock,rdfs:subClassOf,rc:Outdoors_ExposedToWeather
rc:LoadingDock,rdfs:subClassOf,rc:TransportFacility
rc:LoadingDock,rdfs:subClassOf,owl:Thing
rc:Tar,rdfs:subClassOf,rc:BlackColor
rc:Tar,rdfs:subClassOf,owl:Thing
rc:LinearObject_Tangible,rdfs:subClassOf,rc:LinearObject
rc:LinearObject_Tangible,rdfs:subClassOf,owl:Thing
rc:Operational_Definition,rdfs:subClassOf,rc:Definition
rc:Operational_Definition,rdfs:subClassOf,owl:Thing
rc:AlternateRoute,rdfs:subClassOf,rc:Bypass_Path
rc:AlternateRoute,rdfs:subClassOf,owl:Thing
rc:Roadway,rdfs:subClassOf,rc:OpenTrafficThoroughfare
rc:Roadway,rdfs:subClassOf,owl:Thing
rc:Ground,rdfs:subClassOf,rc:Place_Generic
