id,subclassof,parent
rc:Equator_Celestial,rdfs:subClassOf,rc:CelestialCoordinateSystem
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:Admiration,rdfs:subClassOf,rc:Like
rc:Admiration,rdfs:subClassOf,rc:Respect
rc:Admiration,rdfs:subClassOf,owl:Thing
rc:West_Directly,rdfs:subClassOf,rc:CompassPoint
rc:West_Directly,rdfs:subClassOf,owl:Thing
rc:Regret,rdfs:subClassOf,rc:Sadness
rc:Regret,rdfs:subClassOf,owl:Thing
rc:VoiceMailDevice,rdfs:subClassOf,rc:ContactLocation
rc:VoiceMailDevice,rdfs:subClassOf,owl:Thing
rc:Low_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:Low_LevelCloud,rdfs:subClassOf,owl:Thing
rc:EmotionalQuantityType,rdfs:subClassOf,rc:FeelingAttribute
rc:EmotionalQuantityType,rdfs:subClassOf,owl:Thing
rc:OfficeRoom,rdfs:subClassOf,rc:OfficeSpace_Personal
rc:OfficeRoom,rdfs:subClassOf,owl:Thing
rc:PlantSpecies,rdfs:subClassOf,rc:BiologicalSpecies
rc:PlantSpecies,rdfs:subClassOf,owl:Thing
rc:Self_esteem,rdfs:subClassOf,rc:Respect
rc:Self_esteem,rdfs:subClassOf,owl:Thing
rc:TopSide,rdfs:subClassOf,rc:Side
rc:TopSide,rdfs:subClassOf,owl:Thing
rc:AnatomicalDirection,rdfs:subClassOf,rc:OrientationAttributes
rc:AnatomicalDirection,rdfs:subClassOf,owl:Thing
rc:StateLine,rdfs:subClassOf,rc:Borderline
rc:StateLine,rdfs:subClassOf,owl:Thing
rc:Sincerity,rdfs:subClassOf,rc:FeelingAttribute
rc:Sincerity,rdfs:subClassOf,owl:Thing
rc:IroningWorkStation,rdfs:subClassOf,rc:WorkStation
rc:IroningWorkStation,rdfs:subClassOf,owl:Thing
rc:Friendliness,rdfs:subClassOf,rc:Affection
rc:Friendliness,rdfs:subClassOf,owl:Thing
rc:FactoryBuiltHome,rdfs:subClassOf,rc:House_Modern
rc:FactoryBuiltHome,rdfs:subClassOf,owl:Thing
rc:AltoStratusCloud,rdfs:subClassOf,rc:Middle_LevelCloud
rc:AltoStratusCloud,rdfs:subClassOf,owl:Thing
rc:DayCelebratingLove,rdfs:subClassOf,rc:Love
rc:DayCelebratingLove,rdfs:subClassOf,owl:Thing
rc:OfficeSpace_Personal,rdfs:subClassOf,rc:OfficeSpace
rc:OfficeSpace_Personal,rdfs:subClassOf,owl:Thing
rc:DirectionalAttributes,rdfs:subClassOf,rc:OrientationAttributes
rc:DirectionalAttributes,rdfs:subClassOf,owl:Thing
rc:Wall_Vertical,rdfs:subClassOf,rc:WallOrientation
rc:Wall_Vertical,rdfs:subClassOf,owl:Thing
rc:IPhone5S,rdfs:subClassOf,rc:IPhone_AppleCellphone
rc:IPhone5S,rdfs:subClassOf,owl:Thing
rc:Resentment,rdfs:subClassOf,rc:Dislike
rc:Resentment,rdfs:subClassOf,owl:Thing
rc:Hut,rdfs:subClassOf,rc:HumanResidence
rc:Hut,rdfs:subClassOf,owl:Thing
rc:Border,rdfs:subClassOf,rc:PathAttributes
rc:Border,rdfs:subClassOf,owl:Thing
rc:CumulusCloud,rdfs:subClassOf,rc:Low_LevelCloud
rc:CumulusCloud,rdfs:subClassOf,owl:Thing
rc:WorkStation,rdfs:subClassOf,rc:Workplace
rc:WorkStation,rdfs:subClassOf,owl:Thing
rc:IPhone4S,rdfs:subClassOf,rc:IPhone_AppleCellphone
rc:IPhone4S,rdfs:subClassOf,owl:Thing
rc:Backlit,rdfs:subClassOf,rc:Lit
rc:Backlit,rdfs:subClassOf,owl:Thing
rc:PalmOSDevice,rdfs:subClassOf,rc:Smartphone
rc:PalmOSDevice,rdfs:subClassOf,owl:Thing
rc:Laboratory,rdfs:subClassOf,rc:Workplace
rc:Laboratory,rdfs:subClassOf,owl:Thing
rc:IPhone_AppleCellphone,rdfs:subClassOf,rc:CameraPhone
rc:IPhone_AppleCellphone,rdfs:subClassOf,rc:Smartphone
rc:IPhone_AppleCellphone,rdfs:subClassOf,owl:Thing
rc:StoneFence,rdfs:subClassOf,rc:Fence
rc:StoneFence,rdfs:subClassOf,owl:Thing
rc:RadioStation_Place,rdfs:subClassOf,rc:CommercialSpace
rc:RadioStation_Place,rdfs:subClassOf,owl:Thing
rc:Groyne,rdfs:subClassOf,rc:Wall_Vertical
rc:Groyne,rdfs:subClassOf,owl:Thing
rc:EmergencyContact,rdfs:subClassOf,rc:ContactLocation
rc:EmergencyContact,rdfs:subClassOf,owl:Thing
rc:Pity,rdfs:subClassOf,rc:FeelingAttribute
rc:Pity,rdfs:subClassOf,owl:Thing
rc:Enthusiasm,rdfs:subClassOf,rc:Excitement
rc:Enthusiasm,rdfs:subClassOf,owl:Thing
rc:Solemnity,rdfs:subClassOf,rc:FeelingAttribute
rc:Solemnity,rdfs:subClassOf,owl:Thing
rc:Pollination,rdfs:subClassOf,rc:AngiospermReproduction
rc:Pollination,rdfs:subClassOf,owl:Thing
rc:Wall_ExternalToStructure,rdfs:subClassOf,rc:Wall_Vertical
rc:Wall_ExternalToStructure,rdfs:subClassOf,owl:Thing
rc:BiologicalSuperfamily,rdfs:subClassOf,rc:BiologicalTaxon
rc:BiologicalSuperfamily,rdfs:subClassOf,owl:Thing
rc:TrainingCamp,rdfs:subClassOf,rc:Campsite
rc:TrainingCamp,rdfs:subClassOf,owl:Thing
rc:MultiFamilyHousing,rdfs:subClassOf,rc:House_Modern
rc:MultiFamilyHousing,rdfs:subClassOf,owl:Thing
rc:ReligiousResidence,rdfs:subClassOf,rc:HumanResidence
rc:ReligiousResidence,rdfs:subClassOf,owl:Thing
rc:Frustration,rdfs:subClassOf,rc:FeelingAttribute
rc:Frustration,rdfs:subClassOf,owl:Thing
rc:Junkyard,rdfs:subClassOf,rc:Workplace
rc:Junkyard,rdfs:subClassOf,owl:Thing
rc:LeftWingNationalism,rdfs:subClassOf,rc:Nationalism
rc:LeftWingNationalism,rdfs:subClassOf,owl:Thing
rc:StratusCloud,rdfs:subClassOf,rc:Low_LevelCloud
rc:StratusCloud,rdfs:subClassOf,owl:Thing
rc:YoungTurksMovement,rdfs:subClassOf,rc:Nationalism
rc:YoungTurksMovement,rdfs:subClassOf,owl:Thing
rc:WorkBench,rdfs:subClassOf,rc:WorkStation
rc:WorkBench,rdfs:subClassOf,owl:Thing
rc:NationalQuestion,rdfs:subClassOf,rc:Nationalism
rc:NationalQuestion,rdfs:subClassOf,owl:Thing
rc:NationalistMovement,rdfs:subClassOf,rc:Nationalism
rc:NationalistMovement,rdfs:subClassOf,owl:Thing
rc:RomanFrontier,rdfs:subClassOf,rc:Border
rc:RomanFrontier,rdfs:subClassOf,owl:Thing
rc:RefugeeCamp,rdfs:subClassOf,rc:Campsite
rc:RefugeeCamp,rdfs:subClassOf,owl:Thing
rc:Middle_LevelCloud,rdfs:subClassOf,rc:CloudInSky
rc:Middle_LevelCloud,rdfs:subClassOf,owl:Thing
rc:Rage,rdfs:subClassOf,rc:Anger
rc:Rage,rdfs:subClassOf,owl:Thing
