id,subclassof,parent
rc:DecompositionProcess,rdfs:subClassOf,rc:PhysicalTransformationProcess
rc:DecompositionProcess,rdfs:subClassOf,rc:ProcessRequiringNoEnergyInput
rc:DecompositionProcess,rdfs:subClassOf,owl:Thing
rc:AxiomOfSetTheory,rdfs:subClassOf,rc:SetTheory
rc:AxiomOfSetTheory,rdfs:subClassOf,owl:Thing
rc:WeightGainingProcess,rdfs:subClassOf,rc:WeightChangingProcess
rc:WeightGainingProcess,rdfs:subClassOf,owl:Thing
rc:ConsolidationLoan,rdfs:subClassOf,rc:LoanAgreement
rc:ConsolidationLoan,rdfs:subClassOf,owl:Thing
rc:Visa_Permit_Student,rdfs:subClassOf,rc:Visa_Permit
rc:Visa_Permit_Student,rdfs:subClassOf,owl:Thing
rc:Rhodopsin_LikeReceoptor,rdfs:subClassOf,rc:Receptor
rc:Rhodopsin_LikeReceoptor,rdfs:subClassOf,owl:Thing
rc:TypeIbAndIcSupernovae,rdfs:subClassOf,rc:Supernova
rc:TypeIbAndIcSupernovae,rdfs:subClassOf,owl:Thing
rc:PiggybackLoan,rdfs:subClassOf,rc:LoanAgreement
rc:PiggybackLoan,rdfs:subClassOf,owl:Thing
rc:AmylaseInducedFermentation,rdfs:subClassOf,rc:Fermentation
rc:AmylaseInducedFermentation,rdfs:subClassOf,owl:Thing
rc:DiophantineApproximation,rdfs:subClassOf,rc:NumberTheory
rc:DiophantineApproximation,rdfs:subClassOf,owl:Thing
rc:PropertyDisclosureSheet,rdfs:subClassOf,rc:FinancialDocument
rc:PropertyDisclosureSheet,rdfs:subClassOf,owl:Thing
rc:HomeEquityLoan,rdfs:subClassOf,rc:RealEstateLoan
rc:HomeEquityLoan,rdfs:subClassOf,rc:SecuredLoan
rc:HomeEquityLoan,rdfs:subClassOf,owl:Thing
rc:DescriptiveSetTheory,rdfs:subClassOf,rc:SetTheory
rc:DescriptiveSetTheory,rdfs:subClassOf,owl:Thing
rc:WeightLosingProcess,rdfs:subClassOf,rc:WeightChangingProcess
rc:WeightLosingProcess,rdfs:subClassOf,owl:Thing
rc:PaymentObligation,rdfs:subClassOf,rc:EconomicAgreement
rc:PaymentObligation,rdfs:subClassOf,owl:Thing
rc:USConstitutionRatification,rdfs:subClassOf,rc:USConstitution
rc:USConstitutionRatification,rdfs:subClassOf,owl:Thing
rc:Homogenizing,rdfs:subClassOf,rc:PhysicalTransformationProcess
rc:Homogenizing,rdfs:subClassOf,owl:Thing
rc:UnsecuredLoan,rdfs:subClassOf,rc:LoanAgreement
rc:UnsecuredLoan,rdfs:subClassOf,owl:Thing
rc:Supernova,rdfs:subClassOf,rc:Explosion
rc:Supernova,rdfs:subClassOf,owl:Thing
rc:AssetConversionLoan,rdfs:subClassOf,rc:LoanAgreement
rc:AssetConversionLoan,rdfs:subClassOf,owl:Thing
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,rc:ProbabilityTheory
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,owl:Thing
rc:OrganicSynthesis,rdfs:subClassOf,rc:ChemicalSynthesis
rc:OrganicSynthesis,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:Theories
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:Same_SexMarriageInMaryland,rdfs:subClassOf,rc:SameSexMarriage
rc:Same_SexMarriageInMaryland,rdfs:subClassOf,owl:Thing
rc:TradeableSecurity,rdfs:subClassOf,rc:AuthorizedAgreement
rc:TradeableSecurity,rdfs:subClassOf,owl:Thing
rc:ProcessType,rdfs:subClassOf,kko:CopulativeRelations
rc:ProcessType,rdfs:subClassOf,owl:Thing
rc:AnaerobicCellularRespiration,rdfs:subClassOf,rc:AnaerobicBiochemicalProcess
rc:AnaerobicCellularRespiration,rdfs:subClassOf,rc:CellularRespiration
rc:AnaerobicCellularRespiration,rdfs:subClassOf,owl:Thing
rc:Supersymmetry,rdfs:subClassOf,rc:QuantumFieldTheory
rc:Supersymmetry,rdfs:subClassOf,owl:Thing
rc:BuildingPermit_PIT,rdfs:subClassOf,rc:AuthorizedAgreement
rc:BuildingPermit_PIT,rdfs:subClassOf,rc:Permit
rc:BuildingPermit_PIT,rdfs:subClassOf,owl:Thing
rc:SecondMortgage,rdfs:subClassOf,rc:MortgageAgreement
rc:SecondMortgage,rdfs:subClassOf,owl:Thing
rc:SalesContract,rdfs:subClassOf,rc:Contract
rc:SalesContract,rdfs:subClassOf,owl:Thing
rc:NuclearFallout,rdfs:subClassOf,rc:Mob
rc:NuclearFallout,rdfs:subClassOf,owl:Thing
rc:Account_LegalAgreement,rdfs:subClassOf,rc:AuthorizedAgreement
rc:Account_LegalAgreement,rdfs:subClassOf,rc:EconomicAgreement
rc:Account_LegalAgreement,rdfs:subClassOf,owl:Thing
rc:InvestmentPortfolio_CW,rdfs:subClassOf,rc:FinancialDocument
rc:InvestmentPortfolio_CW,rdfs:subClassOf,owl:Thing
rc:Zero_Number,rdfs:subClassOf,rc:CardinalNumber
rc:Zero_Number,rdfs:subClassOf,owl:Thing
rc:MicroPhysicalProcess,rdfs:subClassOf,rc:ThermodynamicProcess
rc:MicroPhysicalProcess,rdfs:subClassOf,owl:Thing
rc:FutureContract_Commodity,rdfs:subClassOf,rc:DerivativeSecurity
rc:FutureContract_Commodity,rdfs:subClassOf,owl:Thing
rc:NumberTheory,rdfs:subClassOf,rc:MathematicalTheory
rc:NumberTheory,rdfs:subClassOf,owl:Thing
rc:Topic,rdfs:subClassOf,rc:ConventionalClassificationType
rc:Topic,rdfs:subClassOf,owl:Thing
rc:DebtAssumptionLetter,rdfs:subClassOf,rc:FinancialDocument
rc:DebtAssumptionLetter,rdfs:subClassOf,owl:Thing
rc:SpaceShuttleChallengerDisaster,rdfs:subClassOf,rc:Explosion
rc:SpaceShuttleChallengerDisaster,rdfs:subClassOf,owl:Thing
rc:DriversLicenseClassB,rdfs:subClassOf,rc:DriversLicense_LicenseAgreement
rc:DriversLicenseClassB,rdfs:subClassOf,owl:Thing
rc:BridgeFinancing,rdfs:subClassOf,rc:AuthorizedAgreement
rc:BridgeFinancing,rdfs:subClassOf,rc:Loan_WrittenLegalAgreement
rc:BridgeFinancing,rdfs:subClassOf,rc:ShortTermLoan
rc:BridgeFinancing,rdfs:subClassOf,owl:Thing
rc:PhysicalSynthesis,rdfs:subClassOf,rc:Synthesis_Generic
rc:PhysicalSynthesis,rdfs:subClassOf,owl:Thing
rc:GNULesserGeneralPublicLicense,rdfs:subClassOf,rc:License_LegalAgreement
rc:GNULesserGeneralPublicLicense,rdfs:subClassOf,owl:Thing
rc:HomologicalAlgebra,rdfs:subClassOf,rc:CategoryTheory
rc:HomologicalAlgebra,rdfs:subClassOf,owl:Thing
