id,subclassof,parent
rc:Mimicry,rdfs:subClassOf,rc:CamouflagePattern
rc:Mimicry,rdfs:subClassOf,owl:Thing
rc:GetWellCard,rdfs:subClassOf,rc:OccasionCard
rc:GetWellCard,rdfs:subClassOf,owl:Thing
rc:HammerAndSickle,rdfs:subClassOf,rc:SymbolOfCommunism
rc:HammerAndSickle,rdfs:subClassOf,owl:Thing
rc:BluePage,rdfs:subClassOf,rc:PageOfPaper_IBO
rc:BluePage,rdfs:subClassOf,owl:Thing
rc:Leaflet,rdfs:subClassOf,rc:Paper_IBO
rc:Leaflet,rdfs:subClassOf,owl:Thing
rc:HeraldicBadge,rdfs:subClassOf,rc:Badge
rc:HeraldicBadge,rdfs:subClassOf,owl:Thing
rc:AnimalUtterance_IBT,rdfs:subClassOf,rc:AnimalSound
rc:AnimalUtterance_IBT,rdfs:subClassOf,owl:Thing
rc:MarkerPlate,rdfs:subClassOf,rc:Signage
rc:MarkerPlate,rdfs:subClassOf,owl:Thing
rc:RoaringSound,rdfs:subClassOf,rc:AnimalSound
rc:RoaringSound,rdfs:subClassOf,owl:Thing
rc:Insignia,rdfs:subClassOf,rc:Signage
rc:Insignia,rdfs:subClassOf,rc:Symbol
rc:Insignia,rdfs:subClassOf,owl:Thing
rc:HundredDollarBill_US,rdfs:subClassOf,rc:Bill_US
rc:HundredDollarBill_US,rdfs:subClassOf,owl:Thing
rc:GeneralDischargeDocument,rdfs:subClassOf,rc:MilitaryDischargePaper
rc:GeneralDischargeDocument,rdfs:subClassOf,owl:Thing
rc:StarTrekRankOrInsignia,rdfs:subClassOf,rc:Insignia
rc:StarTrekRankOrInsignia,rdfs:subClassOf,owl:Thing
rc:GeopoliticalSymbol,rdfs:subClassOf,rc:Symbol
rc:GeopoliticalSymbol,rdfs:subClassOf,owl:Thing
rc:Operational_Definition,rdfs:subClassOf,rc:Definition
rc:Operational_Definition,rdfs:subClassOf,owl:Thing
rc:PersonalCheck,rdfs:subClassOf,rc:Check_TenderObject
rc:PersonalCheck,rdfs:subClassOf,owl:Thing
rc:PurringSound,rdfs:subClassOf,rc:AnimalSound
rc:PurringSound,rdfs:subClassOf,owl:Thing
rc:WarMovie,rdfs:subClassOf,rc:FilmGenre
rc:WarMovie,rdfs:subClassOf,owl:Thing
rc:Ticket,rdfs:subClassOf,rc:Paper_IBO
rc:Ticket,rdfs:subClassOf,owl:Thing
rc:PreferredLabel,rdfs:subClassOf,rc:Label_IBO
rc:PreferredLabel,rdfs:subClassOf,owl:Thing
rc:CertificationOfApprenticeship,rdfs:subClassOf,rc:Certification
rc:CertificationOfApprenticeship,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:FilmGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:Miss,rdfs:subClassOf,rc:CourtesyTitle
rc:Miss,rdfs:subClassOf,owl:Thing
rc:BasketballCard,rdfs:subClassOf,rc:SportsCard
