id,subclassof,parent
rc:PoliticalEconomicModel,rdfs:subClassOf,rc:Models
rc:PoliticalEconomicModel,rdfs:subClassOf,owl:Thing
rc:GeneticDrift,rdfs:subClassOf,rc:BiologicalEvolution
rc:GeneticDrift,rdfs:subClassOf,owl:Thing
rc:ConceptualAbstraction,rdfs:subClassOf,rc:SystemsThinking
rc:ConceptualAbstraction,rdfs:subClassOf,owl:Thing
rc:FossilTaxon,rdfs:subClassOf,rc:Taxonomy
rc:FossilTaxon,rdfs:subClassOf,owl:Thing
rc:ForestModelling,rdfs:subClassOf,rc:Modeling
rc:ForestModelling,rdfs:subClassOf,owl:Thing
rc:UMBEL,rdfs:subClassOf,rc:KnowledgeBase
rc:UMBEL,rdfs:subClassOf,rc:OntologyInformationScience
rc:UMBEL,rdfs:subClassOf,owl:Thing
rc:SemiConscious,rdfs:subClassOf,rc:Consciousness
rc:SemiConscious,rdfs:subClassOf,owl:Thing
rc:CyclingRaceClass,rdfs:subClassOf,rc:ClassificationSystem
rc:CyclingRaceClass,rdfs:subClassOf,owl:Thing
rc:Secondary_RoadClassification,rdfs:subClassOf,rc:RoadClass
rc:Secondary_RoadClassification,rdfs:subClassOf,owl:Thing
rc:ClassificationSystem,rdfs:subClassOf,rc:KnowledgeRepresentation
rc:ClassificationSystem,rdfs:subClassOf,owl:Thing
rc:Emergentism,rdfs:subClassOf,kko:EmergentKnowledge
rc:Emergentism,rdfs:subClassOf,owl:Thing
rc:ArchaeaSpecies,rdfs:subClassOf,rc:ArchaeaTaxonomicClass
rc:ArchaeaSpecies,rdfs:subClassOf,owl:Thing
rc:SupportVectorMachine,rdfs:subClassOf,rc:MachineLearning
rc:SupportVectorMachine,rdfs:subClassOf,owl:Thing
rc:GeometryInComputerVision,rdfs:subClassOf,rc:ComputerVision
rc:GeometryInComputerVision,rdfs:subClassOf,owl:Thing
rc:GeoNames,rdfs:subClassOf,rc:OntologyInformationScience
rc:GeoNames,rdfs:subClassOf,owl:Thing
rc:TaxonomyBiology,rdfs:subClassOf,rc:Taxonomy
rc:TaxonomyBiology,rdfs:subClassOf,owl:Thing
rc:SystemsScience,rdfs:subClassOf,kko:EmergentKnowledge
rc:SystemsScience,rdfs:subClassOf,owl:Thing
rc:KnowledgeGraph,rdfs:subClassOf,rc:OntologyInformationScience
rc:KnowledgeGraph,rdfs:subClassOf,owl:Thing
rc:DBpedia,rdfs:subClassOf,rc:KnowledgeBase
rc:DBpedia,rdfs:subClassOf,rc:OntologyInformationScience
rc:DBpedia,rdfs:subClassOf,owl:Thing
rc:Mereology,rdfs:subClassOf,rc:OntologyInformationScience
rc:Mereology,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:MachineLearning
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:CultivatedPlantTaxonomy,rdfs:subClassOf,rc:PlantTaxonomy
rc:CultivatedPlantTaxonomy,rdfs:subClassOf,owl:Thing
rc:HumanEvolution,rdfs:subClassOf,rc:Evolution
rc:HumanEvolution,rdfs:subClassOf,owl:Thing
rc:Epistemology,rdfs:subClassOf,kko:EmergentKnowledge
rc:Epistemology,rdfs:subClassOf,owl:Thing
rc:MachineLearningTask,rdfs:subClassOf,rc:MachineLearning
rc:MachineLearningTask,rdfs:subClassOf,owl:Thing
rc:MonteCarloMethod,rdfs:subClassOf,rc:Models
rc:MonteCarloMethod,rdfs:subClassOf,owl:Thing
rc:StatisticalModel,rdfs:subClassOf,rc:Models
rc:StatisticalModel,rdfs:subClassOf,owl:Thing
rc:ConvergentEvolution,rdfs:subClassOf,rc:BiologicalEvolution
rc:ConvergentEvolution,rdfs:subClassOf,owl:Thing
rc:LepidopteraTaxonomy,rdfs:subClassOf,rc:InsectTaxonomy
rc:LepidopteraTaxonomy,rdfs:subClassOf,owl:Thing
rc:Qualia,rdfs:subClassOf,rc:Consciousness
rc:Qualia,rdfs:subClassOf,owl:Thing
rc:TuringTest,rdfs:subClassOf,rc:ArtificialIntelligence
rc:TuringTest,rdfs:subClassOf,owl:Thing
rc:StatisticalNaturalLanguageProcessing,rdfs:subClassOf,rc:MachineLearning
rc:StatisticalNaturalLanguageProcessing,rdfs:subClassOf,owl:Thing
rc:ArtificialIntelligence,rdfs:subClassOf,kko:EmergentKnowledge
rc:ArtificialIntelligence,rdfs:subClassOf,owl:Thing
rc:Self,rdfs:subClassOf,rc:Consciousness
rc:Self,rdfs:subClassOf,owl:Thing
rc:BritishNationalVegetationClassification,rdfs:subClassOf,rc:ClassificationSystem
rc:BritishNationalVegetationClassification,rdfs:subClassOf,owl:Thing
rc:KernelMethodsForMachineLearning,rdfs:subClassOf,rc:MachineLearning
rc:KernelMethodsForMachineLearning,rdfs:subClassOf,owl:Thing
rc:BusinessModel,rdfs:subClassOf,rc:Models
rc:BusinessModel,rdfs:subClassOf,owl:Thing
rc:PositiveFeedback,rdfs:subClassOf,rc:FeedbackLoop
rc:PositiveFeedback,rdfs:subClassOf,owl:Thing
rc:AnimalTaxonomy,rdfs:subClassOf,rc:TaxonomyBiology
rc:AnimalTaxonomy,rdfs:subClassOf,owl:Thing
rc:Ontology_Being,rdfs:subClassOf,rc:Epistemology
rc:Ontology_Being,rdfs:subClassOf,owl:Thing
rc:EnergyModel,rdfs:subClassOf,rc:Models
rc:EnergyModel,rdfs:subClassOf,owl:Thing
rc:Evolution,rdfs:subClassOf,kko:EmergentKnowledge
rc:Evolution,rdfs:subClassOf,owl:Thing
rc:KnowledgeRepresentationLanguage,rdfs:subClassOf,rc:KnowledgeRepresentation
rc:KnowledgeRepresentationLanguage,rdfs:subClassOf,owl:Thing
rc:AtmosphericDispersionModeling,rdfs:subClassOf,rc:Modeling
rc:AtmosphericDispersionModeling,rdfs:subClassOf,owl:Thing
rc:PhilosophyOfMind,rdfs:subClassOf,rc:Emergentism
rc:PhilosophyOfMind,rdfs:subClassOf,owl:Thing
rc:StochasticModel,rdfs:subClassOf,rc:Models
rc:StochasticModel,rdfs:subClassOf,owl:Thing
rc:Taxonomy,rdfs:subClassOf,rc:ClassificationSystem
rc:Taxonomy,rdfs:subClassOf,owl:Thing
rc:SpinModel,rdfs:subClassOf,rc:Models
rc:SpinModel,rdfs:subClassOf,owl:Thing
kko:EmergentKnowledge,rdfs:subClassOf,owl:Thing
rc:ArchaeaTaxonomicPhyla,rdfs:subClassOf,rc:TaxonomyBiology
rc:ArchaeaTaxonomicPhyla,rdfs:subClassOf,owl:Thing
rc:Microformat,rdfs:subClassOf,rc:KnowledgeRepresentation
rc:Microformat,rdfs:subClassOf,owl:Thing
rc:NegativeFeedback,rdfs:subClassOf,rc:FeedbackLoop
rc:NegativeFeedback,rdfs:subClassOf,owl:Thing
rc:PsychiatricModel,rdfs:subClassOf,rc:Models
rc:PsychiatricModel,rdfs:subClassOf,owl:Thing
rc:OilfieldDrillingModel,rdfs:subClassOf,rc:OilfieldEconomicModel
rc:OilfieldDrillingModel,rdfs:subClassOf,owl:Thing
rc:Encyclopedism,rdfs:subClassOf,rc:Epistemology
rc:Encyclopedism,rdfs:subClassOf,owl:Thing
rc:OilfieldProductionModel,rdfs:subClassOf,rc:OilfieldEconomicModel
rc:OilfieldProductionModel,rdfs:subClassOf,owl:Thing
rc:InnerModelTheory,rdfs:subClassOf,rc:ModelTheory
rc:InnerModelTheory,rdfs:subClassOf,owl:Thing
rc:MentalContent,rdfs:subClassOf,rc:Consciousness
rc:MentalContent,rdfs:subClassOf,owl:Thing
rc:MindbodyProblem,rdfs:subClassOf,rc:PhilosophyOfMind
rc:MindbodyProblem,rdfs:subClassOf,owl:Thing
rc:MachineRuleInduction,rdfs:subClassOf,rc:MachineLearning
rc:MachineRuleInduction,rdfs:subClassOf,owl:Thing
rc:MPAAAdvisoryClassification_Film,rdfs:subClassOf,rc:ClassificationSystem
rc:MPAAAdvisoryClassification_Film,rdfs:subClassOf,owl:Thing
rc:DimensionReduction,rdfs:subClassOf,rc:MachineLearning
rc:DimensionReduction,rdfs:subClassOf,owl:Thing
rc:PatternMatching,rdfs:subClassOf,rc:MachineLearning
rc:PatternMatching,rdfs:subClassOf,owl:Thing
rc:InternationalERoadNetwork,rdfs:subClassOf,rc:RouteNumber
