id,subclassof,parent
rc:UmbrellaUsedAsCovering,rdfs:subClassOf,rc:Umbrella
rc:UmbrellaUsedAsCovering,rdfs:subClassOf,owl:Thing
rc:Motte_And_BaileyCastle,rdfs:subClassOf,rc:Castle
rc:Motte_And_BaileyCastle,rdfs:subClassOf,owl:Thing
rc:SportsPlayingArea,rdfs:subClassOf,rc:ConstructionArtifact
rc:SportsPlayingArea,rdfs:subClassOf,owl:Thing
rc:DisplayStructure,rdfs:subClassOf,rc:TouristAttraction
rc:DisplayStructure,rdfs:subClassOf,owl:Thing
rc:OpticalLighting,rdfs:subClassOf,rc:LightFixture
rc:OpticalLighting,rdfs:subClassOf,owl:Thing
rc:MunicipalFacility,rdfs:subClassOf,rc:PublicBuildingStructure
rc:MunicipalFacility,rdfs:subClassOf,rc:PublicFacility
rc:MunicipalFacility,rdfs:subClassOf,owl:Thing
rc:SanAndreasFault,rdfs:subClassOf,rc:Landmark
rc:SanAndreasFault,rdfs:subClassOf,owl:Thing
rc:BridgeSpan,rdfs:subClassOf,rc:Bridge
rc:BridgeSpan,rdfs:subClassOf,rc:FacilityComponent
rc:BridgeSpan,rdfs:subClassOf,owl:Thing
rc:ArcDeTriomphe,rdfs:subClassOf,rc:TriumphalArch
rc:ArcDeTriomphe,rdfs:subClassOf,rc:WarMemorial
rc:ArcDeTriomphe,rdfs:subClassOf,owl:Thing
rc:VirginIslandsNationalPark,rdfs:subClassOf,rc:NationalPark
rc:VirginIslandsNationalPark,rdfs:subClassOf,owl:Thing
rc:SportLightingFixture,rdfs:subClassOf,rc:InteriorLightingFixture
rc:SportLightingFixture,rdfs:subClassOf,owl:Thing
rc:BasketballCourt,rdfs:subClassOf,rc:SportsCourt
rc:BasketballCourt,rdfs:subClassOf,owl:Thing
rc:LaScala,rdfs:subClassOf,rc:OperaHouse
rc:LaScala,rdfs:subClassOf,owl:Thing
rc:FalloutShelter,rdfs:subClassOf,rc:HumanShelterConstruction
rc:FalloutShelter,rdfs:subClassOf,rc:Shelter
rc:FalloutShelter,rdfs:subClassOf,owl:Thing
rc:Checkpoint_Military,rdfs:subClassOf,rc:Checkpoint
rc:Checkpoint_Military,rdfs:subClassOf,rc:MilitaryFacility
rc:Checkpoint_Military,rdfs:subClassOf,owl:Thing
rc:Scaffolding,rdfs:subClassOf,rc:Platform
rc:Scaffolding,rdfs:subClassOf,owl:Thing
rc:OperatingTable,rdfs:subClassOf,rc:Person_SupportingFurniture
rc:OperatingTable,rdfs:subClassOf,owl:Thing
rc:SeatingDeviceSeat,rdfs:subClassOf,rc:FurniturePart
rc:SeatingDeviceSeat,rdfs:subClassOf,owl:Thing
rc:DelawareAqueduct,rdfs:subClassOf,rc:Landmark
rc:DelawareAqueduct,rdfs:subClassOf,owl:Thing
rc:RoadwayJunction_Primary,rdfs:subClassOf,rc:RoadwayJunction
rc:RoadwayJunction_Primary,rdfs:subClassOf,owl:Thing
rc:SportsCourt,rdfs:subClassOf,rc:SportsPlayingArea
rc:SportsCourt,rdfs:subClassOf,owl:Thing
rc:Hut,rdfs:subClassOf,rc:HumanResidence
rc:Hut,rdfs:subClassOf,rc:PrefabricatedResidentialBuildingStructure
rc:Hut,rdfs:subClassOf,owl:Thing
rc:Trail,rdfs:subClassOf,rc:Footpath
rc:Trail,rdfs:subClassOf,owl:Thing
rc:BrooklynBridge,rdfs:subClassOf,rc:Bridge
rc:BrooklynBridge,rdfs:subClassOf,rc:Landmark
rc:BrooklynBridge,rdfs:subClassOf,owl:Thing
rc:OneCarGarage,rdfs:subClassOf,rc:Garage_Household
rc:OneCarGarage,rdfs:subClassOf,owl:Thing
rc:RollUpShade,rdfs:subClassOf,rc:BlindShade
rc:RollUpShade,rdfs:subClassOf,owl:Thing
rc:Aul,rdfs:subClassOf,rc:FortificationByType
rc:Aul,rdfs:subClassOf,owl:Thing
