id,subclassof,parent
rc:AleBeer,rdfs:subClassOf,rc:Beer
rc:AleBeer,rdfs:subClassOf,owl:Thing
rc:SmokedFish,rdfs:subClassOf,rc:EdibleFish
rc:SmokedFish,rdfs:subClassOf,owl:Thing
rc:BaconExplosion,rdfs:subClassOf,rc:Pork
rc:BaconExplosion,rdfs:subClassOf,owl:Thing
rc:Enchilada,rdfs:subClassOf,rc:Food_ReadyToEat
rc:Enchilada,rdfs:subClassOf,rc:SolidFoodArtifact
rc:Enchilada,rdfs:subClassOf,owl:Thing
rc:ChilePepper,rdfs:subClassOf,rc:Pepper_Foodstuff
rc:ChilePepper,rdfs:subClassOf,owl:Thing
rc:Hymenogastraceae,rdfs:subClassOf,rc:GilledMushroom
rc:Hymenogastraceae,rdfs:subClassOf,owl:Thing
rc:BlueberryBush,rdfs:subClassOf,rc:Crop
rc:BlueberryBush,rdfs:subClassOf,owl:Thing
rc:Milk,rdfs:subClassOf,rc:Drink
rc:Milk,rdfs:subClassOf,rc:EdiblesRichIn_ProteinStuff
rc:Milk,rdfs:subClassOf,owl:Thing
rc:DacryodesEdulis,rdfs:subClassOf,rc:FruitTree
rc:DacryodesEdulis,rdfs:subClassOf,owl:Thing
rc:AnimalBasedSeafood,rdfs:subClassOf,rc:Seafood
rc:AnimalBasedSeafood,rdfs:subClassOf,owl:Thing
rc:Gravy,rdfs:subClassOf,rc:Sauce
rc:Gravy,rdfs:subClassOf,owl:Thing
rc:Sucralose,rdfs:subClassOf,rc:SugarSubstitute
rc:Sucralose,rdfs:subClassOf,owl:Thing
rc:CerealFood,rdfs:subClassOf,rc:Food
rc:CerealFood,rdfs:subClassOf,owl:Thing
rc:GourdPlant,rdfs:subClassOf,rc:Crop
rc:GourdPlant,rdfs:subClassOf,rc:EdiblePlant
rc:GourdPlant,rdfs:subClassOf,owl:Thing
rc:Ostreidae,rdfs:subClassOf,rc:Oyster
rc:Ostreidae,rdfs:subClassOf,owl:Thing
rc:DecorseaDinteri,rdfs:subClassOf,rc:Legume_ThePlant
rc:DecorseaDinteri,rdfs:subClassOf,owl:Thing
rc:Vanilloid,rdfs:subClassOf,rc:VanillaBean
rc:Vanilloid,rdfs:subClassOf,owl:Thing
rc:Tamale,rdfs:subClassOf,rc:Food_ReadyToEat
rc:Tamale,rdfs:subClassOf,rc:SolidFoodArtifact
rc:Tamale,rdfs:subClassOf,owl:Thing
rc:CordylaMadagascariensis,rdfs:subClassOf,rc:Legume_ThePlant
rc:CordylaMadagascariensis,rdfs:subClassOf,owl:Thing
rc:Morbier_Cheese,rdfs:subClassOf,rc:Cheese
rc:Morbier_Cheese,rdfs:subClassOf,owl:Thing
rc:AmericanChineseCuisine,rdfs:subClassOf,rc:AmericanStyleFastFoodCuisine
