id,subclassof,parent
rc:UmbrellaUsedAsCovering,rdfs:subClassOf,rc:Umbrella
rc:UmbrellaUsedAsCovering,rdfs:subClassOf,owl:Thing
rc:GlassArchitecture,rdfs:subClassOf,rc:PlateGlass
rc:GlassArchitecture,rdfs:subClassOf,owl:Thing
rc:Blonde_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Blonde_HairColor,rdfs:subClassOf,owl:Thing
rc:Self_esteem,rdfs:subClassOf,rc:PersonalQuantity
rc:Self_esteem,rdfs:subClassOf,owl:Thing
rc:SportUniform,rdfs:subClassOf,rc:Uniform
rc:SportUniform,rdfs:subClassOf,owl:Thing
rc:Costume,rdfs:subClassOf,rc:ClothingOutfit
rc:Costume,rdfs:subClassOf,owl:Thing
rc:WhiteColor,rdfs:subClassOf,rc:Whiteish
rc:WhiteColor,rdfs:subClassOf,owl:Thing
rc:Connection_Physical,rdfs:subClassOf,kko:Forms
rc:Connection_Physical,rdfs:subClassOf,owl:Thing
rc:MiniPad,rdfs:subClassOf,rc:SanitaryNapkin
rc:MiniPad,rdfs:subClassOf,owl:Thing
rc:SpaWater,rdfs:subClassOf,rc:Liquid_Water
rc:SpaWater,rdfs:subClassOf,owl:Thing
rc:Headscarf,rdfs:subClassOf,rc:Scarf
rc:Headscarf,rdfs:subClassOf,owl:Thing
rc:Mycoplasma,rdfs:subClassOf,rc:Bacterium_Immotile
rc:Mycoplasma,rdfs:subClassOf,owl:Thing
rc:GreenColor,rdfs:subClassOf,rc:Greenish
rc:GreenColor,rdfs:subClassOf,owl:Thing
rc:Paste_Form,rdfs:subClassOf,rc:HomogeneousStructure
rc:Paste_Form,rdfs:subClassOf,rc:SemiSolidTangibleThing
rc:Paste_Form,rdfs:subClassOf,owl:Thing
rc:IntelligenceQuotient,rdfs:subClassOf,rc:IntelligenceLevel
rc:IntelligenceQuotient,rdfs:subClassOf,owl:Thing
rc:MarkerPlate,rdfs:subClassOf,rc:Signage
rc:MarkerPlate,rdfs:subClassOf,owl:Thing
rc:ColorScheme,rdfs:subClassOf,rc:Color
rc:ColorScheme,rdfs:subClassOf,owl:Thing
rc:CumulusCloud,rdfs:subClassOf,rc:Low_LevelCloud
rc:CumulusCloud,rdfs:subClassOf,owl:Thing
rc:WomensHosiery,rdfs:subClassOf,rc:ClothingItem
rc:WomensHosiery,rdfs:subClassOf,rc:Lingerie
rc:WomensHosiery,rdfs:subClassOf,owl:Thing
rc:AchromaticColor,rdfs:subClassOf,rc:Color
rc:AchromaticColor,rdfs:subClassOf,owl:Thing
rc:RollUpShade,rdfs:subClassOf,rc:BlindShade
rc:RollUpShade,rdfs:subClassOf,owl:Thing
rc:BookmarkForBooks,rdfs:subClassOf,rc:Paper
rc:BookmarkForBooks,rdfs:subClassOf,owl:Thing
rc:Jeans,rdfs:subClassOf,rc:LongPants
rc:Jeans,rdfs:subClassOf,rc:PantsWithBeltLoops
rc:Jeans,rdfs:subClassOf,owl:Thing
rc:Paraffin,rdfs:subClassOf,rc:Wax
rc:Paraffin,rdfs:subClassOf,owl:Thing
rc:QuarterEagleCoin_US,rdfs:subClassOf,rc:GoldColor
rc:QuarterEagleCoin_US,rdfs:subClassOf,owl:Thing
rc:Tar,rdfs:subClassOf,rc:BlackColor
rc:Tar,rdfs:subClassOf,owl:Thing
rc:Dented,rdfs:subClassOf,rc:Deformable
rc:Dented,rdfs:subClassOf,owl:Thing
rc:Conservation,rdfs:subClassOf,rc:Sustainability
rc:Conservation,rdfs:subClassOf,owl:Thing
rc:FirefightersCoat,rdfs:subClassOf,rc:Coat
rc:FirefightersCoat,rdfs:subClassOf,rc:ProtectiveAttire
rc:FirefightersCoat,rdfs:subClassOf,owl:Thing
rc:Poncho,rdfs:subClassOf,rc:OverGarment
rc:Poncho,rdfs:subClassOf,owl:Thing
rc:TribalJewelry,rdfs:subClassOf,rc:Jewelry
