id,subclassof,parent
rc:Ukraine,rdfs:subClassOf,rc:EasternEuropeanCountry
rc:Ukraine,rdfs:subClassOf,owl:Thing
rc:BinhThuan_ProvinceVietnam,rdfs:subClassOf,rc:Province_Vietnam
rc:BinhThuan_ProvinceVietnam,rdfs:subClassOf,owl:Thing
rc:Bhutan,rdfs:subClassOf,rc:Country
rc:Bhutan,rdfs:subClassOf,rc:Monarchy
rc:Bhutan,rdfs:subClassOf,owl:Thing
rc:KujawskoPomorskie_ProvincePoland,rdfs:subClassOf,rc:Province_Poland
rc:KujawskoPomorskie_ProvincePoland,rdfs:subClassOf,owl:Thing
rc:Sanaag,rdfs:subClassOf,rc:Puntland
rc:Sanaag,rdfs:subClassOf,owl:Thing
rc:SvayRieng_ProvinceCambodia,rdfs:subClassOf,rc:Province_Cambodia
rc:SvayRieng_ProvinceCambodia,rdfs:subClassOf,owl:Thing
rc:Jiangxi_ProvinceChina,rdfs:subClassOf,rc:ChineseProvince
rc:Jiangxi_ProvinceChina,rdfs:subClassOf,owl:Thing
rc:CantonOfNeuchatel,rdfs:subClassOf,rc:Canton_Swiss
rc:CantonOfNeuchatel,rdfs:subClassOf,owl:Thing
rc:Commune_IvoryCoast,rdfs:subClassOf,rc:FifthOrderAdministrativeDivision
rc:Commune_IvoryCoast,rdfs:subClassOf,owl:Thing
rc:BajaCaliforniaSur_StateMexico,rdfs:subClassOf,rc:State_Mexico
rc:BajaCaliforniaSur_StateMexico,rdfs:subClassOf,owl:Thing
rc:CantonOfStGallen,rdfs:subClassOf,rc:Canton_Swiss
rc:CantonOfStGallen,rdfs:subClassOf,owl:Thing
rc:SanLuisPotosi_StateMexico,rdfs:subClassOf,rc:State_Mexico
rc:SanLuisPotosi_StateMexico,rdfs:subClassOf,owl:Thing
rc:Province_Thailand,rdfs:subClassOf,rc:Province
rc:Province_Thailand,rdfs:subClassOf,owl:Thing
rc:Khatlon_ProvinceTajikistan,rdfs:subClassOf,rc:Province_Tajikistan
rc:Khatlon_ProvinceTajikistan,rdfs:subClassOf,owl:Thing
rc:Tipaza_ProvinceAlgeria,rdfs:subClassOf,rc:Province_Algeria
rc:Tipaza_ProvinceAlgeria,rdfs:subClassOf,owl:Thing
rc:Province_Belgium,rdfs:subClassOf,rc:Province
rc:Province_Belgium,rdfs:subClassOf,owl:Thing
rc:Louisiana_State,rdfs:subClassOf,rc:State_UnitedStates
rc:Louisiana_State,rdfs:subClassOf,owl:Thing
rc:Djelfa_ProvinceAlgeria,rdfs:subClassOf,rc:Province_Algeria
rc:Djelfa_ProvinceAlgeria,rdfs:subClassOf,owl:Thing
rc:Sweden,rdfs:subClassOf,rc:ConstitutionalMonarchy
rc:Sweden,rdfs:subClassOf,rc:Country
rc:Sweden,rdfs:subClassOf,owl:Thing
rc:Croatia,rdfs:subClassOf,rc:Country
rc:Croatia,rdfs:subClassOf,owl:Thing
rc:Senegal,rdfs:subClassOf,rc:Country
rc:Senegal,rdfs:subClassOf,owl:Thing
