id,subclassof,parent
rc:UniformResourceIdentifier,rdfs:subClassOf,rc:IDString
rc:UniformResourceIdentifier,rdfs:subClassOf,owl:Thing
rc:DomainName,rdfs:subClassOf,rc:ContactInfoString
rc:DomainName,rdfs:subClassOf,owl:Thing
rc:TelephoneNumberingPlan,rdfs:subClassOf,rc:PhoneNumber
rc:TelephoneNumberingPlan,rdfs:subClassOf,owl:Thing
rc:HumanNameString,rdfs:subClassOf,rc:ProperNameString
rc:HumanNameString,rdfs:subClassOf,owl:Thing
rc:NationalSymbolOfAlgeria,rdfs:subClassOf,rc:NationalSymbol
rc:NationalSymbolOfAlgeria,rdfs:subClassOf,owl:Thing
rc:Abbreviation,rdfs:subClassOf,rc:ProperNameString
rc:Abbreviation,rdfs:subClassOf,owl:Thing
rc:IndexNumber,rdfs:subClassOf,rc:Identifier
rc:IndexNumber,rdfs:subClassOf,rc:Pointers
rc:IndexNumber,rdfs:subClassOf,owl:Thing
rc:HammerAndSickle,rdfs:subClassOf,rc:SymbolOfCommunism
rc:HammerAndSickle,rdfs:subClassOf,owl:Thing
rc:NationalSymbolOfVietnam,rdfs:subClassOf,rc:NationalSymbol
rc:NationalSymbolOfVietnam,rdfs:subClassOf,owl:Thing
rc:NationalSymbolOfSomalia,rdfs:subClassOf,rc:NationalSymbol
rc:NationalSymbolOfSomalia,rdfs:subClassOf,owl:Thing
rc:SignedPurchaseContract,rdfs:subClassOf,kko:Indexes
rc:SignedPurchaseContract,rdfs:subClassOf,owl:Thing
rc:IndianStateInsignia,rdfs:subClassOf,rc:FormalInsignia
rc:IndianStateInsignia,rdfs:subClassOf,owl:Thing
rc:NationalSymbolOfSark,rdfs:subClassOf,rc:NationalSymbol
rc:NationalSymbolOfSark,rdfs:subClassOf,owl:Thing
rc:HashTable_DataStructure,rdfs:subClassOf,rc:IndexDataStructure
rc:HashTable_DataStructure,rdfs:subClassOf,owl:Thing
rc:IPAddress,rdfs:subClassOf,rc:IDString
rc:IPAddress,rdfs:subClassOf,owl:Thing
rc:NonMilitaryRankInsignia,rdfs:subClassOf,rc:Insignia
rc:NonMilitaryRankInsignia,rdfs:subClassOf,owl:Thing
rc:Insignia,rdfs:subClassOf,rc:Symbol
rc:Insignia,rdfs:subClassOf,owl:Thing
rc:CallSign,rdfs:subClassOf,rc:Identifier
rc:CallSign,rdfs:subClassOf,owl:Thing
rc:StarTrekRankOrInsignia,rdfs:subClassOf,rc:Insignia
rc:StarTrekRankOrInsignia,rdfs:subClassOf,owl:Thing
rc:Full_stop,rdfs:subClassOf,rc:PunctuationMark
rc:Full_stop,rdfs:subClassOf,owl:Thing
rc:ContentLocator,rdfs:subClassOf,rc:Identifier
rc:ContentLocator,rdfs:subClassOf,owl:Thing
rc:SocialSecurityNumber,rdfs:subClassOf,rc:UniqueID
rc:SocialSecurityNumber,rdfs:subClassOf,owl:Thing
rc:GeopoliticalSymbol,rdfs:subClassOf,rc:Symbol
rc:GeopoliticalSymbol,rdfs:subClassOf,owl:Thing
rc:DowJonesIndustrialAverage_FormerComponent,rdfs:subClassOf,rc:DowJonesIndustrials
rc:DowJonesIndustrialAverage_FormerComponent,rdfs:subClassOf,owl:Thing
rc:DirectoryPathname,rdfs:subClassOf,rc:Pathname
