id,subclassof,parent
rc:Periodical,rdfs:subClassOf,rc:PublishedConceptualWork
rc:Periodical,rdfs:subClassOf,owl:Thing
rc:Information_Content,rdfs:subClassOf,kko:Information
rc:Information_Content,rdfs:subClassOf,owl:Thing
rc:Visa_Permit_Student,rdfs:subClassOf,rc:Visa_Permit
rc:Visa_Permit_Student,rdfs:subClassOf,owl:Thing
rc:PiggybackLoan,rdfs:subClassOf,rc:LoanAgreement
rc:PiggybackLoan,rdfs:subClassOf,owl:Thing
rc:Mimicry,rdfs:subClassOf,rc:CamouflagePattern
rc:Mimicry,rdfs:subClassOf,owl:Thing
rc:MeroiticWriting,rdfs:subClassOf,rc:WritingSystem
rc:MeroiticWriting,rdfs:subClassOf,owl:Thing
rc:HomeEquityLoan,rdfs:subClassOf,rc:RealEstateLoan
rc:HomeEquityLoan,rdfs:subClassOf,rc:SecuredLoan
rc:HomeEquityLoan,rdfs:subClassOf,owl:Thing
rc:DescriptiveSetTheory,rdfs:subClassOf,rc:SetTheory
rc:DescriptiveSetTheory,rdfs:subClassOf,owl:Thing
rc:PhysicalExamination,rdfs:subClassOf,rc:MedicalDiagnosis
rc:PhysicalExamination,rdfs:subClassOf,owl:Thing
rc:UnsecuredLoan,rdfs:subClassOf,rc:LoanAgreement
rc:UnsecuredLoan,rdfs:subClassOf,owl:Thing
rc:QuarterlyReport,rdfs:subClassOf,rc:Document
rc:QuarterlyReport,rdfs:subClassOf,owl:Thing
rc:PhoenicianWriting,rdfs:subClassOf,rc:WritingSystem
rc:PhoenicianWriting,rdfs:subClassOf,owl:Thing
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,rc:ProbabilityTheory
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:Theories
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:IPAddress,rdfs:subClassOf,rc:IDString
rc:IPAddress,rdfs:subClassOf,owl:Thing
rc:Hearsay,rdfs:subClassOf,rc:Testifying
rc:Hearsay,rdfs:subClassOf,owl:Thing
rc:NumberTheory,rdfs:subClassOf,rc:MathematicalTheory
rc:NumberTheory,rdfs:subClassOf,owl:Thing
rc:MagneticTapeCassette,rdfs:subClassOf,rc:InformationStorageMedia
rc:MagneticTapeCassette,rdfs:subClassOf,owl:Thing
rc:DebtAssumptionLetter,rdfs:subClassOf,rc:FinancialDocument
rc:DebtAssumptionLetter,rdfs:subClassOf,owl:Thing
rc:EPIC_FinancialIDString,rdfs:subClassOf,rc:IDString
rc:EPIC_FinancialIDString,rdfs:subClassOf,owl:Thing
rc:BridgeFinancing,rdfs:subClassOf,rc:ShortTermLoan
rc:BridgeFinancing,rdfs:subClassOf,owl:Thing
rc:GraphTheoryObject,rdfs:subClassOf,rc:GraphTheory
rc:GraphTheoryObject,rdfs:subClassOf,owl:Thing
rc:Airsoft_SportsGame,rdfs:subClassOf,rc:SportsGame
rc:Airsoft_SportsGame,rdfs:subClassOf,owl:Thing
rc:DataProcessing,rdfs:subClassOf,rc:InformationProcess
rc:DataProcessing,rdfs:subClassOf,owl:Thing
rc:Affirming_Replying,rdfs:subClassOf,rc:ReplyingToAYesOrNoQuestion
rc:Affirming_Replying,rdfs:subClassOf,owl:Thing
rc:Newsgroup,rdfs:subClassOf,rc:Usenet
rc:Newsgroup,rdfs:subClassOf,owl:Thing
rc:Nightmare,rdfs:subClassOf,rc:Dream
rc:Nightmare,rdfs:subClassOf,owl:Thing
rc:LGBTErotica,rdfs:subClassOf,rc:Erotica
rc:LGBTErotica,rdfs:subClassOf,owl:Thing
rc:FootballJersey,rdfs:subClassOf,rc:Jersey_TheShirt
rc:FootballJersey,rdfs:subClassOf,owl:Thing
rc:PublishedConceptualWork,rdfs:subClassOf,rc:PublishedMaterial
rc:PublishedConceptualWork,rdfs:subClassOf,owl:Thing
rc:CarLoan,rdfs:subClassOf,rc:LoanAgreement
rc:CarLoan,rdfs:subClassOf,owl:Thing
rc:AdditiveCategory,rdfs:subClassOf,rc:CategoryTheory
rc:AdditiveCategory,rdfs:subClassOf,owl:Thing
rc:ThirtyYearMortgageAgreement,rdfs:subClassOf,rc:ThirtyYearLoan
rc:ThirtyYearMortgageAgreement,rdfs:subClassOf,owl:Thing
rc:PornographicMaterial,rdfs:subClassOf,rc:Information_Content
rc:PornographicMaterial,rdfs:subClassOf,rc:SexualProduct
rc:PornographicMaterial,rdfs:subClassOf,owl:Thing
rc:NewtonsFirstLaw,rdfs:subClassOf,rc:LawOfNature
rc:NewtonsFirstLaw,rdfs:subClassOf,owl:Thing
rc:IntegrableSystem,rdfs:subClassOf,rc:QuantumFieldTheory
rc:IntegrableSystem,rdfs:subClassOf,owl:Thing
rc:FloppyDisk,rdfs:subClassOf,rc:ComputerDisk
rc:FloppyDisk,rdfs:subClassOf,owl:Thing
rc:AmateurIceHockey,rdfs:subClassOf,rc:IceHockey
rc:AmateurIceHockey,rdfs:subClassOf,owl:Thing
rc:ClosedCategory,rdfs:subClassOf,rc:CategoryTheory
rc:ClosedCategory,rdfs:subClassOf,owl:Thing
rc:ScientificNotation,rdfs:subClassOf,rc:Notation
rc:ScientificNotation,rdfs:subClassOf,owl:Thing
rc:ShellForCasting,rdfs:subClassOf,rc:PhysicalTemplate
rc:ShellForCasting,rdfs:subClassOf,owl:Thing
rc:Automimicry,rdfs:subClassOf,rc:Mimicry
rc:Automimicry,rdfs:subClassOf,owl:Thing
rc:ShippingAddress,rdfs:subClassOf,rc:MailingAddress
rc:ShippingAddress,rdfs:subClassOf,owl:Thing
rc:BalanceSheet,rdfs:subClassOf,rc:AccountingReport
rc:BalanceSheet,rdfs:subClassOf,owl:Thing
