id,subclassof,parent
rc:Uranium_Depleted,rdfs:subClassOf,rc:AlphaEmitter
rc:Uranium_Depleted,rdfs:subClassOf,rc:WeakGammaEmitter
rc:Uranium_Depleted,rdfs:subClassOf,owl:Thing
rc:Testicle,rdfs:subClassOf,rc:AnimalBodyPart_Male
rc:Testicle,rdfs:subClassOf,owl:Thing
rc:Blonde_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Blonde_HairColor,rdfs:subClassOf,owl:Thing
rc:Gray_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Gray_HairColor,rdfs:subClassOf,owl:Thing
rc:LabiaMinora,rdfs:subClassOf,rc:AnimalBodyPart_Female
rc:LabiaMinora,rdfs:subClassOf,owl:Thing
rc:HumanMother,rdfs:subClassOf,rc:AdultFemaleHuman
rc:HumanMother,rdfs:subClassOf,owl:Thing
rc:Merman,rdfs:subClassOf,rc:MaleAnimal
rc:Merman,rdfs:subClassOf,owl:Thing
rc:Bull_MaleHerdAnimal,rdfs:subClassOf,rc:MaleAnimal
rc:Bull_MaleHerdAnimal,rdfs:subClassOf,owl:Thing
rc:Queen_HeadOfGovernment,rdfs:subClassOf,rc:Queen_HeadOfState
rc:Queen_HeadOfGovernment,rdfs:subClassOf,owl:Thing
rc:Male_Horse,rdfs:subClassOf,rc:MaleAnimal
rc:Male_Horse,rdfs:subClassOf,owl:Thing
rc:Uranium,rdfs:subClassOf,rc:AlphaEmitter
rc:Uranium,rdfs:subClassOf,owl:Thing
rc:QueenIsabellaII,rdfs:subClassOf,rc:Queen_HeadOfState
rc:QueenIsabellaII,rdfs:subClassOf,owl:Thing
rc:ElizabethII,rdfs:subClassOf,rc:Queen_HeadOfState
rc:ElizabethII,rdfs:subClassOf,owl:Thing
rc:IsotopeOfUranium,rdfs:subClassOf,rc:Uranium
rc:IsotopeOfUranium,rdfs:subClassOf,owl:Thing
rc:Black_HairColor,rdfs:subClassOf,rc:HumanHairColor
rc:Black_HairColor,rdfs:subClassOf,owl:Thing
rc:AuburnHairedHuman,rdfs:subClassOf,rc:HumanHairColor
rc:AuburnHairedHuman,rdfs:subClassOf,owl:Thing
rc:NewMexicoWhiptail,rdfs:subClassOf,rc:FemaleAnimal
rc:NewMexicoWhiptail,rdfs:subClassOf,owl:Thing
rc:Uranium_Enriched,rdfs:subClassOf,rc:Uranium
rc:Uranium_Enriched,rdfs:subClassOf,rc:WeakGammaEmitter
rc:Uranium_Enriched,rdfs:subClassOf,owl:Thing
rc:Horse_Gelding,rdfs:subClassOf,rc:Eunuch
rc:Horse_Gelding,rdfs:subClassOf,rc:Male_Horse
rc:Horse_Gelding,rdfs:subClassOf,owl:Thing
rc:Openness,rdfs:subClassOf,rc:QualityAttribute
