id,subclassof,parent
rc:Floriculture,rdfs:subClassOf,rc:AppliedDesignFieldOfStudy
rc:Floriculture,rdfs:subClassOf,owl:Thing
rc:PhysicalMemory,rdfs:subClassOf,rc:ComputerHardwareMemoryStorageUnit
rc:PhysicalMemory,rdfs:subClassOf,owl:Thing
rc:Monolingualism,rdfs:subClassOf,rc:Sociolinguistics
rc:Monolingualism,rdfs:subClassOf,owl:Thing
rc:Equator_Celestial,rdfs:subClassOf,rc:LatitudeLine
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:ElectronicsAndTheEnvironment,rdfs:subClassOf,rc:Environment_Generic
rc:ElectronicsAndTheEnvironment,rdfs:subClassOf,owl:Thing
rc:Mural,rdfs:subClassOf,rc:Painting_ArtForm
rc:Mural,rdfs:subClassOf,owl:Thing
rc:AmericanEnglishDialect,rdfs:subClassOf,rc:EnglishDialect
rc:AmericanEnglishDialect,rdfs:subClassOf,owl:Thing
rc:Jomsvikings,rdfs:subClassOf,rc:Viking_CultureType
rc:Jomsvikings,rdfs:subClassOf,owl:Thing
rc:MusicalComposition_Cyberpunk,rdfs:subClassOf,rc:ConceptualWork_CyberpunkGenre
rc:MusicalComposition_Cyberpunk,rdfs:subClassOf,owl:Thing
rc:PlantSpecies,rdfs:subClassOf,rc:BiologicalSpecies
rc:PlantSpecies,rdfs:subClassOf,owl:Thing
rc:CreditCardPayment,rdfs:subClassOf,rc:LoanPayment
rc:CreditCardPayment,rdfs:subClassOf,owl:Thing
rc:Dialectology,rdfs:subClassOf,rc:LinguisticsDiscipline
rc:Dialectology,rdfs:subClassOf,owl:Thing
rc:Prosthetics,rdfs:subClassOf,rc:BiomedicalEngineering
rc:Prosthetics,rdfs:subClassOf,owl:Thing
rc:T2_Mycotoxin,rdfs:subClassOf,rc:Trichothecene
rc:T2_Mycotoxin,rdfs:subClassOf,owl:Thing
rc:LiteratureOfAlAndalus,rdfs:subClassOf,rc:MedievalLiterature
rc:LiteratureOfAlAndalus,rdfs:subClassOf,owl:Thing
rc:MathematicsAndCulture,rdfs:subClassOf,rc:Mathematics
rc:MathematicsAndCulture,rdfs:subClassOf,owl:Thing
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,rc:ComputerAidedEngineering
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,owl:Thing
rc:HumanGenetics,rdfs:subClassOf,rc:GeneticsByTypeOfOrganism
rc:HumanGenetics,rdfs:subClassOf,owl:Thing
rc:DescriptiveSetTheory,rdfs:subClassOf,rc:SetTheory
rc:DescriptiveSetTheory,rdfs:subClassOf,owl:Thing
rc:Spectrograph,rdfs:subClassOf,rc:Spectroscopy
rc:Spectrograph,rdfs:subClassOf,owl:Thing
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,rc:CommercialActivity
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,owl:Thing
rc:FoggyClimateCycle,rdfs:subClassOf,rc:AnnualClimateCycle
rc:FoggyClimateCycle,rdfs:subClassOf,owl:Thing
rc:Supercontinent,rdfs:subClassOf,rc:PlateTectonics
rc:Supercontinent,rdfs:subClassOf,owl:Thing
rc:HomeEquityLoan,rdfs:subClassOf,rc:SecuredLoan
rc:HomeEquityLoan,rdfs:subClassOf,owl:Thing
rc:EarthsEquator,rdfs:subClassOf,rc:LatitudeLine
rc:EarthsEquator,rdfs:subClassOf,owl:Thing
rc:Churning_StockTrading,rdfs:subClassOf,rc:StockTrading
rc:Churning_StockTrading,rdfs:subClassOf,owl:Thing
rc:FetalAlcoholSyndrome,rdfs:subClassOf,rc:GeneticSyndrome
rc:FetalAlcoholSyndrome,rdfs:subClassOf,owl:Thing
rc:HistoryOfMedicine,rdfs:subClassOf,rc:Medical_Topic
rc:HistoryOfMedicine,rdfs:subClassOf,owl:Thing
rc:EconomicGlobalization,rdfs:subClassOf,rc:InternationalEconomics
rc:EconomicGlobalization,rdfs:subClassOf,owl:Thing
rc:MindControl,rdfs:subClassOf,rc:PopularPsychology
rc:MindControl,rdfs:subClassOf,owl:Thing
rc:TurntableMechanism,rdfs:subClassOf,rc:ElectricalComponent
rc:TurntableMechanism,rdfs:subClassOf,owl:Thing
rc:Shopping,rdfs:subClassOf,rc:BuyingActivity
rc:Shopping,rdfs:subClassOf,owl:Thing
rc:FumonisinB2,rdfs:subClassOf,rc:Mycotoxin
rc:FumonisinB2,rdfs:subClassOf,owl:Thing
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,rc:ProbabilityTheory
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,owl:Thing
rc:StructuralBiology,rdfs:subClassOf,rc:Biophysics
rc:StructuralBiology,rdfs:subClassOf,owl:Thing
rc:Mereology,rdfs:subClassOf,rc:OntologyInformationScience
rc:Mereology,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:MachineLearning
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:HeraldicBadge,rdfs:subClassOf,rc:Heraldry
rc:HeraldicBadge,rdfs:subClassOf,owl:Thing
rc:Arsenic,rdfs:subClassOf,rc:ChemicalToxin
rc:Arsenic,rdfs:subClassOf,owl:Thing
rc:MilitaryEconomics,rdfs:subClassOf,rc:Economics
rc:MilitaryEconomics,rdfs:subClassOf,owl:Thing
rc:NerveAgent,rdfs:subClassOf,rc:ChemicalWeaponAgent
rc:NerveAgent,rdfs:subClassOf,owl:Thing
rc:SustainableArchitecture,rdfs:subClassOf,rc:ArchitecturalDesign
rc:SustainableArchitecture,rdfs:subClassOf,owl:Thing
rc:SlangOfTheSouthernUnitedStates,rdfs:subClassOf,rc:Slang
rc:SlangOfTheSouthernUnitedStates,rdfs:subClassOf,owl:Thing
rc:Craton,rdfs:subClassOf,rc:PlateTectonics
rc:Craton,rdfs:subClassOf,owl:Thing
rc:StatueOfLiberty,rdfs:subClassOf,rc:Statue
rc:StatueOfLiberty,rdfs:subClassOf,owl:Thing
rc:EcogeographicRule,rdfs:subClassOf,rc:Biogeography
rc:EcogeographicRule,rdfs:subClassOf,owl:Thing
rc:Functions_Fundamental_Topic,rdfs:subClassOf,rc:Fundamental_Topic
rc:Functions_Fundamental_Topic,rdfs:subClassOf,owl:Thing
rc:Aviation,rdfs:subClassOf,rc:FocusedTechnologyField
rc:Aviation,rdfs:subClassOf,owl:Thing
rc:SleepPhysiology,rdfs:subClassOf,rc:Physiology
rc:SleepPhysiology,rdfs:subClassOf,owl:Thing
rc:MineralEconomics,rdfs:subClassOf,rc:Mining
rc:MineralEconomics,rdfs:subClassOf,owl:Thing
rc:NumberTheory,rdfs:subClassOf,rc:MathematicalTheory
rc:NumberTheory,rdfs:subClassOf,owl:Thing
rc:EconomicPolicy,rdfs:subClassOf,rc:EconomicSystem
rc:EconomicPolicy,rdfs:subClassOf,rc:Macroeconomics
rc:EconomicPolicy,rdfs:subClassOf,owl:Thing
rc:Lesion,rdfs:subClassOf,rc:Pathology
rc:Lesion,rdfs:subClassOf,owl:Thing
rc:MedicalMicrobiology,rdfs:subClassOf,rc:Microbiology
rc:MedicalMicrobiology,rdfs:subClassOf,owl:Thing
rc:Operational_Definition,rdfs:subClassOf,rc:Definition
rc:Operational_Definition,rdfs:subClassOf,owl:Thing
rc:BridgeFinancing,rdfs:subClassOf,rc:FinancingByBorrowing
rc:BridgeFinancing,rdfs:subClassOf,owl:Thing
rc:RamanSpectroscopy,rdfs:subClassOf,rc:Spectroscopy
rc:RamanSpectroscopy,rdfs:subClassOf,owl:Thing
rc:GraphTheoryObject,rdfs:subClassOf,rc:GraphTheory
rc:GraphTheoryObject,rdfs:subClassOf,owl:Thing
rc:CovalentLinking,rdfs:subClassOf,rc:OrganicReaction
rc:CovalentLinking,rdfs:subClassOf,owl:Thing
rc:ExoMars,rdfs:subClassOf,rc:Exobiology
rc:ExoMars,rdfs:subClassOf,owl:Thing
rc:Conservation,rdfs:subClassOf,rc:Ecology
rc:Conservation,rdfs:subClassOf,owl:Thing
rc:Antinatalism,rdfs:subClassOf,rc:PhilosophyBeliefs
rc:Antinatalism,rdfs:subClassOf,owl:Thing
rc:FinancingByBorrowing,rdfs:subClassOf,rc:Finance
rc:FinancingByBorrowing,rdfs:subClassOf,owl:Thing
rc:UnpoweredFlight,rdfs:subClassOf,rc:Aviation
rc:UnpoweredFlight,rdfs:subClassOf,owl:Thing
rc:KernelMethodsForMachineLearning,rdfs:subClassOf,rc:MachineLearning
rc:KernelMethodsForMachineLearning,rdfs:subClassOf,owl:Thing
rc:ClimateCycles_Weather_Topic,rdfs:subClassOf,rc:Weather_Topic
rc:ClimateCycles_Weather_Topic,rdfs:subClassOf,owl:Thing
rc:CalciumSignaling,rdfs:subClassOf,rc:SignalTransduction_CellularProcess
rc:CalciumSignaling,rdfs:subClassOf,owl:Thing
rc:Inverter,rdfs:subClassOf,rc:SimpleLogicCell
rc:Inverter,rdfs:subClassOf,owl:Thing
rc:SolidMechanics,rdfs:subClassOf,rc:ScientificFieldOfStudy
rc:SolidMechanics,rdfs:subClassOf,owl:Thing
rc:AnglicanHeraldry,rdfs:subClassOf,rc:Heraldry
rc:AnglicanHeraldry,rdfs:subClassOf,owl:Thing
rc:WellEngineering,rdfs:subClassOf,rc:CivilEngineering
rc:WellEngineering,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:FilmGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:VideoHardware,rdfs:subClassOf,rc:Electronics
rc:VideoHardware,rdfs:subClassOf,owl:Thing
rc:Habakkuk_BookOfBible,rdfs:subClassOf,rc:OldTestamentBook
rc:Habakkuk_BookOfBible,rdfs:subClassOf,owl:Thing
rc:RespiratorySystem,rdfs:subClassOf,rc:OrganSystem
rc:RespiratorySystem,rdfs:subClassOf,owl:Thing
rc:Pharmacodynamics,rdfs:subClassOf,rc:Pharmacology
rc:Pharmacodynamics,rdfs:subClassOf,owl:Thing
rc:Pathophysiology,rdfs:subClassOf,rc:Pathology
rc:Pathophysiology,rdfs:subClassOf,rc:Physiology
rc:Pathophysiology,rdfs:subClassOf,owl:Thing
rc:ShowBusinessTerm,rdfs:subClassOf,rc:BusinessTerm
rc:ShowBusinessTerm,rdfs:subClassOf,rc:EntertainmentTerm
rc:ShowBusinessTerm,rdfs:subClassOf,owl:Thing
rc:Assyriology,rdfs:subClassOf,rc:MiddleEasternStudies
rc:Assyriology,rdfs:subClassOf,owl:Thing
rc:PsychiatricInstrumentPsychosis,rdfs:subClassOf,rc:PsychiatricAssessment
rc:PsychiatricInstrumentPsychosis,rdfs:subClassOf,owl:Thing
rc:RadiationTherapy,rdfs:subClassOf,rc:MedicalTreatmentEvent
rc:RadiationTherapy,rdfs:subClassOf,owl:Thing
rc:OrganismByTaxonomicKingdom_BiologyTopic,rdfs:subClassOf,rc:Biology_Topic
rc:OrganismByTaxonomicKingdom_BiologyTopic,rdfs:subClassOf,owl:Thing
rc:CarvedArtwork,rdfs:subClassOf,rc:Sculpture
rc:CarvedArtwork,rdfs:subClassOf,owl:Thing
rc:InternationalAffairs,rdfs:subClassOf,rc:FieldOfStudy
rc:InternationalAffairs,rdfs:subClassOf,owl:Thing
rc:HebrewBible,rdfs:subClassOf,rc:Bible
rc:HebrewBible,rdfs:subClassOf,rc:OldTestament
rc:HebrewBible,rdfs:subClassOf,rc:OldTestamentBook
rc:HebrewBible,rdfs:subClassOf,owl:Thing
rc:Criminology,rdfs:subClassOf,rc:ScientificFieldOfStudy
rc:Criminology,rdfs:subClassOf,owl:Thing
rc:SimpleLogicCell,rdfs:subClassOf,rc:ElectronicComponent
rc:SimpleLogicCell,rdfs:subClassOf,owl:Thing
rc:StatisticalTheory,rdfs:subClassOf,rc:Statistics
rc:StatisticalTheory,rdfs:subClassOf,owl:Thing
rc:AdditiveCategory,rdfs:subClassOf,rc:CategoryTheory
rc:AdditiveCategory,rdfs:subClassOf,owl:Thing
rc:HeraldicAuthority,rdfs:subClassOf,rc:Heraldry
rc:HeraldicAuthority,rdfs:subClassOf,owl:Thing
rc:SalesContractNegotiation,rdfs:subClassOf,rc:CommercialActivity
rc:SalesContractNegotiation,rdfs:subClassOf,owl:Thing
rc:Obstetrics,rdfs:subClassOf,rc:MedicalSpecialty
rc:Obstetrics,rdfs:subClassOf,owl:Thing
rc:ThirtyYearMortgageAgreement,rdfs:subClassOf,rc:MortgageAgreement
rc:ThirtyYearMortgageAgreement,rdfs:subClassOf,owl:Thing
rc:FilmGenre,rdfs:subClassOf,rc:VisualArtsGenre
rc:FilmGenre,rdfs:subClassOf,owl:Thing
rc:PhilosophicalConcept,rdfs:subClassOf,rc:Philosophy
rc:PhilosophicalConcept,rdfs:subClassOf,owl:Thing
rc:MarineElectronics,rdfs:subClassOf,rc:Electronics
rc:MarineElectronics,rdfs:subClassOf,owl:Thing
rc:Neurochemistry,rdfs:subClassOf,rc:Biochemistry
rc:Neurochemistry,rdfs:subClassOf,owl:Thing
rc:GeologicalProcess,rdfs:subClassOf,rc:Geology
rc:GeologicalProcess,rdfs:subClassOf,owl:Thing
rc:Interference,rdfs:subClassOf,rc:Electronics
rc:Interference,rdfs:subClassOf,owl:Thing
rc:FloppyDisk,rdfs:subClassOf,rc:ComputerDisk
rc:FloppyDisk,rdfs:subClassOf,owl:Thing
rc:IntegrableSystem,rdfs:subClassOf,rc:QuantumFieldTheory
rc:IntegrableSystem,rdfs:subClassOf,owl:Thing
rc:LandscapeArt,rdfs:subClassOf,rc:VisualArtsGenre
rc:LandscapeArt,rdfs:subClassOf,owl:Thing
rc:PhaseTransition,rdfs:subClassOf,rc:StatisticalMechanics
rc:PhaseTransition,rdfs:subClassOf,owl:Thing
rc:Pseudoarchaeology,rdfs:subClassOf,rc:Archaeology
rc:Pseudoarchaeology,rdfs:subClassOf,owl:Thing
rc:ChemicalCompoundsMolecules_ChemistryTopic,rdfs:subClassOf,rc:Chemistry_Topic
rc:ChemicalCompoundsMolecules_ChemistryTopic,rdfs:subClassOf,owl:Thing
rc:UNLOCODE,rdfs:subClassOf,rc:GeographicTaxonomy
rc:UNLOCODE,rdfs:subClassOf,owl:Thing
