id,subclassof,parent
rc:AxiomOfSetTheory,rdfs:subClassOf,rc:SetTheory
rc:AxiomOfSetTheory,rdfs:subClassOf,owl:Thing
rc:DiophantineApproximation,rdfs:subClassOf,rc:NumberTheory
rc:DiophantineApproximation,rdfs:subClassOf,owl:Thing
rc:DietingForWeightLoss,rdfs:subClassOf,rc:Dieting
rc:DietingForWeightLoss,rdfs:subClassOf,owl:Thing
rc:DescriptiveSetTheory,rdfs:subClassOf,rc:SetTheory
rc:DescriptiveSetTheory,rdfs:subClassOf,owl:Thing
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,rc:ProbabilityTheory
rc:TheoryOfProbabilityDistribution,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:Theories
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:Supersymmetry,rdfs:subClassOf,rc:QuantumFieldTheory
rc:Supersymmetry,rdfs:subClassOf,owl:Thing
rc:PaymentPlanWithEqualValueInstallments,rdfs:subClassOf,rc:PaymentPlanWithMultiplePayments
rc:PaymentPlanWithEqualValueInstallments,rdfs:subClassOf,owl:Thing
rc:Dieting_LowCarbohydrate,rdfs:subClassOf,rc:Dieting
rc:Dieting_LowCarbohydrate,rdfs:subClassOf,owl:Thing
rc:Zero_Number,rdfs:subClassOf,rc:CardinalNumber
rc:Zero_Number,rdfs:subClassOf,owl:Thing
rc:NumberTheory,rdfs:subClassOf,rc:MathematicalTheory
rc:NumberTheory,rdfs:subClassOf,owl:Thing
rc:HomologicalAlgebra,rdfs:subClassOf,rc:CategoryTheory
rc:HomologicalAlgebra,rdfs:subClassOf,owl:Thing
rc:GraphTheoryObject,rdfs:subClassOf,rc:GraphTheory
rc:GraphTheoryObject,rdfs:subClassOf,owl:Thing
rc:HypothesisTesting,rdfs:subClassOf,rc:Hypothesis
rc:HypothesisTesting,rdfs:subClassOf,owl:Thing
rc:DyslexiaResearch,rdfs:subClassOf,rc:Dyslexia
rc:DyslexiaResearch,rdfs:subClassOf,owl:Thing
rc:DataProcessing,rdfs:subClassOf,rc:InformationProcess
rc:DataProcessing,rdfs:subClassOf,owl:Thing
rc:TheoryOfAging,rdfs:subClassOf,rc:Theories
rc:TheoryOfAging,rdfs:subClassOf,owl:Thing
rc:SpinModel,rdfs:subClassOf,rc:QuantumMechanics
rc:SpinModel,rdfs:subClassOf,owl:Thing
rc:InductiveReasoning,rdfs:subClassOf,rc:InductiveInferenceProcess
rc:InductiveReasoning,rdfs:subClassOf,owl:Thing
rc:DigitalSignalProcessing,rdfs:subClassOf,rc:SignalProcessing
rc:DigitalSignalProcessing,rdfs:subClassOf,owl:Thing
rc:QuantumMeasurement,rdfs:subClassOf,rc:QuantumMechanics
rc:QuantumMeasurement,rdfs:subClassOf,owl:Thing
rc:InnerModelTheory,rdfs:subClassOf,rc:SetTheory
rc:InnerModelTheory,rdfs:subClassOf,owl:Thing
rc:Superstring,rdfs:subClassOf,rc:StringTheory
rc:Superstring,rdfs:subClassOf,owl:Thing
rc:Write_off,rdfs:subClassOf,rc:InformationRecordingProcess
rc:Write_off,rdfs:subClassOf,owl:Thing
rc:LegalReasoning,rdfs:subClassOf,rc:Reasoning
rc:LegalReasoning,rdfs:subClassOf,owl:Thing
rc:AdditiveCategory,rdfs:subClassOf,rc:CategoryTheory
rc:AdditiveCategory,rdfs:subClassOf,owl:Thing
rc:Urelement,rdfs:subClassOf,rc:SetTheory
rc:Urelement,rdfs:subClassOf,owl:Thing
rc:SpaceGroup,rdfs:subClassOf,rc:PointGroup
rc:SpaceGroup,rdfs:subClassOf,owl:Thing
rc:MeasureSetTheory,rdfs:subClassOf,rc:SetTheory
rc:MeasureSetTheory,rdfs:subClassOf,owl:Thing
rc:IntegrableSystem,rdfs:subClassOf,rc:QuantumFieldTheory
rc:IntegrableSystem,rdfs:subClassOf,owl:Thing
rc:ArgumentsForTheExistenceOfGod,rdfs:subClassOf,rc:Argument
rc:ArgumentsForTheExistenceOfGod,rdfs:subClassOf,owl:Thing
rc:ClosedCategory,rdfs:subClassOf,rc:CategoryTheory
rc:ClosedCategory,rdfs:subClassOf,owl:Thing
rc:Reduplication,rdfs:subClassOf,rc:MorphologicalProcess
rc:Reduplication,rdfs:subClassOf,owl:Thing
rc:ExerciseRegimen,rdfs:subClassOf,rc:Regimen
rc:ExerciseRegimen,rdfs:subClassOf,owl:Thing
rc:TheoryOfCryptography,rdfs:subClassOf,rc:Theories
rc:TheoryOfCryptography,rdfs:subClassOf,owl:Thing
rc:Interrupt,rdfs:subClassOf,rc:InformationProcess
rc:Interrupt,rdfs:subClassOf,owl:Thing
rc:MonoidalCategory,rdfs:subClassOf,rc:CategoryTheory
rc:MonoidalCategory,rdfs:subClassOf,owl:Thing
rc:ElementaryNumberTheory,rdfs:subClassOf,rc:NumberTheory
rc:ElementaryNumberTheory,rdfs:subClassOf,owl:Thing
rc:Interoperability,rdfs:subClassOf,rc:InformationProcess
