id,subclassof,parent
rc:CellCapableOfFurtherDifferentiation,rdfs:subClassOf,rc:Cell
rc:CellCapableOfFurtherDifferentiation,rdfs:subClassOf,owl:Thing
rc:EdiacaranBiota,rdfs:subClassOf,rc:Biota
rc:EdiacaranBiota,rdfs:subClassOf,owl:Thing
rc:RiftValleyFeverVirus,rdfs:subClassOf,rc:BunyaviridaeVirus
rc:RiftValleyFeverVirus,rdfs:subClassOf,rc:ViralBioAgent
rc:RiftValleyFeverVirus,rdfs:subClassOf,owl:Thing
rc:MustardSeed,rdfs:subClassOf,rc:ExternalAnatomicalPart
rc:MustardSeed,rdfs:subClassOf,owl:Thing
rc:BrownAlgae,rdfs:subClassOf,rc:Algae
rc:BrownAlgae,rdfs:subClassOf,owl:Thing
rc:ExternalAnatomicalPart,rdfs:subClassOf,rc:OrganismPart
rc:ExternalAnatomicalPart,rdfs:subClassOf,owl:Thing
rc:Enterovirus,rdfs:subClassOf,rc:Picornavirus
rc:Enterovirus,rdfs:subClassOf,owl:Thing
rc:FreshwaterOrganism,rdfs:subClassOf,rc:AquaticOrganism
rc:FreshwaterOrganism,rdfs:subClassOf,owl:Thing
rc:HepatitisB,rdfs:subClassOf,rc:HepatitisB_Virus
rc:HepatitisB,rdfs:subClassOf,owl:Thing
rc:KingdomRhizaria,rdfs:subClassOf,rc:DomainEukarya
rc:KingdomRhizaria,rdfs:subClassOf,owl:Thing
rc:MarburgVirus,rdfs:subClassOf,rc:ViralBioAgent
rc:MarburgVirus,rdfs:subClassOf,owl:Thing
rc:EdibleAlgae,rdfs:subClassOf,rc:Algae
rc:EdibleAlgae,rdfs:subClassOf,owl:Thing
rc:Phototroph,rdfs:subClassOf,rc:OrganismTypeByNutrition
rc:Phototroph,rdfs:subClassOf,owl:Thing
rc:ChaetocerosFurcellatus,rdfs:subClassOf,rc:Diatom
rc:ChaetocerosFurcellatus,rdfs:subClassOf,owl:Thing
rc:WernickesArea,rdfs:subClassOf,rc:InternalAnatomicalPart
rc:WernickesArea,rdfs:subClassOf,owl:Thing
rc:Rotavirus,rdfs:subClassOf,rc:ViralBioAgent
rc:Rotavirus,rdfs:subClassOf,owl:Thing
rc:HepatitisVirus,rdfs:subClassOf,rc:Virus
rc:HepatitisVirus,rdfs:subClassOf,owl:Thing
rc:Heterotroph_Bacterium,rdfs:subClassOf,rc:Heterotroph
rc:Heterotroph_Bacterium,rdfs:subClassOf,owl:Thing
rc:Debutante,rdfs:subClassOf,rc:HumanTeenager
rc:Debutante,rdfs:subClassOf,owl:Thing
rc:Prophase,rdfs:subClassOf,rc:MitosisSubprocessType
rc:Prophase,rdfs:subClassOf,owl:Thing
rc:MiddleAge,rdfs:subClassOf,rc:HumanTypeByLifeStageType
rc:MiddleAge,rdfs:subClassOf,owl:Thing
rc:StemCell,rdfs:subClassOf,rc:AtLeastMultipotentCell
rc:StemCell,rdfs:subClassOf,owl:Thing
rc:HumanFoamyVirus,rdfs:subClassOf,rc:Spumavirus
rc:HumanFoamyVirus,rdfs:subClassOf,owl:Thing
rc:Metaphase_Generic,rdfs:subClassOf,rc:MitosisSubprocessType
rc:Metaphase_Generic,rdfs:subClassOf,owl:Thing
rc:SomaticCell,rdfs:subClassOf,rc:EukaryoticCell
rc:SomaticCell,rdfs:subClassOf,owl:Thing
rc:AnaerobicBacterium,rdfs:subClassOf,rc:AnaerobicBLO
rc:AnaerobicBacterium,rdfs:subClassOf,owl:Thing
rc:Bulb_ThePlantPart,rdfs:subClassOf,rc:ExternalAnatomicalPart
rc:Bulb_ThePlantPart,rdfs:subClassOf,owl:Thing
rc:Yeast,rdfs:subClassOf,rc:SingleCellOrganism
rc:Yeast,rdfs:subClassOf,owl:Thing
rc:VisceralPleura,rdfs:subClassOf,rc:InternalAnatomicalPart
rc:VisceralPleura,rdfs:subClassOf,owl:Thing
rc:Elaioplast,rdfs:subClassOf,rc:Leucoplast
rc:Elaioplast,rdfs:subClassOf,owl:Thing
rc:Exotic_Foreign,rdfs:subClassOf,rc:OrganismTypeByHabitat
rc:Exotic_Foreign,rdfs:subClassOf,owl:Thing
rc:IntroducedAnimal,rdfs:subClassOf,rc:Exotic_Foreign
rc:IntroducedAnimal,rdfs:subClassOf,owl:Thing
rc:Biota,rdfs:subClassOf,rc:Life
rc:Biota,rdfs:subClassOf,owl:Thing
rc:InvasiveSpecies,rdfs:subClassOf,rc:Exotic_Foreign
rc:InvasiveSpecies,rdfs:subClassOf,owl:Thing
rc:LaCrosseEncephalitisVirus,rdfs:subClassOf,rc:BunyaviridaeVirus
rc:LaCrosseEncephalitisVirus,rdfs:subClassOf,rc:ViralBioAgent
rc:LaCrosseEncephalitisVirus,rdfs:subClassOf,owl:Thing
rc:Echovirus,rdfs:subClassOf,rc:Enterovirus
rc:Echovirus,rdfs:subClassOf,owl:Thing
rc:AtLeastPluripotentCell,rdfs:subClassOf,rc:AtLeastMultipotentCell
rc:AtLeastPluripotentCell,rdfs:subClassOf,owl:Thing
rc:Stroma,rdfs:subClassOf,rc:OrganismPart
rc:Stroma,rdfs:subClassOf,owl:Thing
rc:Papule,rdfs:subClassOf,rc:ExternalAnatomicalPart
rc:Papule,rdfs:subClassOf,owl:Thing
rc:AnimalBodyPart_Male,rdfs:subClassOf,rc:Male
rc:AnimalBodyPart_Male,rdfs:subClassOf,owl:Thing
rc:Peritoneum,rdfs:subClassOf,rc:InternalAnatomicalPart
rc:Peritoneum,rdfs:subClassOf,owl:Thing
rc:Male,rdfs:subClassOf,rc:OrganismTypeBySexuality
rc:Male,rdfs:subClassOf,owl:Thing
rc:PlantPart,rdfs:subClassOf,rc:InternalAnatomicalPart
rc:PlantPart,rdfs:subClassOf,owl:Thing
rc:MaleAnimal,rdfs:subClassOf,rc:Male
rc:MaleAnimal,rdfs:subClassOf,owl:Thing
rc:HumanHair_Stuff,rdfs:subClassOf,rc:ExternalAnatomicalPart
rc:HumanHair_Stuff,rdfs:subClassOf,owl:Thing
rc:AnatomicalStructure,rdfs:subClassOf,rc:OrganismPart
rc:AnatomicalStructure,rdfs:subClassOf,owl:Thing
rc:Abdomen,rdfs:subClassOf,rc:ExternalAnatomicalPart
rc:Abdomen,rdfs:subClassOf,owl:Thing
rc:Nucleoplasm,rdfs:subClassOf,rc:Protoplasm
rc:Nucleoplasm,rdfs:subClassOf,owl:Thing
rc:MiddleEar,rdfs:subClassOf,rc:InternalAnatomicalPart
rc:MiddleEar,rdfs:subClassOf,owl:Thing
rc:LiverCell,rdfs:subClassOf,rc:DiploidCell
rc:LiverCell,rdfs:subClassOf,rc:SomaticCell
rc:LiverCell,rdfs:subClassOf,owl:Thing
rc:EarlyLivesByIndividual,rdfs:subClassOf,rc:YoungHuman
rc:EarlyLivesByIndividual,rdfs:subClassOf,owl:Thing
rc:HumanT_lymphotropicVirus,rdfs:subClassOf,rc:Deltaretrovirus
rc:HumanT_lymphotropicVirus,rdfs:subClassOf,owl:Thing
rc:AmphiArthrodialJoint,rdfs:subClassOf,rc:InternalAnatomicalPart
rc:AmphiArthrodialJoint,rdfs:subClassOf,owl:Thing
rc:SmallpoxVirus,rdfs:subClassOf,rc:ViralBioAgent
rc:SmallpoxVirus,rdfs:subClassOf,owl:Thing
rc:MonotypicTaxon,rdfs:subClassOf,rc:TaxonomicCategory
rc:MonotypicTaxon,rdfs:subClassOf,owl:Thing
