id,subclassof,parent
rc:ElectoralDistrict_SouthAustralia,rdfs:subClassOf,rc:ElectoralDistrict
rc:ElectoralDistrict_SouthAustralia,rdfs:subClassOf,owl:Thing
rc:Rome,rdfs:subClassOf,rc:City
rc:Rome,rdfs:subClassOf,owl:Thing
rc:SportsPlayingArea,rdfs:subClassOf,rc:HumanlyOccupiedSpatialObject
rc:SportsPlayingArea,rdfs:subClassOf,owl:Thing
rc:Avenue,rdfs:subClassOf,rc:Street_Generic
rc:Avenue,rdfs:subClassOf,owl:Thing
rc:OfficeRoom,rdfs:subClassOf,rc:OfficeSpace_Personal
rc:OfficeRoom,rdfs:subClassOf,rc:RoomInAConstruction
rc:OfficeRoom,rdfs:subClassOf,owl:Thing
rc:SanAndreasFault,rdfs:subClassOf,rc:Landmark
rc:SanAndreasFault,rdfs:subClassOf,owl:Thing
rc:ArcDeTriomphe,rdfs:subClassOf,rc:TriumphalArch
rc:ArcDeTriomphe,rdfs:subClassOf,rc:WarMemorial
rc:ArcDeTriomphe,rdfs:subClassOf,owl:Thing
rc:EgyptianPyramid,rdfs:subClassOf,rc:NationalMonument
rc:EgyptianPyramid,rdfs:subClassOf,rc:PyramidMonument
rc:EgyptianPyramid,rdfs:subClassOf,rc:Tomb
rc:EgyptianPyramid,rdfs:subClassOf,owl:Thing
rc:FormerCantonsOfSwitzerland,rdfs:subClassOf,rc:PopulatedPlace_Historical
rc:FormerCantonsOfSwitzerland,rdfs:subClassOf,owl:Thing
rc:Eilat,rdfs:subClassOf,rc:City
rc:Eilat,rdfs:subClassOf,owl:Thing
rc:Buurtschap,rdfs:subClassOf,rc:PopulatedLocality
rc:Buurtschap,rdfs:subClassOf,owl:Thing
rc:Municipality_Japan,rdfs:subClassOf,rc:MunicipalityByCountry
rc:Municipality_Japan,rdfs:subClassOf,owl:Thing
rc:Stonehenge_Place,rdfs:subClassOf,rc:StoneCircle
rc:Stonehenge_Place,rdfs:subClassOf,owl:Thing
rc:SchoolDistrict,rdfs:subClassOf,rc:AdministrativeDistrict
rc:SchoolDistrict,rdfs:subClassOf,owl:Thing
rc:Urbanization,rdfs:subClassOf,rc:UrbanArea
rc:Urbanization,rdfs:subClassOf,owl:Thing
rc:Lexington_classAircraftCarrier,rdfs:subClassOf,rc:AircraftCarrier
rc:Lexington_classAircraftCarrier,rdfs:subClassOf,owl:Thing
rc:SharmElSheikh,rdfs:subClassOf,rc:City
rc:SharmElSheikh,rdfs:subClassOf,owl:Thing
rc:AirplaneRunway_DisplacedThreshold,rdfs:subClassOf,rc:Airport_Physical
rc:AirplaneRunway_DisplacedThreshold,rdfs:subClassOf,owl:Thing
rc:ProvincialAssemblyOfSindhProvinceConstituency,rdfs:subClassOf,rc:Constituency
rc:ProvincialAssemblyOfSindhProvinceConstituency,rdfs:subClassOf,owl:Thing
rc:District_KapisaProvince,rdfs:subClassOf,rc:District
rc:District_KapisaProvince,rdfs:subClassOf,owl:Thing
rc:LaScala,rdfs:subClassOf,rc:OperaHouse
rc:LaScala,rdfs:subClassOf,owl:Thing
rc:RomanColiseum,rdfs:subClassOf,rc:Landmark
rc:RomanColiseum,rdfs:subClassOf,owl:Thing
rc:BasketballCourt,rdfs:subClassOf,rc:SportsCourt
rc:BasketballCourt,rdfs:subClassOf,owl:Thing
rc:StockTank,rdfs:subClassOf,rc:ArtificialWaterFeature_POI
rc:StockTank,rdfs:subClassOf,owl:Thing
rc:EuropeanParliamentConstituency,rdfs:subClassOf,rc:Constituency
rc:EuropeanParliamentConstituency,rdfs:subClassOf,owl:Thing
rc:TruckCab_Compartment,rdfs:subClassOf,rc:RoadVehiclePassengerCompartment
rc:TruckCab_Compartment,rdfs:subClassOf,owl:Thing
rc:OfficeSpace_Personal,rdfs:subClassOf,rc:OfficeSpace
rc:OfficeSpace_Personal,rdfs:subClassOf,owl:Thing
rc:DelawareAqueduct,rdfs:subClassOf,rc:Landmark
rc:DelawareAqueduct,rdfs:subClassOf,owl:Thing
rc:Village_Jordan,rdfs:subClassOf,rc:Village
rc:Village_Jordan,rdfs:subClassOf,owl:Thing
rc:CommercialPassengerAirplaneCabin,rdfs:subClassOf,rc:AirplaneCabin
rc:CommercialPassengerAirplaneCabin,rdfs:subClassOf,owl:Thing
rc:District_DhiQarProvince,rdfs:subClassOf,rc:District
rc:District_DhiQarProvince,rdfs:subClassOf,owl:Thing
rc:SportsCourt,rdfs:subClassOf,rc:SportsPlayingArea
rc:SportsCourt,rdfs:subClassOf,owl:Thing
rc:ControlRoom,rdfs:subClassOf,rc:RoomInAConstruction
rc:ControlRoom,rdfs:subClassOf,owl:Thing
rc:CivilParish_England,rdfs:subClassOf,rc:CivilParish
rc:CivilParish_England,rdfs:subClassOf,owl:Thing
rc:StatenIsland,rdfs:subClassOf,rc:City
rc:StatenIsland,rdfs:subClassOf,owl:Thing
rc:District,rdfs:subClassOf,rc:AdministrativeDistrict
rc:District,rdfs:subClassOf,owl:Thing
rc:ElectoralDistrict_NewSouthWales,rdfs:subClassOf,rc:ElectoralDistrict
rc:ElectoralDistrict_NewSouthWales,rdfs:subClassOf,owl:Thing
rc:DiningRoom_Home,rdfs:subClassOf,rc:DiningRoom
rc:DiningRoom_Home,rdfs:subClassOf,owl:Thing
rc:BrooklynBridge,rdfs:subClassOf,rc:Landmark
rc:BrooklynBridge,rdfs:subClassOf,owl:Thing
rc:SmallTown,rdfs:subClassOf,rc:Town
rc:SmallTown,rdfs:subClassOf,owl:Thing
rc:Parliament_IrelandConstituency,rdfs:subClassOf,rc:Constituency
rc:Parliament_IrelandConstituency,rdfs:subClassOf,owl:Thing
rc:OneCarGarage,rdfs:subClassOf,rc:Garage_Household
rc:OneCarGarage,rdfs:subClassOf,owl:Thing
rc:Khutor,rdfs:subClassOf,rc:Hamlet
rc:Khutor,rdfs:subClassOf,owl:Thing
rc:RoomInAConstruction,rdfs:subClassOf,rc:SpaceInAFixedHOC
rc:RoomInAConstruction,rdfs:subClassOf,owl:Thing
rc:FerryStation,rdfs:subClassOf,rc:PublicTerminal
rc:FerryStation,rdfs:subClassOf,owl:Thing
rc:Ward_Australia,rdfs:subClassOf,rc:ElectoralDistrict
rc:Ward_Australia,rdfs:subClassOf,owl:Thing
rc:Duomo,rdfs:subClassOf,rc:Cathedral
rc:Duomo,rdfs:subClassOf,owl:Thing
rc:CongressionalDistrict,rdfs:subClassOf,rc:HumanResidenceArea
rc:CongressionalDistrict,rdfs:subClassOf,owl:Thing
rc:Haiphong,rdfs:subClassOf,rc:City
