id,subclassof,parent
rc:TerrorismByMethod,rdfs:subClassOf,rc:MethodType
rc:TerrorismByMethod,rdfs:subClassOf,owl:Thing
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,rc:ComputerAidedEngineering
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,owl:Thing
rc:QuarterlyReport,rdfs:subClassOf,rc:ConceptualWorkSeries_Periodic
rc:QuarterlyReport,rdfs:subClassOf,rc:ReportOnSituation
rc:QuarterlyReport,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:Theories
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:HeraldicBadge,rdfs:subClassOf,rc:Heraldry
rc:HeraldicBadge,rdfs:subClassOf,owl:Thing
rc:Trail,rdfs:subClassOf,rc:InertArtifact
rc:Trail,rdfs:subClassOf,rc:Reserve_OutdoorRegion
rc:Trail,rdfs:subClassOf,owl:Thing
rc:PhysicalDevice,rdfs:subClassOf,rc:SolidTangibleArtifact
rc:PhysicalDevice,rdfs:subClassOf,owl:Thing
rc:BrooklynBridge,rdfs:subClassOf,rc:Bridge
rc:BrooklynBridge,rdfs:subClassOf,owl:Thing
rc:CorporateLeader,rdfs:subClassOf,rc:Leader
rc:CorporateLeader,rdfs:subClassOf,owl:Thing
rc:Tar,rdfs:subClassOf,rc:BlackColor
rc:Tar,rdfs:subClassOf,rc:Mixture
rc:Tar,rdfs:subClassOf,owl:Thing
rc:DebtAssumptionLetter,rdfs:subClassOf,rc:FinancialDocument
rc:DebtAssumptionLetter,rdfs:subClassOf,owl:Thing
rc:Hearing_LegalProceeding,rdfs:subClassOf,rc:LegalProceeding
rc:Hearing_LegalProceeding,rdfs:subClassOf,owl:Thing
rc:ObservationPost,rdfs:subClassOf,rc:InspectionFacility
rc:ObservationPost,rdfs:subClassOf,owl:Thing
rc:Heterotroph_Bacterium,rdfs:subClassOf,rc:Heterotroph
rc:Heterotroph_Bacterium,rdfs:subClassOf,owl:Thing
rc:SpacecraftThatOrbitedTheMoon,rdfs:subClassOf,rc:Spacecraft
rc:SpacecraftThatOrbitedTheMoon,rdfs:subClassOf,owl:Thing
rc:NationalHeadquartersHealthProviderOrganization,rdfs:subClassOf,rc:MedicalCareProvider
rc:NationalHeadquartersHealthProviderOrganization,rdfs:subClassOf,owl:Thing
rc:AutomobileTypeByModel,rdfs:subClassOf,rc:ProductTypeByBrandVersion
rc:AutomobileTypeByModel,rdfs:subClassOf,owl:Thing
rc:SkiLift,rdfs:subClassOf,rc:MechanicalDevice
rc:SkiLift,rdfs:subClassOf,rc:NonAutomotiveTransportDevice
rc:SkiLift,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:HistoricalNarrative
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:PropositionalConceptualWork_HistoricalNarrativeGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:Wood,rdfs:subClassOf,rc:CombustibleFuelSubstance_Natural
rc:Wood,rdfs:subClassOf,rc:NonEdiblePlantForestryProduct
rc:Wood,rdfs:subClassOf,owl:Thing
rc:UnmannedAerialVehicle,rdfs:subClassOf,rc:PoweredDevice
rc:UnmannedAerialVehicle,rdfs:subClassOf,owl:Thing
rc:MarineElectronics,rdfs:subClassOf,rc:ElectronicDevice
rc:MarineElectronics,rdfs:subClassOf,owl:Thing
rc:AutoWaterPump,rdfs:subClassOf,rc:KineticEnergyPoweredDevice
rc:AutoWaterPump,rdfs:subClassOf,owl:Thing
rc:BrilliantOrangeYellow_Color,rdfs:subClassOf,rc:OchreColor
rc:BrilliantOrangeYellow_Color,rdfs:subClassOf,owl:Thing
rc:PaperWeight,rdfs:subClassOf,rc:NonPoweredDevice
rc:PaperWeight,rdfs:subClassOf,owl:Thing
rc:EmployeeRelations,rdfs:subClassOf,rc:WorkplaceCondition
rc:EmployeeRelations,rdfs:subClassOf,owl:Thing
rc:Holism,rdfs:subClassOf,rc:Belief
rc:Holism,rdfs:subClassOf,owl:Thing
rc:Lighthouse,rdfs:subClassOf,rc:NavigationBeacon
rc:Lighthouse,rdfs:subClassOf,owl:Thing
rc:PhonographRecord,rdfs:subClassOf,rc:DiscStorageMedium
rc:PhonographRecord,rdfs:subClassOf,owl:Thing
rc:LiverCell,rdfs:subClassOf,rc:DiploidCell
rc:LiverCell,rdfs:subClassOf,rc:SomaticCell
rc:LiverCell,rdfs:subClassOf,owl:Thing
rc:TheoryOfCryptography,rdfs:subClassOf,rc:Cryptography
rc:TheoryOfCryptography,rdfs:subClassOf,owl:Thing
rc:Materialization,rdfs:subClassOf,rc:Immanence
rc:Materialization,rdfs:subClassOf,owl:Thing
rc:Ethylamine,rdfs:subClassOf,rc:ChemicallyBasicSubstance
rc:Ethylamine,rdfs:subClassOf,rc:WeakElectrolyte
rc:Ethylamine,rdfs:subClassOf,owl:Thing
rc:SubtropicalCyclone,rdfs:subClassOf,rc:CycloneAsObject
rc:SubtropicalCyclone,rdfs:subClassOf,owl:Thing
rc:TaekwondoActivity,rdfs:subClassOf,rc:MartialArtsByType
rc:TaekwondoActivity,rdfs:subClassOf,owl:Thing
rc:PoleForPoleVaulting,rdfs:subClassOf,rc:Device_SingleUser
rc:PoleForPoleVaulting,rdfs:subClassOf,rc:Device_UserControlled
rc:PoleForPoleVaulting,rdfs:subClassOf,rc:Device_UserPowered
rc:PoleForPoleVaulting,rdfs:subClassOf,owl:Thing
rc:BrainwashingTheoryProponent,rdfs:subClassOf,rc:MindControl
rc:BrainwashingTheoryProponent,rdfs:subClassOf,owl:Thing
rc:CarboxylateAnion,rdfs:subClassOf,rc:Anion
rc:CarboxylateAnion,rdfs:subClassOf,owl:Thing
