id,subclassof,parent
rc:StandUpComedyOnDVD,rdfs:subClassOf,rc:StandupComedy
rc:StandUpComedyOnDVD,rdfs:subClassOf,owl:Thing
rc:AggressiveMimicry,rdfs:subClassOf,rc:Mimicry
rc:AggressiveMimicry,rdfs:subClassOf,owl:Thing
rc:JazzMusicalPerformance,rdfs:subClassOf,rc:MusicalPerformance
rc:JazzMusicalPerformance,rdfs:subClassOf,owl:Thing
rc:EconomicsComparison,rdfs:subClassOf,rc:Comparisons
rc:EconomicsComparison,rdfs:subClassOf,owl:Thing
rc:FlamencoDancePerformance,rdfs:subClassOf,rc:DancePerformance
rc:FlamencoDancePerformance,rdfs:subClassOf,owl:Thing
rc:Tour_Performance,rdfs:subClassOf,rc:DramaticPerformance
rc:Tour_Performance,rdfs:subClassOf,owl:Thing
rc:FashionShow,rdfs:subClassOf,rc:EntertainmentPerformance
rc:FashionShow,rdfs:subClassOf,owl:Thing
rc:DramaticPerformance,rdfs:subClassOf,rc:InformationBearingPerformance
rc:DramaticPerformance,rdfs:subClassOf,owl:Thing
rc:Mimicry,rdfs:subClassOf,rc:Comparisons
rc:Mimicry,rdfs:subClassOf,owl:Thing
rc:JazzDancePerformance,rdfs:subClassOf,rc:DancePerformance
rc:JazzDancePerformance,rdfs:subClassOf,owl:Thing
rc:RussianBallet,rdfs:subClassOf,rc:BalletDancePerformance
rc:RussianBallet,rdfs:subClassOf,owl:Thing
rc:BalletTraining,rdfs:subClassOf,rc:BalletDancePerformance
rc:BalletTraining,rdfs:subClassOf,owl:Thing
rc:BalletCompetition,rdfs:subClassOf,rc:BalletDancePerformance
rc:BalletCompetition,rdfs:subClassOf,owl:Thing
rc:Comparisons,rdfs:subClassOf,kko:MediativeRelations
rc:Comparisons,rdfs:subClassOf,owl:Thing
rc:Similitude,rdfs:subClassOf,rc:Comparisons
rc:Similitude,rdfs:subClassOf,owl:Thing
rc:MusicPerformance,rdfs:subClassOf,rc:InformationBearingPerformance
rc:MusicPerformance,rdfs:subClassOf,owl:Thing
rc:GeometricSimilarity,rdfs:subClassOf,rc:Comparisons
rc:GeometricSimilarity,rdfs:subClassOf,owl:Thing
rc:Scene_film,rdfs:subClassOf,rc:Scene_Dramatic
rc:Scene_film,rdfs:subClassOf,owl:Thing
rc:ClassicalMusicalPerformance,rdfs:subClassOf,rc:MusicalPerformance
rc:ClassicalMusicalPerformance,rdfs:subClassOf,owl:Thing
rc:ConcertTour,rdfs:subClassOf,rc:EntertainmentPerformance
rc:ConcertTour,rdfs:subClassOf,owl:Thing
rc:DancePerformance,rdfs:subClassOf,rc:InformationBearingPerformance
rc:DancePerformance,rdfs:subClassOf,owl:Thing
rc:Stagecraft,rdfs:subClassOf,rc:StageProduction
rc:Stagecraft,rdfs:subClassOf,owl:Thing
rc:MusicalPerformance,rdfs:subClassOf,rc:InformationBearingPerformance
rc:MusicalPerformance,rdfs:subClassOf,owl:Thing
rc:BalletStyle,rdfs:subClassOf,rc:BalletDancePerformance
rc:BalletStyle,rdfs:subClassOf,owl:Thing
rc:BalletDancePerformance,rdfs:subClassOf,rc:DancePerformance
