id,subclassof,parent
rc:ComputabilityTheory,rdfs:subClassOf,rc:MathematicalLogic
rc:ComputabilityTheory,rdfs:subClassOf,owl:Thing
rc:PoliticalEconomicModel,rdfs:subClassOf,rc:PoliticalEconomics
rc:PoliticalEconomicModel,rdfs:subClassOf,owl:Thing
rc:TypeTheory,rdfs:subClassOf,rc:MathematicalLogic
rc:TypeTheory,rdfs:subClassOf,owl:Thing
rc:RegressionAnalysis,rdfs:subClassOf,rc:MathematicalMethod
rc:RegressionAnalysis,rdfs:subClassOf,owl:Thing
rc:TerrorismByMethod,rdfs:subClassOf,rc:MethodType
rc:TerrorismByMethod,rdfs:subClassOf,owl:Thing
rc:CriticalPhenomena,rdfs:subClassOf,rc:StatisticalMechanics
rc:CriticalPhenomena,rdfs:subClassOf,owl:Thing
rc:Emergentism,rdfs:subClassOf,rc:PhilosophyBeliefs
rc:Emergentism,rdfs:subClassOf,owl:Thing
rc:ArtMethod,rdfs:subClassOf,rc:MethodType
rc:ArtMethod,rdfs:subClassOf,owl:Thing
rc:ElectronicStructureMethod,rdfs:subClassOf,rc:ComputationalChemistry
rc:ElectronicStructureMethod,rdfs:subClassOf,owl:Thing
rc:FishingTechniqueOrMethod,rdfs:subClassOf,rc:SkillsMethod
rc:FishingTechniqueOrMethod,rdfs:subClassOf,owl:Thing
rc:ArchitecturalDesign,rdfs:subClassOf,rc:AppliedDesignFieldOfStudy
rc:ArchitecturalDesign,rdfs:subClassOf,owl:Thing
rc:GeometryInComputerVision,rdfs:subClassOf,rc:Geometry
rc:GeometryInComputerVision,rdfs:subClassOf,owl:Thing
rc:AnalyticalChemistryTechnique,rdfs:subClassOf,rc:TechniqueType
rc:AnalyticalChemistryTechnique,rdfs:subClassOf,owl:Thing
rc:MethodsOfProof,rdfs:subClassOf,rc:ProofTheory
rc:MethodsOfProof,rdfs:subClassOf,owl:Thing
rc:PainInflictionMethod,rdfs:subClassOf,rc:ArtMethod
rc:PainInflictionMethod,rdfs:subClassOf,owl:Thing
