id,subclassof,parent
rc:KootenayNationalPark,rdfs:subClassOf,rc:NationalPark
rc:KootenayNationalPark,rdfs:subClassOf,owl:Thing
rc:GeoparkInSouthAfrica,rdfs:subClassOf,rc:Geopark
rc:GeoparkInSouthAfrica,rdfs:subClassOf,owl:Thing
rc:BirdSanctuariesOfTheUnitedStates,rdfs:subClassOf,rc:BirdSanctuary
rc:BirdSanctuariesOfTheUnitedStates,rdfs:subClassOf,owl:Thing
rc:VirginIslandsNationalPark,rdfs:subClassOf,rc:NationalPark
rc:VirginIslandsNationalPark,rdfs:subClassOf,owl:Thing
rc:Heath,rdfs:subClassOf,rc:SandySoilRegion
rc:Heath,rdfs:subClassOf,rc:ScrubbyVegetationRegion
rc:Heath,rdfs:subClassOf,owl:Thing
rc:Lawrencium,rdfs:subClassOf,rc:RadioactiveStuff
rc:Lawrencium,rdfs:subClassOf,owl:Thing
rc:BrahmaputraValleySemiEvergreenForest,rdfs:subClassOf,rc:SubtropicalForest
rc:BrahmaputraValleySemiEvergreenForest,rdfs:subClassOf,owl:Thing
rc:CupricIon,rdfs:subClassOf,rc:VariableChargeCation
rc:CupricIon,rdfs:subClassOf,owl:Thing
rc:MonoatomicAnion,rdfs:subClassOf,rc:Anion
rc:MonoatomicAnion,rdfs:subClassOf,owl:Thing
rc:Tundra,rdfs:subClassOf,rc:PermaFrostRegion
rc:Tundra,rdfs:subClassOf,owl:Thing
rc:Arsenic,rdfs:subClassOf,rc:Mineral
rc:Arsenic,rdfs:subClassOf,owl:Thing
rc:Trail,rdfs:subClassOf,rc:Reserve_OutdoorRegion
rc:Trail,rdfs:subClassOf,owl:Thing
rc:SoftTerrain,rdfs:subClassOf,rc:RegionTypeByTerrain
rc:SoftTerrain,rdfs:subClassOf,owl:Thing
rc:ArthursPassNationalPark,rdfs:subClassOf,rc:NationalPark
rc:ArthursPassNationalPark,rdfs:subClassOf,owl:Thing
rc:ExcessivelyDrainedRegion,rdfs:subClassOf,rc:RegionTypeBySurfaceDrainage_NRCS
rc:ExcessivelyDrainedRegion,rdfs:subClassOf,owl:Thing
rc:Playa,rdfs:subClassOf,rc:PeriodicallyFloodedRegion
rc:Playa,rdfs:subClassOf,owl:Thing
rc:NatureReserve_Poland,rdfs:subClassOf,rc:NatureReserve
rc:NatureReserve_Poland,rdfs:subClassOf,owl:Thing
rc:StannicIon,rdfs:subClassOf,rc:VariableChargeCation
rc:StannicIon,rdfs:subClassOf,owl:Thing
rc:ArabianDesert,rdfs:subClassOf,rc:Desert
rc:ArabianDesert,rdfs:subClassOf,owl:Thing
rc:NaturalResourceType,rdfs:subClassOf,kko:NaturalMatter
rc:NaturalResourceType,rdfs:subClassOf,owl:Thing
rc:SubtropicalForest,rdfs:subClassOf,rc:Forest
rc:SubtropicalForest,rdfs:subClassOf,owl:Thing
rc:TahoeNationalForest,rdfs:subClassOf,rc:NationalForest
rc:TahoeNationalForest,rdfs:subClassOf,owl:Thing
rc:HeavyForest,rdfs:subClassOf,rc:Forest
rc:HeavyForest,rdfs:subClassOf,owl:Thing
rc:GreenCayNationalWildlifeRefuge,rdfs:subClassOf,rc:NationalWildlifeRefugesOfTheUnitedStates
rc:GreenCayNationalWildlifeRefuge,rdfs:subClassOf,owl:Thing
rc:MalabarCoastMoistForest,rdfs:subClassOf,rc:SubtropicalForest
rc:MalabarCoastMoistForest,rdfs:subClassOf,owl:Thing
rc:Diamond_Gem,rdfs:subClassOf,rc:PreciousStone
rc:Diamond_Gem,rdfs:subClassOf,owl:Thing
rc:Meitnerium,rdfs:subClassOf,rc:RadioactiveStuff
rc:Meitnerium,rdfs:subClassOf,owl:Thing
rc:WildlifeSanctuary,rdfs:subClassOf,rc:NatureReserve
rc:WildlifeSanctuary,rdfs:subClassOf,owl:Thing
rc:Amethyst_Gem,rdfs:subClassOf,rc:SemipreciousStone
rc:Amethyst_Gem,rdfs:subClassOf,owl:Thing
rc:NatureReserve_Germany,rdfs:subClassOf,rc:NatureReserve
rc:NatureReserve_Germany,rdfs:subClassOf,owl:Thing
rc:GobiDesert,rdfs:subClassOf,rc:Desert
rc:GobiDesert,rdfs:subClassOf,owl:Thing
rc:NationalWildAndScenicRiver,rdfs:subClassOf,rc:Reserve_OutdoorRegion
rc:NationalWildAndScenicRiver,rdfs:subClassOf,owl:Thing
rc:PlantCommunityOfTheWesternUnitedStates,rdfs:subClassOf,rc:PlantCommunity
rc:PlantCommunityOfTheWesternUnitedStates,rdfs:subClassOf,owl:Thing
rc:RioGrandeNationalForest,rdfs:subClassOf,rc:NationalForest
rc:RioGrandeNationalForest,rdfs:subClassOf,owl:Thing
rc:ThalliumIIon,rdfs:subClassOf,rc:VariableChargeCation
rc:ThalliumIIon,rdfs:subClassOf,owl:Thing
rc:MediterraneanScrub,rdfs:subClassOf,rc:BiomeType
rc:MediterraneanScrub,rdfs:subClassOf,owl:Thing
rc:FlatRegion,rdfs:subClassOf,rc:RegionTypeByHilliness
rc:FlatRegion,rdfs:subClassOf,owl:Thing
rc:Gold_I_Ion,rdfs:subClassOf,rc:VariableChargeCation
rc:Gold_I_Ion,rdfs:subClassOf,owl:Thing
rc:JasperNationalPark,rdfs:subClassOf,rc:NationalPark
rc:JasperNationalPark,rdfs:subClassOf,owl:Thing
rc:NarmadaValleyDryDeciduousForest,rdfs:subClassOf,rc:DryTropicalForest
rc:NarmadaValleyDryDeciduousForest,rdfs:subClassOf,owl:Thing
rc:MonoatomicCation,rdfs:subClassOf,rc:Cation
rc:MonoatomicCation,rdfs:subClassOf,owl:Thing
rc:RockyMountainNationalPark,rdfs:subClassOf,rc:NationalPark
rc:RockyMountainNationalPark,rdfs:subClassOf,owl:Thing
rc:MidLatitudeMixedForest,rdfs:subClassOf,rc:Forest
rc:MidLatitudeMixedForest,rdfs:subClassOf,owl:Thing
rc:USTropicalAndSubtropicalMoistBroadleafForest,rdfs:subClassOf,rc:SubtropicalForest
rc:USTropicalAndSubtropicalMoistBroadleafForest,rdfs:subClassOf,owl:Thing
rc:RegionTypeByVegetation,rdfs:subClassOf,rc:RegionTypeByTerrain
rc:RegionTypeByVegetation,rdfs:subClassOf,owl:Thing
rc:DesertNationalWildlifeRefugeComplex,rdfs:subClassOf,rc:NationalWildlifeRefugesOfTheUnitedStates
rc:DesertNationalWildlifeRefugeComplex,rdfs:subClassOf,owl:Thing
rc:Ksour,rdfs:subClassOf,rc:SaharaDesert
rc:Ksour,rdfs:subClassOf,owl:Thing
rc:WellDrainedRegion,rdfs:subClassOf,rc:RegionTypeBySurfaceDrainage_NRCS
rc:WellDrainedRegion,rdfs:subClassOf,owl:Thing
rc:SaltMarsh,rdfs:subClassOf,rc:Marsh
rc:SaltMarsh,rdfs:subClassOf,owl:Thing
rc:BanffNationalPark,rdfs:subClassOf,rc:NationalPark
rc:BanffNationalPark,rdfs:subClassOf,owl:Thing
rc:RogueRiverSiskiyouNationalForest,rdfs:subClassOf,rc:NationalForest
rc:RogueRiverSiskiyouNationalForest,rdfs:subClassOf,owl:Thing
rc:Einsteinium,rdfs:subClassOf,rc:RadioactiveStuff
rc:Einsteinium,rdfs:subClassOf,owl:Thing
rc:OdishaSemiEvergreenForest,rdfs:subClassOf,rc:DryTropicalForest
rc:OdishaSemiEvergreenForest,rdfs:subClassOf,owl:Thing
rc:StannousIon,rdfs:subClassOf,rc:VariableChargeCation
rc:StannousIon,rdfs:subClassOf,owl:Thing
rc:Seaborgium,rdfs:subClassOf,rc:RadioactiveStuff
rc:Seaborgium,rdfs:subClassOf,owl:Thing
rc:TropicalAndSubtropicalDryBroadleafForest,rdfs:subClassOf,rc:Forest
