id,subclassof,parent
rc:Mesolite,rdfs:subClassOf,rc:Mineral
rc:Mesolite,rdfs:subClassOf,owl:Thing
rc:HailStone,rdfs:subClassOf,rc:PrecipitationParticle
rc:HailStone,rdfs:subClassOf,owl:Thing
rc:Mineral,rdfs:subClassOf,kko:NaturalSubstances
rc:Mineral,rdfs:subClassOf,owl:Thing
rc:Molybdenum,rdfs:subClassOf,rc:UnalloyedMetal
rc:Molybdenum,rdfs:subClassOf,owl:Thing
rc:GlacierOfMountShasta,rdfs:subClassOf,rc:MountShasta
rc:GlacierOfMountShasta,rdfs:subClassOf,owl:Thing
rc:Camelopardalis_Constellation,rdfs:subClassOf,rc:Constellation
rc:Camelopardalis_Constellation,rdfs:subClassOf,owl:Thing
rc:IsotopeOfTechnetium,rdfs:subClassOf,rc:Technetium
rc:IsotopeOfTechnetium,rdfs:subClassOf,owl:Thing
rc:Iceberg,rdfs:subClassOf,rc:Ice
rc:Iceberg,rdfs:subClassOf,owl:Thing
rc:AluminumFoil,rdfs:subClassOf,rc:Aluminum
rc:AluminumFoil,rdfs:subClassOf,owl:Thing
rc:Cryolite,rdfs:subClassOf,rc:Mineral
rc:Cryolite,rdfs:subClassOf,owl:Thing
rc:Marble_Stone,rdfs:subClassOf,rc:MetamorphicRock
rc:Marble_Stone,rdfs:subClassOf,owl:Thing
rc:Vanadinite,rdfs:subClassOf,rc:Mineral
rc:Vanadinite,rdfs:subClassOf,owl:Thing
rc:PreciousStone,rdfs:subClassOf,rc:GemStone
rc:PreciousStone,rdfs:subClassOf,owl:Thing
rc:IsotopeOfUranium,rdfs:subClassOf,rc:Uranium
rc:IsotopeOfUranium,rdfs:subClassOf,owl:Thing
rc:DetachedObject,rdfs:subClassOf,rc:ResonantTransNeptunianObject
rc:DetachedObject,rdfs:subClassOf,owl:Thing
rc:OrionMolecularCloudComplex,rdfs:subClassOf,rc:MilkyWay_Galaxy
rc:OrionMolecularCloudComplex,rdfs:subClassOf,rc:Orion_Constellation
rc:OrionMolecularCloudComplex,rdfs:subClassOf,owl:Thing
rc:Smaltite,rdfs:subClassOf,rc:Skutterudite
rc:Smaltite,rdfs:subClassOf,owl:Thing
rc:HIiRegion,rdfs:subClassOf,rc:EmissionNebula
rc:HIiRegion,rdfs:subClassOf,owl:Thing
rc:Phoenix_Constellation,rdfs:subClassOf,rc:Constellation
rc:Phoenix_Constellation,rdfs:subClassOf,owl:Thing
rc:MountEtna,rdfs:subClassOf,rc:Stratovolcano
rc:MountEtna,rdfs:subClassOf,owl:Thing
rc:Lawrencium,rdfs:subClassOf,rc:UnalloyedMetal
rc:Lawrencium,rdfs:subClassOf,owl:Thing
rc:Titania_MoonOfUranus,rdfs:subClassOf,rc:MoonOfAPlanet
