id,subclassof,parent
rc:Escontria,rdfs:subClassOf,rc:Echinocereeae
rc:Escontria,rdfs:subClassOf,owl:Thing
rc:DiamondSquid,rdfs:subClassOf,rc:Cycloteuthidae
rc:DiamondSquid,rdfs:subClassOf,owl:Thing
rc:GrapeVine,rdfs:subClassOf,rc:Vitaceae
rc:GrapeVine,rdfs:subClassOf,owl:Thing
rc:SmokedFish,rdfs:subClassOf,rc:EdibleFish
rc:SmokedFish,rdfs:subClassOf,owl:Thing
rc:BaconExplosion,rdfs:subClassOf,rc:Pork
rc:BaconExplosion,rdfs:subClassOf,owl:Thing
rc:Enchilada,rdfs:subClassOf,rc:Food_ReadyToEat
rc:Enchilada,rdfs:subClassOf,rc:SolidFoodArtifact
rc:Enchilada,rdfs:subClassOf,owl:Thing
rc:Hecistopteris,rdfs:subClassOf,rc:Pteridaceae
rc:Hecistopteris,rdfs:subClassOf,owl:Thing
rc:Colanthelia,rdfs:subClassOf,rc:Chusqueinae
rc:Colanthelia,rdfs:subClassOf,owl:Thing
rc:Cernuellidae,rdfs:subClassOf,rc:Neomphalina
rc:Cernuellidae,rdfs:subClassOf,owl:Thing
rc:ChilePepper,rdfs:subClassOf,rc:Pepper_Foodstuff
rc:ChilePepper,rdfs:subClassOf,owl:Thing
rc:BlueberryBush,rdfs:subClassOf,rc:Crop
rc:BlueberryBush,rdfs:subClassOf,rc:Ericaceae
rc:BlueberryBush,rdfs:subClassOf,owl:Thing
rc:Milk,rdfs:subClassOf,rc:AnimalProduct
rc:Milk,rdfs:subClassOf,rc:EdiblesRichIn_ProteinStuff
rc:Milk,rdfs:subClassOf,rc:Secretion_Bodily
rc:Milk,rdfs:subClassOf,owl:Thing
rc:DacryodesEdulis,rdfs:subClassOf,rc:FruitTree
rc:DacryodesEdulis,rdfs:subClassOf,owl:Thing
rc:Glechoma,rdfs:subClassOf,rc:MintFamily
rc:Glechoma,rdfs:subClassOf,owl:Thing
rc:AnimalBasedSeafood,rdfs:subClassOf,rc:Seafood
rc:AnimalBasedSeafood,rdfs:subClassOf,owl:Thing
rc:Pinnoctopus,rdfs:subClassOf,rc:Octopodoidea
rc:Pinnoctopus,rdfs:subClassOf,owl:Thing
rc:Uncle,rdfs:subClassOf,rc:ExtendedFamily
rc:Uncle,rdfs:subClassOf,owl:Thing
rc:Sucralose,rdfs:subClassOf,rc:SugarSubstitute
rc:Sucralose,rdfs:subClassOf,owl:Thing
rc:Gravy,rdfs:subClassOf,rc:Sauce
rc:Gravy,rdfs:subClassOf,owl:Thing
rc:SanMateoWoollySunflower,rdfs:subClassOf,rc:Sunflower_Plant
rc:SanMateoWoollySunflower,rdfs:subClassOf,owl:Thing
rc:CerealFood,rdfs:subClassOf,rc:Food
rc:CerealFood,rdfs:subClassOf,owl:Thing
rc:DistichlisSpicata,rdfs:subClassOf,rc:Chloridoideae
rc:DistichlisSpicata,rdfs:subClassOf,owl:Thing
rc:Ostreidae,rdfs:subClassOf,rc:Oyster
rc:Ostreidae,rdfs:subClassOf,owl:Thing
rc:GourdPlant,rdfs:subClassOf,rc:Crop
rc:GourdPlant,rdfs:subClassOf,rc:Cucurbitaceae
rc:GourdPlant,rdfs:subClassOf,rc:EdiblePlant
rc:GourdPlant,rdfs:subClassOf,owl:Thing
rc:Corylus,rdfs:subClassOf,rc:Betulaceae
rc:Corylus,rdfs:subClassOf,owl:Thing
rc:DecorseaDinteri,rdfs:subClassOf,rc:Legume_ThePlant
rc:DecorseaDinteri,rdfs:subClassOf,owl:Thing
rc:VenusFlyTrap,rdfs:subClassOf,rc:Droseraceae
rc:VenusFlyTrap,rdfs:subClassOf,owl:Thing
rc:Opisthoteuthidae,rdfs:subClassOf,rc:Cirrina
rc:Opisthoteuthidae,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:Theories
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
