id,subclassof,parent
rc:EthnicGroupOfBalinese,rdfs:subClassOf,rc:EthnicGroupOfIndonesians
rc:EthnicGroupOfBalinese,rdfs:subClassOf,rc:EthnicGroupOfMalays
rc:EthnicGroupOfBalinese,rdfs:subClassOf,owl:Thing
rc:Otologist,rdfs:subClassOf,rc:Otorhinolaryngologist
rc:Otologist,rdfs:subClassOf,owl:Thing
rc:Entomologist,rdfs:subClassOf,rc:Zoologist
rc:Entomologist,rdfs:subClassOf,owl:Thing
rc:Gauls,rdfs:subClassOf,rc:EthnicGroupOfCelts
rc:Gauls,rdfs:subClassOf,owl:Thing
rc:Jomsvikings,rdfs:subClassOf,rc:Viking_CultureType
rc:Jomsvikings,rdfs:subClassOf,owl:Thing
rc:GeorgeWashingtonCarver,rdfs:subClassOf,rc:Biologist
rc:GeorgeWashingtonCarver,rdfs:subClassOf,owl:Thing
rc:EthnicGroupOfFlemish,rdfs:subClassOf,rc:EthnicGroupOfEuropeans
rc:EthnicGroupOfFlemish,rdfs:subClassOf,owl:Thing
rc:ThoracicSurgeon,rdfs:subClassOf,rc:Surgeon
rc:ThoracicSurgeon,rdfs:subClassOf,owl:Thing
rc:Tester_Professional,rdfs:subClassOf,rc:Professional
rc:Tester_Professional,rdfs:subClassOf,owl:Thing
rc:DeliCounterWorker,rdfs:subClassOf,rc:FoodWorker
rc:DeliCounterWorker,rdfs:subClassOf,rc:UnskilledWorker
rc:DeliCounterWorker,rdfs:subClassOf,owl:Thing
rc:FastFoodCook,rdfs:subClassOf,rc:Chef
rc:FastFoodCook,rdfs:subClassOf,rc:FastFoodWorker
rc:FastFoodCook,rdfs:subClassOf,rc:UnskilledWorker
rc:FastFoodCook,rdfs:subClassOf,owl:Thing
rc:Uncle,rdfs:subClassOf,rc:FamilyMember
rc:Uncle,rdfs:subClassOf,owl:Thing
rc:EthnicGroupOfSena,rdfs:subClassOf,rc:EthnicGroupOfAfricans
rc:EthnicGroupOfSena,rdfs:subClassOf,owl:Thing
rc:Suburbanite,rdfs:subClassOf,rc:PersonTypeByResidence
rc:Suburbanite,rdfs:subClassOf,owl:Thing
rc:Palynologist,rdfs:subClassOf,rc:Scientist
rc:Palynologist,rdfs:subClassOf,owl:Thing
rc:SenecaTribe,rdfs:subClassOf,rc:Iroquois_EthnicGroupOfNewWorldNatives
rc:SenecaTribe,rdfs:subClassOf,owl:Thing
rc:EthnicGroupOfPapuans,rdfs:subClassOf,rc:EthnicGroupOfMelanesians
rc:EthnicGroupOfPapuans,rdfs:subClassOf,owl:Thing
rc:BaseballPlayerTypeByPosition,rdfs:subClassOf,rc:BaseballPlayer
rc:BaseballPlayerTypeByPosition,rdfs:subClassOf,owl:Thing
rc:Bomber,rdfs:subClassOf,rc:Criminal
rc:Bomber,rdfs:subClassOf,owl:Thing
rc:SamiDiaspora,rdfs:subClassOf,rc:EthnicGroupOfLapps
rc:SamiDiaspora,rdfs:subClassOf,owl:Thing
rc:StutteringFoundationPresidents,rdfs:subClassOf,rc:DirectorOfOrganization
rc:StutteringFoundationPresidents,rdfs:subClassOf,owl:Thing
rc:Biathlete,rdfs:subClassOf,rc:TrackFieldAthlete
rc:Biathlete,rdfs:subClassOf,owl:Thing
rc:HonoraryCitizenship,rdfs:subClassOf,rc:PersonWithNationality
rc:HonoraryCitizenship,rdfs:subClassOf,owl:Thing
rc:Passers_by,rdfs:subClassOf,rc:PersonTypeByActivity
rc:Passers_by,rdfs:subClassOf,owl:Thing
rc:Ambassador,rdfs:subClassOf,rc:Minister_Diplomatic
rc:Ambassador,rdfs:subClassOf,owl:Thing
rc:BaseballUmpire,rdfs:subClassOf,rc:SportsJudge
rc:BaseballUmpire,rdfs:subClassOf,owl:Thing
rc:CorporateLeader,rdfs:subClassOf,rc:PersonWithOccupation
rc:CorporateLeader,rdfs:subClassOf,owl:Thing
rc:Gentry,rdfs:subClassOf,rc:Nobility
rc:Gentry,rdfs:subClassOf,owl:Thing
rc:Gangster,rdfs:subClassOf,rc:Criminal
rc:Gangster,rdfs:subClassOf,owl:Thing
rc:PainterOrDecorator,rdfs:subClassOf,rc:Housepainter
rc:PainterOrDecorator,rdfs:subClassOf,owl:Thing
rc:PublicSectorEmployee,rdfs:subClassOf,rc:Employee
rc:PublicSectorEmployee,rdfs:subClassOf,owl:Thing
rc:SriLankanMoor,rdfs:subClassOf,rc:EthnicGroupOfMoors
rc:SriLankanMoor,rdfs:subClassOf,owl:Thing
rc:UNSecretary_EconomicCommissionLatinAmericaCaribbean,rdfs:subClassOf,rc:DirectorOfOrganization
rc:UNSecretary_EconomicCommissionLatinAmericaCaribbean,rdfs:subClassOf,owl:Thing
rc:GujaratiDiaspora,rdfs:subClassOf,rc:EthnicGroupOfGujaratis
rc:GujaratiDiaspora,rdfs:subClassOf,owl:Thing
rc:ApachePeople,rdfs:subClassOf,rc:EthnicGroupOfApaches
rc:ApachePeople,rdfs:subClassOf,owl:Thing
rc:Confectioner,rdfs:subClassOf,rc:FoodWorker
rc:Confectioner,rdfs:subClassOf,owl:Thing
rc:FootballFullback,rdfs:subClassOf,rc:FootballRunningBack
rc:FootballFullback,rdfs:subClassOf,owl:Thing
rc:GrenadaPerson,rdfs:subClassOf,rc:Citizen
rc:GrenadaPerson,rdfs:subClassOf,rc:WestIndiesPerson
rc:GrenadaPerson,rdfs:subClassOf,owl:Thing
rc:ShoeWidthE,rdfs:subClassOf,rc:HumanTypeByShoeWidth
rc:ShoeWidthE,rdfs:subClassOf,owl:Thing
rc:BillGates,rdfs:subClassOf,rc:ComputerScientist
rc:BillGates,rdfs:subClassOf,owl:Thing
rc:CityOfficial,rdfs:subClassOf,rc:PublicOfficial
rc:CityOfficial,rdfs:subClassOf,owl:Thing
rc:Teacher,rdfs:subClassOf,rc:AcademicProfessional
rc:Teacher,rdfs:subClassOf,owl:Thing
rc:Infallibility,rdfs:subClassOf,rc:Dependable_Personality
rc:Infallibility,rdfs:subClassOf,owl:Thing
rc:Assailant,rdfs:subClassOf,rc:Criminal
rc:Assailant,rdfs:subClassOf,owl:Thing
rc:GovernmentEmployee,rdfs:subClassOf,rc:PublicSectorEmployee
rc:GovernmentEmployee,rdfs:subClassOf,owl:Thing
rc:WorldWideWebSearcher,rdfs:subClassOf,rc:ComputerUser
rc:WorldWideWebSearcher,rdfs:subClassOf,owl:Thing
rc:CypriotPeople,rdfs:subClassOf,rc:PersonTypeByNationality
rc:CypriotPeople,rdfs:subClassOf,owl:Thing
rc:Stranger,rdfs:subClassOf,rc:PersonTypeByResidence
rc:Stranger,rdfs:subClassOf,owl:Thing
rc:Euclid_Mathematician,rdfs:subClassOf,rc:Mathematician
rc:Euclid_Mathematician,rdfs:subClassOf,owl:Thing
rc:CommercialSalesRepresentative,rdfs:subClassOf,rc:SalesPerson
rc:CommercialSalesRepresentative,rdfs:subClassOf,owl:Thing
rc:ComedicActor,rdfs:subClassOf,rc:Actor
rc:ComedicActor,rdfs:subClassOf,owl:Thing
rc:DermatoImmunologist,rdfs:subClassOf,rc:Dermatologist
rc:DermatoImmunologist,rdfs:subClassOf,rc:Immunologist
rc:DermatoImmunologist,rdfs:subClassOf,owl:Thing
rc:ConstructionWorker,rdfs:subClassOf,rc:BlueCollarWorker
rc:ConstructionWorker,rdfs:subClassOf,rc:Employee
