id,subclassof,parent
rc:Motte_And_BaileyCastle,rdfs:subClassOf,rc:Castle
rc:Motte_And_BaileyCastle,rdfs:subClassOf,owl:Thing
rc:DisplayStructure,rdfs:subClassOf,rc:TouristAttraction
rc:DisplayStructure,rdfs:subClassOf,owl:Thing
rc:SanAndreasFault,rdfs:subClassOf,rc:Landmark
rc:SanAndreasFault,rdfs:subClassOf,owl:Thing
rc:MunicipalFacility,rdfs:subClassOf,rc:PublicBuildingStructure
rc:MunicipalFacility,rdfs:subClassOf,rc:PublicFacility
rc:MunicipalFacility,rdfs:subClassOf,owl:Thing
rc:BridgeSpan,rdfs:subClassOf,rc:Bridge
rc:BridgeSpan,rdfs:subClassOf,owl:Thing
rc:Common_Region,rdfs:subClassOf,rc:PublicProperty
rc:Common_Region,rdfs:subClassOf,owl:Thing
rc:Konig_classBattleship,rdfs:subClassOf,rc:Battleship
rc:Konig_classBattleship,rdfs:subClassOf,owl:Thing
rc:Lyon_classBattleship,rdfs:subClassOf,rc:Battleship
rc:Lyon_classBattleship,rdfs:subClassOf,owl:Thing
rc:Checkpoint_Military,rdfs:subClassOf,rc:Checkpoint
rc:Checkpoint_Military,rdfs:subClassOf,rc:MilitaryFacility
rc:Checkpoint_Military,rdfs:subClassOf,owl:Thing
rc:FalloutShelter,rdfs:subClassOf,rc:Shelter
rc:FalloutShelter,rdfs:subClassOf,owl:Thing
rc:Andalusite,rdfs:subClassOf,rc:Clay
rc:Andalusite,rdfs:subClassOf,owl:Thing
rc:SeatingDeviceSeat,rdfs:subClassOf,rc:FurniturePart
rc:SeatingDeviceSeat,rdfs:subClassOf,owl:Thing
rc:ArmamentOfTheIowa_classBattleship,rdfs:subClassOf,rc:Iowa_classBattleship
rc:ArmamentOfTheIowa_classBattleship,rdfs:subClassOf,owl:Thing
rc:Tundra,rdfs:subClassOf,rc:GrassyRegion
rc:Tundra,rdfs:subClassOf,owl:Thing
rc:Hut,rdfs:subClassOf,rc:HumanResidence
rc:Hut,rdfs:subClassOf,rc:PrefabricatedResidentialBuildingStructure
rc:Hut,rdfs:subClassOf,owl:Thing
rc:BrooklynBridge,rdfs:subClassOf,rc:Bridge
rc:BrooklynBridge,rdfs:subClassOf,owl:Thing
rc:Tar,rdfs:subClassOf,rc:FossilFuel
rc:Tar,rdfs:subClassOf,owl:Thing
rc:Aul,rdfs:subClassOf,rc:FortificationByType
rc:Aul,rdfs:subClassOf,owl:Thing
rc:GovernmentalBuilding,rdfs:subClassOf,rc:Building
rc:GovernmentalBuilding,rdfs:subClassOf,rc:ModernShelterConstruction
rc:GovernmentalBuilding,rdfs:subClassOf,owl:Thing
rc:Ground,rdfs:subClassOf,rc:Place_Generic
rc:Ground,rdfs:subClassOf,owl:Thing
rc:ObservationPost,rdfs:subClassOf,rc:InspectionFacility
rc:ObservationPost,rdfs:subClassOf,owl:Thing
rc:PoolHall_Building,rdfs:subClassOf,rc:CommercialBuilding
rc:PoolHall_Building,rdfs:subClassOf,owl:Thing
rc:Nest,rdfs:subClassOf,rc:AgriculturalBuildingStructure
rc:Nest,rdfs:subClassOf,owl:Thing
rc:SteelPiling,rdfs:subClassOf,rc:Piling
rc:SteelPiling,rdfs:subClassOf,owl:Thing
rc:District_LaghmanProvince,rdfs:subClassOf,rc:District
rc:District_LaghmanProvince,rdfs:subClassOf,owl:Thing
rc:Park_County,rdfs:subClassOf,rc:Park
