id,subclassof,parent
rc:Escontria,rdfs:subClassOf,rc:Echinocereeae
rc:Escontria,rdfs:subClassOf,owl:Thing
rc:Combretum,rdfs:subClassOf,rc:HardwoodTree
rc:Combretum,rdfs:subClassOf,owl:Thing
rc:GrapeVine,rdfs:subClassOf,rc:Vine_Plant
rc:GrapeVine,rdfs:subClassOf,rc:Vitaceae
rc:GrapeVine,rdfs:subClassOf,owl:Thing
rc:Hecistopteris,rdfs:subClassOf,rc:Pteridaceae
rc:Hecistopteris,rdfs:subClassOf,owl:Thing
rc:Colanthelia,rdfs:subClassOf,rc:Chusqueinae
rc:Colanthelia,rdfs:subClassOf,owl:Thing
rc:Leucoperichaetium,rdfs:subClassOf,rc:Grimmiales
rc:Leucoperichaetium,rdfs:subClassOf,owl:Thing
rc:BlueberryBush,rdfs:subClassOf,rc:Bush
rc:BlueberryBush,rdfs:subClassOf,rc:Crop
rc:BlueberryBush,rdfs:subClassOf,rc:Ericaceae
rc:BlueberryBush,rdfs:subClassOf,owl:Thing
rc:DacryodesEdulis,rdfs:subClassOf,rc:FruitTree
rc:DacryodesEdulis,rdfs:subClassOf,owl:Thing
rc:Glechoma,rdfs:subClassOf,rc:MintFamily
rc:Glechoma,rdfs:subClassOf,owl:Thing
rc:SanMateoWoollySunflower,rdfs:subClassOf,rc:Sunflower_Plant
rc:SanMateoWoollySunflower,rdfs:subClassOf,owl:Thing
rc:DistichlisSpicata,rdfs:subClassOf,rc:Chloridoideae
rc:DistichlisSpicata,rdfs:subClassOf,owl:Thing
rc:GourdPlant,rdfs:subClassOf,rc:Crop
rc:GourdPlant,rdfs:subClassOf,rc:Cucurbitaceae
rc:GourdPlant,rdfs:subClassOf,rc:EdiblePlant
rc:GourdPlant,rdfs:subClassOf,rc:Vegetable_Plant
rc:GourdPlant,rdfs:subClassOf,rc:Vine_Plant
rc:GourdPlant,rdfs:subClassOf,owl:Thing
rc:Corylus,rdfs:subClassOf,rc:Betulaceae
rc:Corylus,rdfs:subClassOf,owl:Thing
rc:DecorseaDinteri,rdfs:subClassOf,rc:Legume_ThePlant
rc:DecorseaDinteri,rdfs:subClassOf,owl:Thing
rc:Macrozamia,rdfs:subClassOf,rc:Zamiaceae
rc:Macrozamia,rdfs:subClassOf,owl:Thing
rc:VenusFlyTrap,rdfs:subClassOf,rc:CarnivorousPlant
rc:VenusFlyTrap,rdfs:subClassOf,rc:Droseraceae
rc:VenusFlyTrap,rdfs:subClassOf,rc:Plant_NonWoody
rc:VenusFlyTrap,rdfs:subClassOf,owl:Thing
rc:Brocchinia,rdfs:subClassOf,rc:Pitcairnioideae
rc:Brocchinia,rdfs:subClassOf,owl:Thing
rc:Vanilloid,rdfs:subClassOf,rc:VanillaBean
rc:Vanilloid,rdfs:subClassOf,owl:Thing
rc:CordylaMadagascariensis,rdfs:subClassOf,rc:Legume_ThePlant
rc:CordylaMadagascariensis,rdfs:subClassOf,owl:Thing
rc:Azolla,rdfs:subClassOf,rc:Salviniaceae
rc:Azolla,rdfs:subClassOf,owl:Thing
rc:Dicksonia,rdfs:subClassOf,rc:Dicksoniaceae
rc:Dicksonia,rdfs:subClassOf,owl:Thing
rc:PomegranateTree,rdfs:subClassOf,rc:DeciduousPlant
rc:PomegranateTree,rdfs:subClassOf,rc:HardwoodTree
rc:PomegranateTree,rdfs:subClassOf,rc:Lythraceae
rc:PomegranateTree,rdfs:subClassOf,owl:Thing
rc:SeaArrowgrass,rdfs:subClassOf,rc:Alismatales
rc:SeaArrowgrass,rdfs:subClassOf,owl:Thing
rc:TruePine,rdfs:subClassOf,rc:Softwood
rc:TruePine,rdfs:subClassOf,owl:Thing
rc:Lepechinia,rdfs:subClassOf,rc:MintFamily
rc:Lepechinia,rdfs:subClassOf,owl:Thing
rc:Gigaspermaceae,rdfs:subClassOf,rc:Gigaspermidae
rc:Gigaspermaceae,rdfs:subClassOf,owl:Thing
