id,subclassof,parent
rc:Mineral,rdfs:subClassOf,rc:RawMaterials
rc:Mineral,rdfs:subClassOf,owl:Thing
rc:TouchToneTelephone,rdfs:subClassOf,rc:Telephone
rc:TouchToneTelephone,rdfs:subClassOf,owl:Thing
rc:ChildrensProductMarketCategory,rdfs:subClassOf,rc:ProductTypeByMarketCategory
rc:ChildrensProductMarketCategory,rdfs:subClassOf,owl:Thing
rc:ManufacturedGood,rdfs:subClassOf,rc:Goods
rc:ManufacturedGood,rdfs:subClassOf,rc:ProductType
rc:ManufacturedGood,rdfs:subClassOf,owl:Thing
rc:TapeDeviceState,rdfs:subClassOf,rc:InformationRecordingDeviceState
rc:TapeDeviceState,rdfs:subClassOf,owl:Thing
rc:PhysicalDevice,rdfs:subClassOf,rc:AppliedTechnology
rc:PhysicalDevice,rdfs:subClassOf,owl:Thing
rc:FireExtinguisher,rdfs:subClassOf,rc:ContainerArtifact
rc:FireExtinguisher,rdfs:subClassOf,owl:Thing
rc:BuiltInCookingRange,rdfs:subClassOf,rc:BuiltInDevice
rc:BuiltInCookingRange,rdfs:subClassOf,owl:Thing
rc:ChestFreezer,rdfs:subClassOf,rc:IndustrialFreezer
rc:ChestFreezer,rdfs:subClassOf,owl:Thing
rc:SportsPoundingDrivingImplement,rdfs:subClassOf,rc:Device_UserControlled
rc:SportsPoundingDrivingImplement,rdfs:subClassOf,rc:Device_UserPowered
rc:SportsPoundingDrivingImplement,rdfs:subClassOf,owl:Thing
rc:Organizer,rdfs:subClassOf,rc:NonPoweredDevice
rc:Organizer,rdfs:subClassOf,owl:Thing
rc:AutomobileTypeByModel,rdfs:subClassOf,rc:ProductTypeByBrandVersion
rc:AutomobileTypeByModel,rdfs:subClassOf,owl:Thing
rc:Hose,rdfs:subClassOf,rc:Pipe_ConduitArtifact
rc:Hose,rdfs:subClassOf,owl:Thing
rc:MultiPurposeDevice,rdfs:subClassOf,rc:PhysicalDevice
rc:MultiPurposeDevice,rdfs:subClassOf,owl:Thing
rc:DeseretChemicalDepot,rdfs:subClassOf,rc:MunitionsDepot
rc:DeseretChemicalDepot,rdfs:subClassOf,owl:Thing
rc:VideoHardware,rdfs:subClassOf,rc:ElectronicDevice
rc:VideoHardware,rdfs:subClassOf,owl:Thing
rc:ElectricCookingRange,rdfs:subClassOf,rc:CookingRange
rc:ElectricCookingRange,rdfs:subClassOf,owl:Thing
rc:HouseholdAppliance,rdfs:subClassOf,rc:DomesticAppliance
rc:HouseholdAppliance,rdfs:subClassOf,rc:ElectricalDevice
rc:HouseholdAppliance,rdfs:subClassOf,owl:Thing
kko:TertiarySectorServices,rdfs:subClassOf,kko:Products
