id,subclassof,parent
rc:Rozellomycota,rdfs:subClassOf,rc:Fungus
rc:Rozellomycota,rdfs:subClassOf,owl:Thing
rc:Glomeromycota,rdfs:subClassOf,rc:Fungus
rc:Glomeromycota,rdfs:subClassOf,owl:Thing
rc:Dothideomycetes,rdfs:subClassOf,rc:Ascomycota
rc:Dothideomycetes,rdfs:subClassOf,owl:Thing
rc:Russulaceae,rdfs:subClassOf,rc:Russulales
rc:Russulaceae,rdfs:subClassOf,owl:Thing
rc:Spongomonadida,rdfs:subClassOf,rc:Imbricatea
rc:Spongomonadida,rdfs:subClassOf,owl:Thing
rc:Mucoraceae,rdfs:subClassOf,rc:Mucorales
rc:Mucoraceae,rdfs:subClassOf,owl:Thing
rc:Cryptophyceae,rdfs:subClassOf,rc:Cryptophyta
rc:Cryptophyceae,rdfs:subClassOf,owl:Thing
rc:Trechisporales,rdfs:subClassOf,rc:Agaricomycetes
rc:Trechisporales,rdfs:subClassOf,owl:Thing
rc:Sporochnaceae,rdfs:subClassOf,rc:Sporochnales
rc:Sporochnaceae,rdfs:subClassOf,owl:Thing
rc:BrownAlgae,rdfs:subClassOf,rc:Phaeophyceae
rc:BrownAlgae,rdfs:subClassOf,owl:Thing
rc:Agaricaceae,rdfs:subClassOf,rc:GilledMushroom
rc:Agaricaceae,rdfs:subClassOf,owl:Thing
rc:Wood_decayFungus,rdfs:subClassOf,rc:FungalTypes
rc:Wood_decayFungus,rdfs:subClassOf,owl:Thing
rc:Schizosaccharomyces_Genus,rdfs:subClassOf,rc:Saccharomycetales
rc:Schizosaccharomyces_Genus,rdfs:subClassOf,owl:Thing
rc:Choreotrich,rdfs:subClassOf,rc:Ciliate
rc:Choreotrich,rdfs:subClassOf,owl:Thing
rc:Spumellaria,rdfs:subClassOf,rc:Polycystinea
rc:Spumellaria,rdfs:subClassOf,owl:Thing
rc:Schizosaccharomycetales_Order,rdfs:subClassOf,rc:Saccharomycotina
rc:Schizosaccharomycetales_Order,rdfs:subClassOf,owl:Thing
rc:Ralfsiales,rdfs:subClassOf,rc:Fucophycidae
rc:Ralfsiales,rdfs:subClassOf,owl:Thing
rc:Polyporales,rdfs:subClassOf,rc:Agaricomycetes
rc:Polyporales,rdfs:subClassOf,owl:Thing
rc:Mucoromycetes,rdfs:subClassOf,rc:Mucoromycota
rc:Mucoromycetes,rdfs:subClassOf,owl:Thing
rc:Diplomonadida,rdfs:subClassOf,rc:Metamonada
rc:Diplomonadida,rdfs:subClassOf,owl:Thing
rc:SlimeMold,rdfs:subClassOf,rc:Dictyosteliales
rc:SlimeMold,rdfs:subClassOf,owl:Thing
rc:TilopterisMertensii,rdfs:subClassOf,rc:Tilopteridales
rc:TilopterisMertensii,rdfs:subClassOf,owl:Thing
rc:Hymenogastraceae,rdfs:subClassOf,rc:GilledMushroom
rc:Hymenogastraceae,rdfs:subClassOf,owl:Thing
rc:Mycetozoa,rdfs:subClassOf,rc:Amoebozoa
rc:Mycetozoa,rdfs:subClassOf,owl:Thing
rc:Lactifluus,rdfs:subClassOf,rc:Russulales
rc:Lactifluus,rdfs:subClassOf,owl:Thing
rc:Pleurotaceae,rdfs:subClassOf,rc:GilledMushroom
