id,subclassof,parent
rc:Symbol,rdfs:subClassOf,rc:Media
rc:Symbol,rdfs:subClassOf,owl:Thing
rc:AlarmSignal,rdfs:subClassOf,rc:SoundsByType
rc:AlarmSignal,rdfs:subClassOf,owl:Thing
rc:NonMilitaryRankInsignia,rdfs:subClassOf,rc:Badge
rc:NonMilitaryRankInsignia,rdfs:subClassOf,owl:Thing
kko:Denotatives,rdfs:subClassOf,kko:RepresentationTypes
kko:Denotatives,rdfs:subClassOf,owl:Thing
rc:Insignia,rdfs:subClassOf,rc:Signage
rc:Insignia,rdfs:subClassOf,owl:Thing
kko:Associatives,rdfs:subClassOf,kko:RepresentationTypes
kko:Associatives,rdfs:subClassOf,owl:Thing
rc:Insignia_ClothingPart,rdfs:subClassOf,rc:Badge
rc:Insignia_ClothingPart,rdfs:subClassOf,owl:Thing
rc:Evidence,rdfs:subClassOf,rc:VerificationOfTruth
rc:Evidence,rdfs:subClassOf,owl:Thing
kko:Indexes,rdfs:subClassOf,kko:RepresentationTypes
kko:Indexes,rdfs:subClassOf,owl:Thing
rc:ProperNameString,rdfs:subClassOf,rc:ControlCharacterFreeString
rc:ProperNameString,rdfs:subClassOf,owl:Thing
kko:RepresentationTypes,rdfs:subClassOf,owl:Thing
rc:Index_List_Information,rdfs:subClassOf,rc:List_Information
rc:Index_List_Information,rdfs:subClassOf,owl:Thing
rc:FormalInsignia,rdfs:subClassOf,rc:Badge
rc:FormalInsignia,rdfs:subClassOf,owl:Thing
rc:Signature,rdfs:subClassOf,rc:HandwrittenDocument
rc:Signature,rdfs:subClassOf,owl:Thing
rc:Gloss,rdfs:subClassOf,rc:Glossary
rc:Gloss,rdfs:subClassOf,owl:Thing
