id,subclassof,parent
http://kbpedia.org/kko/rc/ElectricalClutch,rdfs:subClassOf,http://kbpedia.org/kko/rc/Clutch
http://kbpedia.org/kko/rc/ElectricalClutch,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Currant,rdfs:subClassOf,http://kbpedia.org/kko/rc/EdiblePlant
http://kbpedia.org/kko/rc/Currant,rdfs:subClassOf,http://kbpedia.org/kko/rc/FreshFruit
http://kbpedia.org/kko/rc/Currant,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/HotSauce,rdfs:subClassOf,http://kbpedia.org/kko/rc/Condiment
http://kbpedia.org/kko/rc/HotSauce,rdfs:subClassOf,http://kbpedia.org/kko/rc/Sauce
http://kbpedia.org/kko/rc/HotSauce,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/FlashMemory,rdfs:subClassOf,http://kbpedia.org/kko/rc/IntegratedCircuit
http://kbpedia.org/kko/rc/FlashMemory,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/AntiviralSynthesized,rdfs:subClassOf,http://kbpedia.org/kko/rc/Antiviral
http://kbpedia.org/kko/rc/AntiviralSynthesized,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Food_ReadyToEat,rdfs:subClassOf,http://kbpedia.org/kko/rc/Food
http://kbpedia.org/kko/rc/Food_ReadyToEat,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/InflatableBoat,rdfs:subClassOf,http://kbpedia.org/kko/rc/Boat
http://kbpedia.org/kko/rc/InflatableBoat,rdfs:subClassOf,http://kbpedia.org/kko/rc/Watercraft_Small
http://kbpedia.org/kko/rc/InflatableBoat,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/NetworkConnectivityInstallationDevice,rdfs:subClassOf,http://kbpedia.org/kko/rc/DataVoiceNetworkEquipment
http://kbpedia.org/kko/rc/NetworkConnectivityInstallationDevice,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Myrtillocactus,rdfs:subClassOf,http://kbpedia.org/kko/rc/Cactoideae
http://kbpedia.org/kko/rc/Myrtillocactus,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Quadjet,rdfs:subClassOf,http://kbpedia.org/kko/rc/JetPropelledAircraft
http://kbpedia.org/kko/rc/Quadjet,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/CasualShoe,rdfs:subClassOf,http://kbpedia.org/kko/rc/Shoe
http://kbpedia.org/kko/rc/CasualShoe,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Marker,rdfs:subClassOf,http://kbpedia.org/kko/rc/MarkingTool
http://kbpedia.org/kko/rc/Marker,rdfs:subClassOf,http://kbpedia.org/kko/rc/WritingPen
http://kbpedia.org/kko/rc/Marker,rdfs:subClassOf,http://kbpedia.org/kko/rc/WritingImplement
http://kbpedia.org/kko/rc/Marker,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Lichen,rdfs:subClassOf,http://kbpedia.org/kko/rc/NonFloweringPlant
http://kbpedia.org/kko/rc/Lichen,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/MiningDrillingMachinery,rdfs:subClassOf,http://kbpedia.org/ontologies/kko#SecondarySectorProducts
http://kbpedia.org/kko/rc/MiningDrillingMachinery,rdfs:subClassOf,owl:Thing
http://kbpedia.org/kko/rc/Fender_AutoBodyPart,rdfs:subClassOf,http://kbpedia.org/kko/rc/AutoBodyPart
http://kbpedia.org/kko/rc/Fender_AutoBodyPart,rdfs:subClassOf,owl:Thing
