id,subclassof,parent
rc:FirefighterTraining,rdfs:subClassOf,rc:MilitaryEducationAndTraining
rc:FirefighterTraining,rdfs:subClassOf,owl:Thing
rc:FormalLecture_IBT,rdfs:subClassOf,rc:Lecturing
rc:FormalLecture_IBT,rdfs:subClassOf,owl:Thing
rc:AnimalTraining,rdfs:subClassOf,rc:Training
rc:AnimalTraining,rdfs:subClassOf,owl:Thing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,rc:Lecturing
rc:FormalLectureSeries_IBT,rdfs:subClassOf,owl:Thing
rc:WomensLeadershipSchool,rdfs:subClassOf,rc:Training
rc:WomensLeadershipSchool,rdfs:subClassOf,owl:Thing
rc:EgyptianPyramid,rdfs:subClassOf,rc:Tomb
rc:EgyptianPyramid,rdfs:subClassOf,owl:Thing
rc:DriverTraining,rdfs:subClassOf,rc:Training
rc:DriverTraining,rdfs:subClassOf,owl:Thing
rc:Stonehenge_Place,rdfs:subClassOf,rc:UNESCOWorldHertitageSite
rc:Stonehenge_Place,rdfs:subClassOf,owl:Thing
rc:Coprophilia,rdfs:subClassOf,rc:ParaphilicSexualBehavior
rc:Coprophilia,rdfs:subClassOf,owl:Thing
rc:MentalTraining,rdfs:subClassOf,rc:Training
rc:MentalTraining,rdfs:subClassOf,owl:Thing
rc:EducationalProject,rdfs:subClassOf,rc:Education
rc:EducationalProject,rdfs:subClassOf,owl:Thing
rc:EducationIssue,rdfs:subClassOf,rc:Education
rc:EducationIssue,rdfs:subClassOf,owl:Thing
rc:Boycott_Economic,rdfs:subClassOf,rc:Politics
rc:Boycott_Economic,rdfs:subClassOf,owl:Thing
rc:AuthorizationBill,rdfs:subClassOf,rc:USFederalLegislation
rc:AuthorizationBill,rdfs:subClassOf,owl:Thing
rc:SameSexMarriageInPopularCulture,rdfs:subClassOf,rc:PopularCulture
rc:SameSexMarriageInPopularCulture,rdfs:subClassOf,rc:SexualCulture
rc:SameSexMarriageInPopularCulture,rdfs:subClassOf,owl:Thing
