id,subclassof,parent
rc:Equator_Celestial,rdfs:subClassOf,rc:LatitudeLine
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:SanAndreasFault,rdfs:subClassOf,rc:Landmark
rc:SanAndreasFault,rdfs:subClassOf,owl:Thing
rc:LineSegment_Empirical,rdfs:subClassOf,rc:SpaceRegion_Empirical
rc:LineSegment_Empirical,rdfs:subClassOf,owl:Thing
rc:EarthsEquator,rdfs:subClassOf,rc:LatitudeLine
rc:EarthsEquator,rdfs:subClassOf,owl:Thing
rc:SolenoidValve,rdfs:subClassOf,rc:Valve
rc:SolenoidValve,rdfs:subClassOf,owl:Thing
rc:Checkpoint_Military,rdfs:subClassOf,rc:Checkpoint
rc:Checkpoint_Military,rdfs:subClassOf,rc:MilitaryFacility
rc:Checkpoint_Military,rdfs:subClassOf,owl:Thing
rc:WoolYarn,rdfs:subClassOf,rc:Yarn
rc:WoolYarn,rdfs:subClassOf,owl:Thing
rc:DecorativeNail,rdfs:subClassOf,rc:Nail
rc:DecorativeNail,rdfs:subClassOf,owl:Thing
rc:ThyrocervicalTrunk,rdfs:subClassOf,rc:SystemicArtery
rc:ThyrocervicalTrunk,rdfs:subClassOf,owl:Thing
rc:Tundra,rdfs:subClassOf,rc:GrassyRegion
rc:Tundra,rdfs:subClassOf,owl:Thing
rc:TerryCloth,rdfs:subClassOf,rc:Cloth
rc:TerryCloth,rdfs:subClassOf,owl:Thing
rc:LeftGastricArtery,rdfs:subClassOf,rc:SystemicArtery
rc:LeftGastricArtery,rdfs:subClassOf,owl:Thing
rc:BrooklynBridge,rdfs:subClassOf,rc:Bridge
rc:BrooklynBridge,rdfs:subClassOf,owl:Thing
rc:TwoDimensionalThing,rdfs:subClassOf,rc:PositiveDimensionalThing
rc:TwoDimensionalThing,rdfs:subClassOf,owl:Thing
rc:GarterSnake,rdfs:subClassOf,rc:Thamnophis
rc:GarterSnake,rdfs:subClassOf,owl:Thing
rc:Backlit,rdfs:subClassOf,rc:Lit
rc:Backlit,rdfs:subClassOf,owl:Thing
rc:Ironed,rdfs:subClassOf,rc:Cloth
rc:Ironed,rdfs:subClassOf,owl:Thing
rc:Tar,rdfs:subClassOf,rc:BlackColor
rc:Tar,rdfs:subClassOf,owl:Thing
rc:LinearObject_Tangible,rdfs:subClassOf,rc:LinearObject
rc:LinearObject_Tangible,rdfs:subClassOf,owl:Thing
rc:Ground,rdfs:subClassOf,rc:Place_Generic
rc:Ground,rdfs:subClassOf,owl:Thing
rc:ObservationPost,rdfs:subClassOf,rc:InspectionFacility
rc:ObservationPost,rdfs:subClassOf,owl:Thing
rc:PoolHall_Building,rdfs:subClassOf,rc:CommercialBuilding
rc:PoolHall_Building,rdfs:subClassOf,owl:Thing
rc:Boidae,rdfs:subClassOf,rc:Henophidia
rc:Boidae,rdfs:subClassOf,owl:Thing
rc:Keld,rdfs:subClassOf,rc:FlowPath
rc:Keld,rdfs:subClassOf,owl:Thing
rc:BluffDownsGiantPython,rdfs:subClassOf,rc:Python
rc:BluffDownsGiantPython,rdfs:subClassOf,owl:Thing
rc:District_LaghmanProvince,rdfs:subClassOf,rc:District
rc:District_LaghmanProvince,rdfs:subClassOf,owl:Thing
rc:BasilarSinus,rdfs:subClassOf,rc:DuralSinus
rc:BasilarSinus,rdfs:subClassOf,owl:Thing
rc:AnteriorCerebralArtery,rdfs:subClassOf,rc:SystemicArtery
rc:AnteriorCerebralArtery,rdfs:subClassOf,owl:Thing
rc:MotorNerve,rdfs:subClassOf,rc:Nerve
rc:MotorNerve,rdfs:subClassOf,owl:Thing
rc:AtrioventricularValve,rdfs:subClassOf,rc:HeartValve
rc:AtrioventricularValve,rdfs:subClassOf,owl:Thing
rc:ReligiousResidence,rdfs:subClassOf,rc:HumanResidence
rc:ReligiousResidence,rdfs:subClassOf,owl:Thing
rc:RespiratorySystem,rdfs:subClassOf,rc:OrganSystem
rc:RespiratorySystem,rdfs:subClassOf,owl:Thing
rc:TravelRoute_Water,rdfs:subClassOf,rc:WaterSurfacePath
rc:TravelRoute_Water,rdfs:subClassOf,owl:Thing
rc:SacralPlexus,rdfs:subClassOf,rc:Nerve
rc:SacralPlexus,rdfs:subClassOf,owl:Thing
rc:District_HelmandProvince,rdfs:subClassOf,rc:District
rc:District_HelmandProvince,rdfs:subClassOf,owl:Thing
rc:CommonIliacVein,rdfs:subClassOf,rc:SystemicVein
rc:CommonIliacVein,rdfs:subClassOf,owl:Thing
rc:DenimCloth,rdfs:subClassOf,rc:CottonCloth
rc:DenimCloth,rdfs:subClassOf,owl:Thing
rc:District_Tarnobrzeg,rdfs:subClassOf,rc:District
rc:District_Tarnobrzeg,rdfs:subClassOf,owl:Thing
