id,subclassof,parent
rc:JavaPackage,rdfs:subClassOf,rc:SourceCodePackage
rc:JavaPackage,rdfs:subClassOf,owl:Thing
rc:InstantMessengerProgram,rdfs:subClassOf,rc:CommunicationSoftware
rc:InstantMessengerProgram,rdfs:subClassOf,rc:UtilityProgram
rc:InstantMessengerProgram,rdfs:subClassOf,owl:Thing
rc:DynamicDNS,rdfs:subClassOf,rc:DomainNameSystemProtocol
rc:DynamicDNS,rdfs:subClassOf,owl:Thing
rc:ExpertSystemShell,rdfs:subClassOf,rc:ArtificialIntelligenceProgram
rc:ExpertSystemShell,rdfs:subClassOf,owl:Thing
rc:AnonymityNetwork,rdfs:subClassOf,rc:SecureCommunication
rc:AnonymityNetwork,rdfs:subClassOf,owl:Thing
rc:ProgramSpecification,rdfs:subClassOf,rc:SoftwareObject
rc:ProgramSpecification,rdfs:subClassOf,owl:Thing
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,rc:DesignProgram
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,owl:Thing
rc:HomePage_Personal,rdfs:subClassOf,rc:WorldWideWebHomePage
rc:HomePage_Personal,rdfs:subClassOf,owl:Thing
rc:OrderedListType,rdfs:subClassOf,rc:List_CW
rc:OrderedListType,rdfs:subClassOf,owl:Thing
rc:BluetoothSoftware,rdfs:subClassOf,rc:Bluetooth
rc:BluetoothSoftware,rdfs:subClassOf,rc:NetworkingProgram
rc:BluetoothSoftware,rdfs:subClassOf,owl:Thing
rc:CommandLineInterface,rdfs:subClassOf,rc:UserInterface
rc:CommandLineInterface,rdfs:subClassOf,owl:Thing
rc:ComputerGameProgram_ChildrensGame,rdfs:subClassOf,rc:ComputerGameProgram
rc:ComputerGameProgram_ChildrensGame,rdfs:subClassOf,owl:Thing
rc:WindowsServer2012,rdfs:subClassOf,rc:MSWindowsOperatingSystem
rc:WindowsServer2012,rdfs:subClassOf,owl:Thing
rc:PublicationManagementSoftware,rdfs:subClassOf,rc:BusinessComputerProgram
rc:PublicationManagementSoftware,rdfs:subClassOf,owl:Thing
rc:FileDecompressionProgram,rdfs:subClassOf,rc:DecoderProgram
rc:FileDecompressionProgram,rdfs:subClassOf,rc:FileSystemManagementProgram
rc:FileDecompressionProgram,rdfs:subClassOf,owl:Thing
rc:IPAddress,rdfs:subClassOf,rc:InternetProtocolAddress
rc:IPAddress,rdfs:subClassOf,owl:Thing
rc:Wiktionary,rdfs:subClassOf,rc:MediaWiki_ComputerProgram
rc:Wiktionary,rdfs:subClassOf,owl:Thing
rc:HTMLFile,rdfs:subClassOf,rc:ComputerFileTypeByFormat
rc:HTMLFile,rdfs:subClassOf,owl:Thing
rc:FingerCommandProgram,rdfs:subClassOf,rc:DiagnosticComputerProgram
rc:FingerCommandProgram,rdfs:subClassOf,rc:NetworkProgram
rc:FingerCommandProgram,rdfs:subClassOf,owl:Thing
rc:ComputerGameProgram_Soccer,rdfs:subClassOf,rc:ComputerGameProgram_Sports
rc:ComputerGameProgram_Soccer,rdfs:subClassOf,owl:Thing
rc:EPIC_FinancialIDString,rdfs:subClassOf,rc:UniqueID
rc:EPIC_FinancialIDString,rdfs:subClassOf,owl:Thing
rc:BridgeFinancing,rdfs:subClassOf,rc:Loan_WrittenLegalAgreement
rc:BridgeFinancing,rdfs:subClassOf,owl:Thing
rc:XboxSoftware,rdfs:subClassOf,rc:ComputerGameProgram
rc:XboxSoftware,rdfs:subClassOf,owl:Thing
rc:Spyware,rdfs:subClassOf,rc:InformationGatheringProgram
rc:Spyware,rdfs:subClassOf,owl:Thing
rc:ApacheWebServer,rdfs:subClassOf,rc:OpenSourceComputerProgram
rc:ApacheWebServer,rdfs:subClassOf,rc:ServerProgram
rc:ApacheWebServer,rdfs:subClassOf,owl:Thing
rc:MaoriLanguageSurname,rdfs:subClassOf,rc:HumanSurname
rc:MaoriLanguageSurname,rdfs:subClassOf,owl:Thing
rc:IMONumber,rdfs:subClassOf,rc:UniqueID
rc:IMONumber,rdfs:subClassOf,owl:Thing
rc:HumanMaleGivenName,rdfs:subClassOf,rc:HumanGivenName
rc:HumanMaleGivenName,rdfs:subClassOf,owl:Thing
rc:InternetPornography,rdfs:subClassOf,rc:PornographicWebSite
rc:InternetPornography,rdfs:subClassOf,owl:Thing
rc:DVDPlayer_Software,rdfs:subClassOf,rc:MultimediaProgram
rc:DVDPlayer_Software,rdfs:subClassOf,owl:Thing
rc:WorkflowSoftware,rdfs:subClassOf,rc:EnterpriseSoftware
rc:WorkflowSoftware,rdfs:subClassOf,owl:Thing
rc:WebCachingProtocol,rdfs:subClassOf,rc:InternetProtocol
rc:WebCachingProtocol,rdfs:subClassOf,owl:Thing
rc:HealthSoftware,rdfs:subClassOf,rc:HealthcareSoftware
rc:HealthSoftware,rdfs:subClassOf,owl:Thing
rc:SimulationSoftware,rdfs:subClassOf,rc:EngineeringSoftware
rc:SimulationSoftware,rdfs:subClassOf,owl:Thing
rc:LatinCapitalLetterT,rdfs:subClassOf,rc:Letter_Latin
rc:LatinCapitalLetterT,rdfs:subClassOf,rc:UpperCaseLetter
rc:LatinCapitalLetterT,rdfs:subClassOf,owl:Thing
rc:IcelandicLanguageSurname,rdfs:subClassOf,rc:HumanSurname
rc:IcelandicLanguageSurname,rdfs:subClassOf,owl:Thing
