id,subclassof,parent
rc:Equator_Celestial,rdfs:subClassOf,rc:CelestialCoordinateSystem
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:InstantMessengerProgram,rdfs:subClassOf,rc:CommunicationSoftware
rc:InstantMessengerProgram,rdfs:subClassOf,rc:UtilityProgram
rc:InstantMessengerProgram,rdfs:subClassOf,owl:Thing
rc:WaterTransportInWestGermany,rdfs:subClassOf,rc:MarineTransport
rc:WaterTransportInWestGermany,rdfs:subClassOf,owl:Thing
rc:TerrorismByMethod,rdfs:subClassOf,rc:MethodType
rc:TerrorismByMethod,rdfs:subClassOf,owl:Thing
rc:ExpertSystemShell,rdfs:subClassOf,rc:ArtificialIntelligenceProgram
rc:ExpertSystemShell,rdfs:subClassOf,owl:Thing
rc:Mikoyan_GurevichMiG_9,rdfs:subClassOf,rc:Jetfighter
rc:Mikoyan_GurevichMiG_9,rdfs:subClassOf,owl:Thing
rc:NissanQuestCar,rdfs:subClassOf,rc:NissanCar
rc:NissanQuestCar,rdfs:subClassOf,owl:Thing
rc:SaabJAS39Gripen,rdfs:subClassOf,rc:MultiRoleAircraft
rc:SaabJAS39Gripen,rdfs:subClassOf,owl:Thing
rc:Konig_classBattleship,rdfs:subClassOf,rc:Battleship
rc:Konig_classBattleship,rdfs:subClassOf,owl:Thing
rc:MathematicsAndCulture,rdfs:subClassOf,rc:Mathematics
rc:MathematicsAndCulture,rdfs:subClassOf,owl:Thing
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,rc:DesignProgram
rc:ComputerAidedDesignSoftware,rdfs:subClassOf,owl:Thing
rc:TerrestrialEcosystemManagementService,rdfs:subClassOf,rc:Ecosystem
rc:TerrestrialEcosystemManagementService,rdfs:subClassOf,owl:Thing
rc:Lyon_classBattleship,rdfs:subClassOf,rc:Battleship
rc:Lyon_classBattleship,rdfs:subClassOf,owl:Thing
rc:InteriorVehicleLighting,rdfs:subClassOf,rc:TransportationComponentSystem
rc:InteriorVehicleLighting,rdfs:subClassOf,owl:Thing
rc:BluetoothSoftware,rdfs:subClassOf,rc:NetworkingProgram
rc:BluetoothSoftware,rdfs:subClassOf,owl:Thing
rc:MitsubishiCordiaCar,rdfs:subClassOf,rc:MitsubishiCar
rc:MitsubishiCordiaCar,rdfs:subClassOf,owl:Thing
rc:CarryOnLuggage,rdfs:subClassOf,rc:Luggage
rc:CarryOnLuggage,rdfs:subClassOf,owl:Thing
rc:CommandLineInterface,rdfs:subClassOf,rc:UserInterface
rc:CommandLineInterface,rdfs:subClassOf,owl:Thing
rc:ComputerGameProgram_ChildrensGame,rdfs:subClassOf,rc:ComputerGameProgram
rc:ComputerGameProgram_ChildrensGame,rdfs:subClassOf,owl:Thing
rc:WindowsServer2012,rdfs:subClassOf,rc:MSWindowsOperatingSystem
rc:WindowsServer2012,rdfs:subClassOf,owl:Thing
rc:PublicationManagementSoftware,rdfs:subClassOf,rc:BusinessComputerProgram
rc:PublicationManagementSoftware,rdfs:subClassOf,owl:Thing
rc:RoadwayJunction_Primary,rdfs:subClassOf,rc:RoadwayJunction
rc:RoadwayJunction_Primary,rdfs:subClassOf,owl:Thing
rc:Volvo850SeriesCar,rdfs:subClassOf,rc:VolvoCar
rc:Volvo850SeriesCar,rdfs:subClassOf,owl:Thing
rc:ArmamentOfTheIowa_classBattleship,rdfs:subClassOf,rc:Iowa_classBattleship
rc:ArmamentOfTheIowa_classBattleship,rdfs:subClassOf,owl:Thing
rc:ComputationalLearningTheory,rdfs:subClassOf,rc:Theories
rc:ComputationalLearningTheory,rdfs:subClassOf,owl:Thing
rc:HIMARS_MultipleRocketLauncher,rdfs:subClassOf,rc:MultipleRocketLauncher
rc:HIMARS_MultipleRocketLauncher,rdfs:subClassOf,owl:Thing
rc:FileDecompressionProgram,rdfs:subClassOf,rc:DecoderProgram
rc:FileDecompressionProgram,rdfs:subClassOf,rc:FileSystemManagementProgram
rc:FileDecompressionProgram,rdfs:subClassOf,owl:Thing
rc:BicycleBag,rdfs:subClassOf,rc:Bag
rc:BicycleBag,rdfs:subClassOf,owl:Thing
rc:PlymouthVehicle,rdfs:subClassOf,rc:PlymouthCar
rc:PlymouthVehicle,rdfs:subClassOf,owl:Thing
rc:Trail,rdfs:subClassOf,rc:Footpath
rc:Trail,rdfs:subClassOf,owl:Thing
rc:Wiktionary,rdfs:subClassOf,rc:MediaWiki_ComputerProgram
rc:Wiktionary,rdfs:subClassOf,owl:Thing
rc:MiniAudioSystem,rdfs:subClassOf,rc:AudioSystem
rc:MiniAudioSystem,rdfs:subClassOf,owl:Thing
rc:PublicPolicy,rdfs:subClassOf,rc:Policy
rc:PublicPolicy,rdfs:subClassOf,owl:Thing
rc:ChevroletCar,rdfs:subClassOf,rc:GMAutomobile
rc:ChevroletCar,rdfs:subClassOf,owl:Thing
rc:EconomicPolicy,rdfs:subClassOf,rc:Macroeconomics
rc:EconomicPolicy,rdfs:subClassOf,rc:PublicPolicy
rc:EconomicPolicy,rdfs:subClassOf,owl:Thing
rc:FingerCommandProgram,rdfs:subClassOf,rc:DiagnosticComputerProgram
rc:FingerCommandProgram,rdfs:subClassOf,rc:NetworkProgram
rc:FingerCommandProgram,rdfs:subClassOf,owl:Thing
rc:ComputerGameProgram_Soccer,rdfs:subClassOf,rc:ComputerGameProgram_Sports
rc:ComputerGameProgram_Soccer,rdfs:subClassOf,owl:Thing
rc:XboxSoftware,rdfs:subClassOf,rc:ComputerGameProgram
rc:XboxSoftware,rdfs:subClassOf,owl:Thing
rc:Hearing_LegalProceeding,rdfs:subClassOf,rc:LegalProceeding
rc:Hearing_LegalProceeding,rdfs:subClassOf,owl:Thing
rc:Spyware,rdfs:subClassOf,rc:InformationGatheringProgram
rc:Spyware,rdfs:subClassOf,owl:Thing
rc:ApacheWebServer,rdfs:subClassOf,rc:OpenSourceComputerProgram
rc:ApacheWebServer,rdfs:subClassOf,rc:ServerProgram
rc:ApacheWebServer,rdfs:subClassOf,owl:Thing
rc:ElectronicWarfareHelicopter,rdfs:subClassOf,rc:MilitaryHelicopter
rc:ElectronicWarfareHelicopter,rdfs:subClassOf,owl:Thing
rc:FinancingByBorrowing,rdfs:subClassOf,rc:Finance
rc:FinancingByBorrowing,rdfs:subClassOf,owl:Thing
rc:BuickCenturyCar,rdfs:subClassOf,rc:BuickCar
rc:BuickCenturyCar,rdfs:subClassOf,owl:Thing
rc:AutomobileTypeByModel,rdfs:subClassOf,rc:Automobile
rc:AutomobileTypeByModel,rdfs:subClassOf,owl:Thing
rc:KernelMethodsForMachineLearning,rdfs:subClassOf,rc:MathematicalMethod
rc:KernelMethodsForMachineLearning,rdfs:subClassOf,owl:Thing
rc:LockheedMartinF_22Raptor,rdfs:subClassOf,rc:Jetfighter
rc:LockheedMartinF_22Raptor,rdfs:subClassOf,owl:Thing
rc:Airsoft_SportsGame,rdfs:subClassOf,rc:SportsGame
rc:Airsoft_SportsGame,rdfs:subClassOf,owl:Thing
rc:DVDPlayer_Software,rdfs:subClassOf,rc:MultimediaProgram
rc:DVDPlayer_Software,rdfs:subClassOf,owl:Thing
rc:MotorNerve,rdfs:subClassOf,rc:Nerve
