id,subclassof,parent
rc:Equator_Celestial,rdfs:subClassOf,rc:LatitudeLine
rc:Equator_Celestial,rdfs:subClassOf,owl:Thing
rc:AviationFacilityOperation,rdfs:subClassOf,rc:TerminalService
rc:AviationFacilityOperation,rdfs:subClassOf,owl:Thing
rc:AccountingBookkeepingService,rdfs:subClassOf,rc:FinancialInsuranceService
rc:AccountingBookkeepingService,rdfs:subClassOf,owl:Thing
rc:WellTestingService,rdfs:subClassOf,rc:WellDrillingConstructionService
rc:WellTestingService,rdfs:subClassOf,owl:Thing
rc:PlantationHarvesting,rdfs:subClassOf,rc:ForestryHarvesting
rc:PlantationHarvesting,rdfs:subClassOf,owl:Thing
rc:OpticalLighting,rdfs:subClassOf,rc:LightFixture
rc:OpticalLighting,rdfs:subClassOf,owl:Thing
rc:CreditCardPayment,rdfs:subClassOf,rc:LoanPayment
rc:CreditCardPayment,rdfs:subClassOf,owl:Thing
rc:SportLightingFixture,rdfs:subClassOf,rc:InteriorLightingFixture
rc:SportLightingFixture,rdfs:subClassOf,owl:Thing
rc:HomeEquityLoan,rdfs:subClassOf,rc:SecuredLoan
rc:HomeEquityLoan,rdfs:subClassOf,owl:Thing
rc:SecurityCommodityMarketService,rdfs:subClassOf,rc:BankingInvestment
rc:SecurityCommodityMarketService,rdfs:subClassOf,owl:Thing
rc:TerrestrialEcosystemManagementService,rdfs:subClassOf,rc:Ecosystem
rc:TerrestrialEcosystemManagementService,rdfs:subClassOf,owl:Thing
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,rc:CommercialActivity
rc:OrganizationsSyndicatingTogether,rdfs:subClassOf,owl:Thing
rc:EarthsEquator,rdfs:subClassOf,rc:LatitudeLine
rc:EarthsEquator,rdfs:subClassOf,owl:Thing
rc:FiberCropProduction,rdfs:subClassOf,rc:CropProduction
rc:FiberCropProduction,rdfs:subClassOf,owl:Thing
rc:EducationIssue,rdfs:subClassOf,rc:Education
rc:EducationIssue,rdfs:subClassOf,owl:Thing
rc:Churning_StockTrading,rdfs:subClassOf,rc:StockTrading
rc:Churning_StockTrading,rdfs:subClassOf,owl:Thing
rc:EconomicGlobalization,rdfs:subClassOf,rc:InternationalEconomics
rc:EconomicGlobalization,rdfs:subClassOf,owl:Thing
rc:Shopping,rdfs:subClassOf,rc:BuyingActivity
rc:Shopping,rdfs:subClassOf,owl:Thing
rc:NurseryService,rdfs:subClassOf,rc:Horticulture
rc:NurseryService,rdfs:subClassOf,owl:Thing
rc:HealthCare,rdfs:subClassOf,rc:HealthcareService
rc:HealthCare,rdfs:subClassOf,owl:Thing
rc:MilitaryEconomics,rdfs:subClassOf,rc:Economics
rc:MilitaryEconomics,rdfs:subClassOf,owl:Thing
rc:RealEstateLaw,rdfs:subClassOf,rc:BusinessLawService
rc:RealEstateLaw,rdfs:subClassOf,owl:Thing
rc:BeverageRefrigerator,rdfs:subClassOf,rc:Refrigerator
rc:BeverageRefrigerator,rdfs:subClassOf,owl:Thing
rc:RobustRegression,rdfs:subClassOf,rc:RegressionAnalysis
rc:RobustRegression,rdfs:subClassOf,owl:Thing
rc:EconomicPolicy,rdfs:subClassOf,rc:EconomicSystem
rc:EconomicPolicy,rdfs:subClassOf,rc:Macroeconomics
rc:EconomicPolicy,rdfs:subClassOf,owl:Thing
rc:HealthcareQuality,rdfs:subClassOf,rc:HealthCare
rc:HealthcareQuality,rdfs:subClassOf,owl:Thing
rc:QuarterEagleCoin_US,rdfs:subClassOf,rc:Coin_US
rc:QuarterEagleCoin_US,rdfs:subClassOf,owl:Thing
rc:BridgeFinancing,rdfs:subClassOf,rc:FinancingByBorrowing
rc:BridgeFinancing,rdfs:subClassOf,owl:Thing
rc:ChestFreezer,rdfs:subClassOf,rc:Freezer
rc:ChestFreezer,rdfs:subClassOf,owl:Thing
rc:FinancingByBorrowing,rdfs:subClassOf,rc:Finance
rc:FinancingByBorrowing,rdfs:subClassOf,owl:Thing
rc:ComputerNetworkInternetSecurity,rdfs:subClassOf,rc:SystemAdministrationService
rc:ComputerNetworkInternetSecurity,rdfs:subClassOf,owl:Thing
rc:DataProcessing,rdfs:subClassOf,rc:InformationService
rc:DataProcessing,rdfs:subClassOf,owl:Thing
rc:WellEngineering,rdfs:subClassOf,rc:CivilEngineering
rc:WellEngineering,rdfs:subClassOf,owl:Thing
rc:HistoricalNarrativeMovie,rdfs:subClassOf,rc:FilmGenre
rc:HistoricalNarrativeMovie,rdfs:subClassOf,owl:Thing
rc:FoodBeverageEquipmentService,rdfs:subClassOf,rc:RestaurantCatering
rc:FoodBeverageEquipmentService,rdfs:subClassOf,owl:Thing
