id,subclassof,parent
rc:CelestialEvents_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:CelestialEvents_TimeTopic,rdfs:subClassOf,owl:Thing
rc:GenpeiWar,rdfs:subClassOf,rc:War
rc:GenpeiWar,rdfs:subClassOf,owl:Thing
rc:ReligiousHoliday,rdfs:subClassOf,rc:ReligiousEvent
rc:ReligiousHoliday,rdfs:subClassOf,owl:Thing
rc:Time_RelatedPredicateTypes_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:Time_RelatedPredicateTypes_TimeTopic,rdfs:subClassOf,owl:Thing
rc:ClimaticSeasons_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:ClimaticSeasons_TimeTopic,rdfs:subClassOf,owl:Thing
rc:Sundial,rdfs:subClassOf,rc:Clock
rc:Sundial,rdfs:subClassOf,owl:Thing
rc:WaterClock,rdfs:subClassOf,rc:Clock
rc:WaterClock,rdfs:subClassOf,owl:Thing
rc:PocketWatch,rdfs:subClassOf,rc:Watch
rc:PocketWatch,rdfs:subClassOf,owl:Thing
rc:AtomicClock,rdfs:subClassOf,rc:Clock
rc:AtomicClock,rdfs:subClassOf,owl:Thing
rc:TimeManagement,rdfs:subClassOf,rc:Time_Topic
rc:TimeManagement,rdfs:subClassOf,owl:Thing
rc:Holidays_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:Holidays_TimeTopic,rdfs:subClassOf,owl:Thing
rc:SportSeason,rdfs:subClassOf,rc:SportsCompetition
rc:SportSeason,rdfs:subClassOf,owl:Thing
rc:TheCalendar_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:TheCalendar_TimeTopic,rdfs:subClassOf,owl:Thing
kko:TimeTypes,rdfs:subClassOf,owl:Thing
rc:Time_Topic,rdfs:subClassOf,kko:TimeTypes
rc:Time_Topic,rdfs:subClassOf,owl:Thing
rc:WallClock,rdfs:subClassOf,rc:Clock
rc:WallClock,rdfs:subClassOf,owl:Thing
rc:Wristwatch,rdfs:subClassOf,rc:Watch
rc:Wristwatch,rdfs:subClassOf,owl:Thing
rc:SportsPostSeason,rdfs:subClassOf,rc:ChampionshipCompetition
rc:SportsPostSeason,rdfs:subClassOf,rc:TeamSportsCompetition
rc:SportsPostSeason,rdfs:subClassOf,owl:Thing
rc:TimeAsAQuantity_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:TimeAsAQuantity_TimeTopic,rdfs:subClassOf,owl:Thing
rc:Hourglass,rdfs:subClassOf,rc:Clock
rc:Hourglass,rdfs:subClassOf,owl:Thing
rc:PeriodicPhenomena,rdfs:subClassOf,rc:Time_Topic
rc:PeriodicPhenomena,rdfs:subClassOf,owl:Thing
rc:PropertiesOfTemporalObjects_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:PropertiesOfTemporalObjects_TimeTopic,rdfs:subClassOf,owl:Thing
kko:Times,rdfs:subClassOf,kko:TimeTypes
kko:Times,rdfs:subClassOf,owl:Thing
rc:Holiday,rdfs:subClassOf,rc:SocialEvent
rc:Holiday,rdfs:subClassOf,owl:Thing
rc:AstronomicalClock,rdfs:subClassOf,rc:Clock
rc:AstronomicalClock,rdfs:subClassOf,owl:Thing
rc:GrandfatherClock,rdfs:subClassOf,rc:Clock
rc:GrandfatherClock,rdfs:subClassOf,owl:Thing
rc:Past,rdfs:subClassOf,rc:Time_Topic
rc:Past,rdfs:subClassOf,owl:Thing
rc:TimePoints_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:TimePoints_TimeTopic,rdfs:subClassOf,owl:Thing
rc:DateFunctions_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:DateFunctions_TimeTopic,rdfs:subClassOf,owl:Thing
rc:Synchronization,rdfs:subClassOf,rc:Timekeeping
rc:Synchronization,rdfs:subClassOf,owl:Thing
rc:AlarmClock,rdfs:subClassOf,rc:Clock
rc:AlarmClock,rdfs:subClassOf,owl:Thing
rc:ClockRadio,rdfs:subClassOf,rc:ElectricAlarmClock
rc:ClockRadio,rdfs:subClassOf,owl:Thing
rc:FunctionsWhichReturnTimeIntervals_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:FunctionsWhichReturnTimeIntervals_TimeTopic,rdfs:subClassOf,owl:Thing
rc:OtherTime_RelatedConstants_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:OtherTime_RelatedConstants_TimeTopic,rdfs:subClassOf,owl:Thing
rc:Timekeeping,rdfs:subClassOf,rc:Time_Topic
rc:Timekeeping,rdfs:subClassOf,owl:Thing
rc:EventsWithImportantTemporalAssertions_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:EventsWithImportantTemporalAssertions_TimeTopic,rdfs:subClassOf,owl:Thing
rc:KitchenTimer,rdfs:subClassOf,rc:Timer
rc:KitchenTimer,rdfs:subClassOf,owl:Thing
rc:Timer,rdfs:subClassOf,rc:Clock
rc:Timer,rdfs:subClassOf,owl:Thing
kko:EventTypes,rdfs:subClassOf,kko:TimeTypes
kko:EventTypes,rdfs:subClassOf,owl:Thing
rc:ElectricAlarmClock,rdfs:subClassOf,rc:AlarmClock
rc:ElectricAlarmClock,rdfs:subClassOf,owl:Thing
rc:FiscalCycles_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:FiscalCycles_TimeTopic,rdfs:subClassOf,owl:Thing
rc:Future,rdfs:subClassOf,rc:Time_Topic
rc:Future,rdfs:subClassOf,owl:Thing
rc:Equinox,rdfs:subClassOf,rc:MovementEvent
rc:Equinox,rdfs:subClassOf,owl:Thing
rc:HolidaySeason,rdfs:subClassOf,rc:RepeatedEventType
rc:HolidaySeason,rdfs:subClassOf,owl:Thing
rc:Watch,rdfs:subClassOf,rc:Clock
rc:Watch,rdfs:subClassOf,owl:Thing
rc:NITBasketballTournament_Preseason,rdfs:subClassOf,rc:BasketballTournament
rc:NITBasketballTournament_Preseason,rdfs:subClassOf,rc:ChampionshipCompetition
rc:NITBasketballTournament_Preseason,rdfs:subClassOf,owl:Thing
rc:Horology,rdfs:subClassOf,rc:Time_Topic
rc:Horology,rdfs:subClassOf,owl:Thing
rc:AcademicCycles_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:AcademicCycles_TimeTopic,rdfs:subClassOf,owl:Thing
rc:NITBasketballTournament_PostSeason,rdfs:subClassOf,rc:BasketballTournament
rc:NITBasketballTournament_PostSeason,rdfs:subClassOf,owl:Thing
rc:TimeScale,rdfs:subClassOf,rc:Time_Topic
rc:TimeScale,rdfs:subClassOf,owl:Thing
rc:Solstice,rdfs:subClassOf,rc:MovementEvent
rc:Solstice,rdfs:subClassOf,owl:Thing
rc:TemporalRate,rdfs:subClassOf,rc:Time_Topic
rc:TemporalRate,rdfs:subClassOf,owl:Thing
rc:Clock,rdfs:subClassOf,rc:Timekeeping
rc:Clock,rdfs:subClassOf,owl:Thing
rc:RepeatedEvents_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:RepeatedEvents_TimeTopic,rdfs:subClassOf,owl:Thing
