id,subclassof,parent
rc:AluminumFoil,rdfs:subClassOf,rc:Aluminum
rc:AluminumFoil,rdfs:subClassOf,owl:Thing
rc:PhysicalForce_ElectroWeak,rdfs:subClassOf,rc:ForceVector
rc:PhysicalForce_ElectroWeak,rdfs:subClassOf,owl:Thing
rc:TerrorismByMethod,rdfs:subClassOf,rc:Terrorism_Topic
rc:TerrorismByMethod,rdfs:subClassOf,owl:Thing
rc:Mural,rdfs:subClassOf,rc:Painting_ArtForm
rc:Mural,rdfs:subClassOf,owl:Thing
rc:OlmecColossalHead,rdfs:subClassOf,rc:StoneSculpture
rc:OlmecColossalHead,rdfs:subClassOf,owl:Thing
rc:TypeIbAndIcSupernovae,rdfs:subClassOf,rc:Supernova
rc:TypeIbAndIcSupernovae,rdfs:subClassOf,owl:Thing
rc:JosephsonEffect,rdfs:subClassOf,rc:Superconductor
rc:JosephsonEffect,rdfs:subClassOf,owl:Thing
rc:DecemberInRailTransport,rdfs:subClassOf,rc:Transportation_Topic
rc:DecemberInRailTransport,rdfs:subClassOf,owl:Thing
rc:ElementsAndAtoms_ChemistryTopic,rdfs:subClassOf,rc:Chemistry_Topic
rc:ElementsAndAtoms_ChemistryTopic,rdfs:subClassOf,owl:Thing
rc:FoggyClimateCycle,rdfs:subClassOf,rc:AnnualClimateCycle
rc:FoggyClimateCycle,rdfs:subClassOf,owl:Thing
rc:NaturalPhenomenaReligiousImagery,rdfs:subClassOf,rc:VisualPerception
rc:NaturalPhenomenaReligiousImagery,rdfs:subClassOf,owl:Thing
rc:Supernova,rdfs:subClassOf,rc:Explosion
rc:Supernova,rdfs:subClassOf,owl:Thing
rc:HistoryOfMedicine,rdfs:subClassOf,rc:Medical_Topic
rc:HistoryOfMedicine,rdfs:subClassOf,owl:Thing
rc:CrownJewelsOfTheUnitedKingdom,rdfs:subClassOf,rc:CrownJewel
rc:CrownJewelsOfTheUnitedKingdom,rdfs:subClassOf,owl:Thing
rc:IsotopeOfSilver,rdfs:subClassOf,rc:Silver
rc:IsotopeOfSilver,rdfs:subClassOf,owl:Thing
rc:TouchPerception,rdfs:subClassOf,rc:Senses
rc:TouchPerception,rdfs:subClassOf,owl:Thing
rc:KnowledgeGraph,rdfs:subClassOf,rc:OntologyInformationScience
rc:KnowledgeGraph,rdfs:subClassOf,owl:Thing
rc:DBpedia,rdfs:subClassOf,rc:OntologyInformationScience
rc:DBpedia,rdfs:subClassOf,owl:Thing
rc:Mereology,rdfs:subClassOf,rc:OntologyInformationScience
rc:Mereology,rdfs:subClassOf,owl:Thing
rc:Relief_Sculpture,rdfs:subClassOf,rc:Sculpture
rc:Relief_Sculpture,rdfs:subClassOf,owl:Thing
rc:TelephoneWire,rdfs:subClassOf,rc:MultiConductorInsulatedWire
rc:TelephoneWire,rdfs:subClassOf,owl:Thing
rc:DigitalElectronics,rdfs:subClassOf,rc:Electronics
rc:DigitalElectronics,rdfs:subClassOf,owl:Thing
rc:StatueOfLiberty,rdfs:subClassOf,rc:Statue
rc:StatueOfLiberty,rdfs:subClassOf,owl:Thing
rc:Functions_Fundamental_Topic,rdfs:subClassOf,rc:Fundamental_Topic
rc:Functions_Fundamental_Topic,rdfs:subClassOf,owl:Thing
rc:FundingOfTerrorism,rdfs:subClassOf,rc:Terrorism_Topic
rc:FundingOfTerrorism,rdfs:subClassOf,owl:Thing
rc:WarmGlass,rdfs:subClassOf,rc:ArtGlass
rc:WarmGlass,rdfs:subClassOf,owl:Thing
rc:ElectroMagneticRadiationSensor,rdfs:subClassOf,rc:Sensor
rc:ElectroMagneticRadiationSensor,rdfs:subClassOf,owl:Thing
rc:ElectricalPhenomena,rdfs:subClassOf,rc:PhysicalForce_Electromagnetic
rc:ElectricalPhenomena,rdfs:subClassOf,owl:Thing
rc:Gold,rdfs:subClassOf,rc:ElectricalConductor
rc:Gold,rdfs:subClassOf,owl:Thing
rc:FineJewelry,rdfs:subClassOf,rc:Jewelry
rc:FineJewelry,rdfs:subClassOf,owl:Thing
rc:MagneticSensor,rdfs:subClassOf,rc:Sensor_Device
rc:MagneticSensor,rdfs:subClassOf,owl:Thing
rc:SpaceShuttleChallengerDisaster,rdfs:subClassOf,rc:Explosion
rc:SpaceShuttleChallengerDisaster,rdfs:subClassOf,owl:Thing
rc:Food_Topic,rdfs:subClassOf,rc:FoodAndDrink_Topic
rc:Food_Topic,rdfs:subClassOf,rc:HumanBeings_Topic
rc:Food_Topic,rdfs:subClassOf,owl:Thing
rc:Movement_Topic,rdfs:subClassOf,kko:TopicsCategories
rc:Movement_Topic,rdfs:subClassOf,owl:Thing
rc:OrganismParts_BiologyTopic,rdfs:subClassOf,rc:Biology_Topic
rc:OrganismParts_BiologyTopic,rdfs:subClassOf,owl:Thing
rc:TribalJewelry,rdfs:subClassOf,rc:Jewelry
rc:TribalJewelry,rdfs:subClassOf,owl:Thing
rc:CommercialActivities_FinancialTopic,rdfs:subClassOf,rc:Financial_Topic
rc:CommercialActivities_FinancialTopic,rdfs:subClassOf,owl:Thing
rc:NuclearRelatedThing,rdfs:subClassOf,rc:NuclearEnergy
rc:NuclearRelatedThing,rdfs:subClassOf,owl:Thing
rc:OlympicGoldMedal,rdfs:subClassOf,rc:OlympicMedal
rc:OlympicGoldMedal,rdfs:subClassOf,owl:Thing
rc:ClimateCycles_Weather_Topic,rdfs:subClassOf,rc:Weather_Topic
rc:ClimateCycles_Weather_Topic,rdfs:subClassOf,owl:Thing
rc:Wreath_Decoration,rdfs:subClassOf,rc:Decoration
rc:Wreath_Decoration,rdfs:subClassOf,owl:Thing
rc:ElectricArc,rdfs:subClassOf,rc:Electricity
rc:ElectricArc,rdfs:subClassOf,owl:Thing
rc:EnergySource,rdfs:subClassOf,rc:EnergyProduction
rc:EnergySource,rdfs:subClassOf,owl:Thing
rc:Social_Topic,rdfs:subClassOf,rc:HumanActivities_Topic
rc:Social_Topic,rdfs:subClassOf,owl:Thing
rc:RailwayCulture,rdfs:subClassOf,rc:TransportCulture
rc:RailwayCulture,rdfs:subClassOf,owl:Thing
rc:ArtworkProduct,rdfs:subClassOf,rc:ArtObject
rc:ArtworkProduct,rdfs:subClassOf,owl:Thing
rc:VideoHardware,rdfs:subClassOf,rc:Electronics
rc:VideoHardware,rdfs:subClassOf,owl:Thing
rc:TemperateClimateCycle,rdfs:subClassOf,rc:AnnualClimateCycle
rc:TemperateClimateCycle,rdfs:subClassOf,owl:Thing
rc:ElectromagneticCompatibility,rdfs:subClassOf,rc:PhysicalForce_Electromagnetic
rc:ElectromagneticCompatibility,rdfs:subClassOf,owl:Thing
rc:Pom_Pom,rdfs:subClassOf,rc:Decoration
rc:Pom_Pom,rdfs:subClassOf,owl:Thing
rc:NegativeFeedback,rdfs:subClassOf,rc:FeedbackLoop
rc:NegativeFeedback,rdfs:subClassOf,owl:Thing
rc:Determinism,rdfs:subClassOf,rc:Causality_AttitudeTopic
rc:Determinism,rdfs:subClassOf,owl:Thing
rc:Diamond_Gem,rdfs:subClassOf,rc:Semiconductor
rc:Diamond_Gem,rdfs:subClassOf,owl:Thing
rc:HumidContinentalClimateCycle,rdfs:subClassOf,rc:HumidClimateCycle
rc:HumidContinentalClimateCycle,rdfs:subClassOf,rc:TemperateClimateCycle
rc:HumidContinentalClimateCycle,rdfs:subClassOf,owl:Thing
rc:FieldsOfKnowledge_SocialTopic,rdfs:subClassOf,rc:Social_Topic
rc:FieldsOfKnowledge_SocialTopic,rdfs:subClassOf,owl:Thing
rc:OrganismByTaxonomicKingdom_BiologyTopic,rdfs:subClassOf,rc:Biology_Topic
rc:OrganismByTaxonomicKingdom_BiologyTopic,rdfs:subClassOf,owl:Thing
rc:CarvedArtwork,rdfs:subClassOf,rc:Sculpture
rc:CarvedArtwork,rdfs:subClassOf,owl:Thing
rc:Agreement_Topic,rdfs:subClassOf,rc:HumanActivities_Topic
rc:Agreement_Topic,rdfs:subClassOf,owl:Thing
rc:WaterWheel,rdfs:subClassOf,rc:Hydropower
rc:WaterWheel,rdfs:subClassOf,owl:Thing
rc:TimeManagement,rdfs:subClassOf,rc:Time_Topic
rc:TimeManagement,rdfs:subClassOf,owl:Thing
rc:PhysicalForce_NewtonianGravity,rdfs:subClassOf,rc:ForceVector
rc:PhysicalForce_NewtonianGravity,rdfs:subClassOf,owl:Thing
rc:GreatAttractor,rdfs:subClassOf,rc:GravitationalForceVector
rc:GreatAttractor,rdfs:subClassOf,owl:Thing
rc:Communication_Topic,rdfs:subClassOf,rc:Agents_Topic
rc:Communication_Topic,rdfs:subClassOf,owl:Thing
rc:ChristmasTreeDecoration,rdfs:subClassOf,rc:ChristmasDecoration
rc:ChristmasTreeDecoration,rdfs:subClassOf,owl:Thing
rc:Artifacts_Topic,rdfs:subClassOf,rc:PhysicalStuffAndObjects_Topic
rc:Artifacts_Topic,rdfs:subClassOf,owl:Thing
rc:AnimalBodyPartSystems_PhysiologyTopic,rdfs:subClassOf,rc:Physiology_Topic
rc:AnimalBodyPartSystems_PhysiologyTopic,rdfs:subClassOf,owl:Thing
rc:SpecificAnimalBodyParts_PhysiologyTopic,rdfs:subClassOf,rc:Physiology_Topic
rc:SpecificAnimalBodyParts_PhysiologyTopic,rdfs:subClassOf,owl:Thing
rc:SilverObject,rdfs:subClassOf,rc:Silver
rc:SilverObject,rdfs:subClassOf,owl:Thing
rc:CentrifugalForceVector,rdfs:subClassOf,rc:BodyForceVector
rc:CentrifugalForceVector,rdfs:subClassOf,owl:Thing
rc:MarineElectronics,rdfs:subClassOf,rc:Electronics
rc:MarineElectronics,rdfs:subClassOf,owl:Thing
rc:ForestFire,rdfs:subClassOf,rc:Wildfire
rc:ForestFire,rdfs:subClassOf,owl:Thing
rc:Campfire,rdfs:subClassOf,rc:Fire_CombustionProcess
rc:Campfire,rdfs:subClassOf,owl:Thing
rc:Tension,rdfs:subClassOf,rc:ForceVector
rc:Tension,rdfs:subClassOf,owl:Thing
rc:ChemicalCompoundsMolecules_ChemistryTopic,rdfs:subClassOf,rc:Chemistry_Topic
rc:ChemicalCompoundsMolecules_ChemistryTopic,rdfs:subClassOf,owl:Thing
rc:AluminumIronAlloy,rdfs:subClassOf,rc:AluminiumAlloy
rc:AluminumIronAlloy,rdfs:subClassOf,owl:Thing
rc:Interference,rdfs:subClassOf,rc:Electronics
rc:Interference,rdfs:subClassOf,owl:Thing
rc:TemperaPainting,rdfs:subClassOf,rc:Painting_ArtForm
rc:TemperaPainting,rdfs:subClassOf,owl:Thing
rc:WeddingRing,rdfs:subClassOf,rc:Ring_Jewelry
rc:WeddingRing,rdfs:subClassOf,owl:Thing
rc:Optoelectronics,rdfs:subClassOf,rc:Electronics
rc:Optoelectronics,rdfs:subClassOf,owl:Thing
rc:Pheromone,rdfs:subClassOf,rc:SmellPerception
rc:Pheromone,rdfs:subClassOf,owl:Thing
rc:TimePoints_TimeTopic,rdfs:subClassOf,rc:Time_Topic
rc:TimePoints_TimeTopic,rdfs:subClassOf,owl:Thing
rc:CrownJewel,rdfs:subClassOf,rc:Jewelry
rc:CrownJewel,rdfs:subClassOf,owl:Thing
rc:Medal_Physical,rdfs:subClassOf,rc:Jewelry
